seq,date,time_hms,proc,summary,source_file,file_idx,start_time,day_folder
4,2025-10-14,15:13:12,It,It  Alisson67  VG=-0.35 V  VDS=0.1 V  VL=1.15 V  λ=455.0 nm  period=120.0 s  #10,raw_data/2025-10-14/It2025-10-14_10.csv,10,1760465592.0845056,2025-10-14
5,2025-10-14,15:16:12,It,It  Alisson67  VG=-0.35 V  VDS=0.1 V  VL=2.19 V  λ=455.0 nm  period=120.0 s  #11,raw_data/2025-10-14/It2025-10-14_11.csv,11,1760465772.46143,2025-10-14
6,2025-10-14,15:19:12,It,It  Alisson67  VG=-0.35 V  VDS=0.1 V  VL=3.28 V  λ=455.0 nm  period=120.0 s  #12,raw_data/2025-10-14/It2025-10-14_12.csv,12,1760465952.6346202,2025-10-14
7,2025-10-14,15:22:12,It,It  Alisson67  VG=-0.35 V  VDS=0.1 V  VL=4.41 V  λ=455.0 nm  period=120.0 s  #13,raw_data/2025-10-14/It2025-10-14_13.csv,13,1760466132.8046875,2025-10-14
9,2025-10-14,16:10:44,It,It  Alisson67  VG=0.2 V  VDS=0.1 V  VL=1.15 V  λ=455.0 nm  period=120.0 s  #14,raw_data/2025-10-14/It2025-10-14_14.csv,14,1760469044.161089,2025-10-14
10,2025-10-14,16:13:44,It,It  Alisson67  VG=0.2 V  VDS=0.1 V  VL=2.29 V  λ=455.0 nm  period=120.0 s  #15,raw_data/2025-10-14/It2025-10-14_15.csv,15,1760469224.372124,2025-10-14
11,2025-10-14,16:16:44,It,It  Alisson67  VG=0.2 V  VDS=0.1 V  VL=3.28 V  λ=455.0 nm  period=120.0 s  #16,raw_data/2025-10-14/It2025-10-14_16.csv,16,1760469404.5269487,2025-10-14
12,2025-10-14,16:19:44,It,It  Alisson67  VG=0.2 V  VDS=0.1 V  VL=4.41 V  λ=455.0 nm  period=120.0 s  #17,raw_data/2025-10-14/It2025-10-14_17.csv,17,1760469584.7026615,2025-10-14
15,2025-10-14,16:39:10,It,It  Alisson67  VG=-0.35 V  VDS=0.1 V  VL=0.99 V  λ=405.0 nm  period=120.0 s  #18,raw_data/2025-10-14/It2025-10-14_18.csv,18,1760470750.8249555,2025-10-14
16,2025-10-14,16:42:11,It,It  Alisson67  VG=-0.35 V  VDS=0.1 V  VL=1.9 V  λ=405.0 nm  period=120.0 s  #19,raw_data/2025-10-14/It2025-10-14_19.csv,19,1760470931.1429675,2025-10-14
17,2025-10-14,16:45:11,It,It  Alisson67  VG=-0.35 V  VDS=0.1 V  VL=2.83 V  λ=405.0 nm  period=120.0 s  #20,raw_data/2025-10-14/It2025-10-14_20.csv,20,1760471111.3261461,2025-10-14
18,2025-10-14,16:48:11,It,It  Alisson67  VG=-0.35 V  VDS=0.1 V  VL=3.77 V  λ=405.0 nm  period=120.0 s  #21,raw_data/2025-10-14/It2025-10-14_21.csv,21,1760471291.5122437,2025-10-14
21,2025-10-14,17:06:42,It,It  Alisson67  VG=0.2 V  VDS=0.1 V  VL=0.99 V  λ=405.0 nm  period=120.0 s  #22,raw_data/2025-10-14/It2025-10-14_22.csv,22,1760472402.099961,2025-10-14
22,2025-10-14,17:09:42,It,It  Alisson67  VG=0.2 V  VDS=0.1 V  VL=1.9 V  λ=405.0 nm  period=120.0 s  #23,raw_data/2025-10-14/It2025-10-14_23.csv,23,1760472582.3322942,2025-10-14
23,2025-10-14,17:12:42,It,It  Alisson67  VG=0.2 V  VDS=0.1 V  VL=2.83 V  λ=405.0 nm  period=120.0 s  #24,raw_data/2025-10-14/It2025-10-14_24.csv,24,1760472762.5341473,2025-10-14
24,2025-10-14,17:15:42,It,It  Alisson67  VG=0.2 V  VDS=0.1 V  VL=3.77 V  λ=405.0 nm  period=120.0 s  #25,raw_data/2025-10-14/It2025-10-14_25.csv,25,1760472942.7543228,2025-10-14
27,2025-10-14,18:15:38,It,It  Alisson67  VG=-0.4 V  VDS=0.1 V  VL=0.91 V  λ=385.0 nm  period=120.0 s  #26,raw_data/2025-10-14/It2025-10-14_26.csv,26,1760476538.1103237,2025-10-14
28,2025-10-14,18:18:38,It,It  Alisson67  VG=-0.4 V  VDS=0.1 V  VL=1.77 V  λ=385.0 nm  period=120.0 s  #27,raw_data/2025-10-14/It2025-10-14_27.csv,27,1760476718.5059114,2025-10-14
29,2025-10-14,18:21:38,It,It  Alisson67  VG=-0.4 V  VDS=0.1 V  VL=2.7 V  λ=385.0 nm  period=120.0 s  #28,raw_data/2025-10-14/It2025-10-14_28.csv,28,1760476898.689873,2025-10-14
30,2025-10-14,18:24:38,It,It  Alisson67  VG=-0.4 V  VDS=0.1 V  VL=3.67 V  λ=385.0 nm  period=120.0 s  #29,raw_data/2025-10-14/It2025-10-14_29.csv,29,1760477078.8677511,2025-10-14
32,2025-10-14,18:33:38,It,It  Alisson67  VG=0.2 V  VDS=0.1 V  VL=0.91 V  λ=385.0 nm  period=120.0 s  #30,raw_data/2025-10-14/It2025-10-14_30.csv,30,1760477618.670816,2025-10-14
33,2025-10-14,18:36:38,It,It  Alisson67  VG=0.2 V  VDS=0.1 V  VL=1.77 V  λ=385.0 nm  period=120.0 s  #31,raw_data/2025-10-14/It2025-10-14_31.csv,31,1760477798.9098084,2025-10-14
34,2025-10-14,18:39:39,It,It  Alisson67  VG=0.2 V  VDS=0.1 V  VL=2.7 V  λ=385.0 nm  period=120.0 s  #32,raw_data/2025-10-14/It2025-10-14_32.csv,32,1760477979.115136,2025-10-14
35,2025-10-14,18:42:39,It,It  Alisson67  VG=0.2 V  VDS=0.1 V  VL=3.67 V  λ=385.0 nm  period=120.0 s  #33,raw_data/2025-10-14/It2025-10-14_33.csv,33,1760478159.3506472,2025-10-14
38,2025-10-14,18:59:40,It,It  Alisson67  VG=-0.4 V  VDS=0.1 V  VL=1.05 V  λ=365.0 nm  period=120.0 s  #34,raw_data/2025-10-14/It2025-10-14_34.csv,34,1760479180.0789366,2025-10-14
39,2025-10-14,19:02:40,It,It  Alisson67  VG=-0.4 V  VDS=0.1 V  VL=2.15 V  λ=365.0 nm  period=120.0 s  #35,raw_data/2025-10-14/It2025-10-14_35.csv,35,1760479360.4960022,2025-10-14
41,2025-10-14,19:07:08,It,It  Alisson67  VG=-0.4 V  VDS=0.1 V  VL=1.05 V  λ=365.0 nm  period=120.0 s  #36,raw_data/2025-10-14/It2025-10-14_36.csv,36,1760479628.6053388,2025-10-14
42,2025-10-14,19:10:09,It,It  Alisson67  VG=-0.4 V  VDS=0.1 V  VL=2.15 V  λ=365.0 nm  period=120.0 s  #37,raw_data/2025-10-14/It2025-10-14_37.csv,37,1760479809.0041285,2025-10-14
43,2025-10-14,19:13:09,It,It  Alisson67  VG=-0.4 V  VDS=0.1 V  VL=3.34 V  λ=365.0 nm  period=120.0 s  #38,raw_data/2025-10-14/It2025-10-14_38.csv,38,1760479989.1795611,2025-10-14
