seq,date,time_hms,proc,summary,source_file,file_idx,start_time,day_folder,has_light
1,2025-09-08,12:37:24,IVg,IVg Alisson68  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #3,raw_data/Alisson_08_sept/IVg2025-09-08_3.csv,3,1757345844.8101747,Alisson_08_sept,false
2,2025-09-08,12:38:23,IVg,IVg Alisson68  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #4,raw_data/Alisson_08_sept/IVg2025-09-08_4.csv,4,1757345903.1788788,Alisson_08_sept,false
3,2025-09-15,11:38:10,IVg,IVg Alisson68  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #1,raw_data/Alisson_15_sept/IVg2025-09-15_1.csv,1,1757947090.3839564,Alisson_15_sept,false
4,2025-09-15,11:38:10,IVg,IVg Alisson68  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #1,raw_data/Alisson_15_sept/IVg2025-09-15_1.csv,1,1757947090.3839564,Alisson_15_sept_test,false
5,2025-09-15,11:39:13,IVg,IVg Alisson68  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #2,raw_data/Alisson_15_sept/IVg2025-09-15_2.csv,2,1757947153.8131576,Alisson_15_sept,false
6,2025-09-15,11:39:13,IVg,IVg Alisson68  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #2,raw_data/Alisson_15_sept/IVg2025-09-15_2.csv,2,1757947153.8131576,Alisson_15_sept_test,false
7,2025-09-15,11:40:21,IVg,IVg Alisson68  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #3,raw_data/Alisson_15_sept/IVg2025-09-15_3.csv,3,1757947221.1129608,Alisson_15_sept,false
8,2025-09-15,11:40:21,IVg,IVg Alisson68  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #3,raw_data/Alisson_15_sept/IVg2025-09-15_3.csv,3,1757947221.1129608,Alisson_15_sept_test,false
9,2025-09-15,12:20:05,IVg,IVg Alisson68  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #4,raw_data/Alisson_15_sept/IVg2025-09-15_4.csv,4,1757949605.8868084,Alisson_15_sept,false
10,2025-09-15,12:20:05,IVg,IVg Alisson68  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #4,raw_data/Alisson_15_sept/IVg2025-09-15_4.csv,4,1757949605.8868084,Alisson_15_sept_test,false
