#Procedure: <laser_setup.procedures.IVg.IVg>
#Parameters:
#	Irange: 0.001 A
#	NPLC: 1
#	Burn-in time: 0 s
#	Chip group name: Alisson
#	Chip number: 79
#	Information: after light
#	Laser voltage: 0 V
#	Laser wavelength: 455
#	Procedure version: 2.1.0
#	Sample: D
#	Step time: 0 s
#	VDS: 0.1 V
#	VG end: 20 V
#	VG start: -20 V
#	VG step: 0.1 V
#Metadata:
#	Start time: 1757018299.3391523
#Data:
Vg (V),I (A),Plate T (degC),Ambient T (degC),Clock (ms)
0.0,5.633336e-05,nan,nan,nan
-0.1,5.768104e-05,nan,nan,nan
-0.2,6.134121e-05,nan,nan,nan
-0.30000000000000004,6.486457e-05,nan,nan,nan
-0.4,6.822506e-05,nan,nan,nan
-0.5,7.136032e-05,nan,nan,nan
-0.6000000000000001,7.426056e-05,nan,nan,nan
-0.7000000000000001,7.713163e-05,nan,nan,nan
-0.8,7.988494e-05,nan,nan,nan
-0.9,8.245395e-05,nan,nan,nan
-1.0,8.474825e-05,nan,nan,nan
-1.1,8.702862e-05,nan,nan,nan
-1.2000000000000002,8.9181e-05,nan,nan,nan
-1.3,9.142792e-05,nan,nan,nan
-1.4000000000000001,9.327471e-05,nan,nan,nan
-1.5,9.512405e-05,nan,nan,nan
-1.6,9.689351e-05,nan,nan,nan
-1.7000000000000002,9.861781e-05,nan,nan,nan
-1.8,0.0001001739,nan,nan,nan
-1.9000000000000001,0.0001017398,nan,nan,nan
-2.0,0.000103258,nan,nan,nan
-2.1,0.0001047199,nan,nan,nan
-2.2,0.0001061149,nan,nan,nan
-2.3000000000000003,0.0001074791,nan,nan,nan
-2.4000000000000004,0.0001089229,nan,nan,nan
-2.5,0.0001103548,nan,nan,nan
-2.6,0.0001118416,nan,nan,nan
-2.7,0.0001130918,nan,nan,nan
-2.8000000000000003,0.0001143082,nan,nan,nan
-2.9000000000000004,0.0001154167,nan,nan,nan
-3.0,0.000116607,nan,nan,nan
-3.1,0.0001177102,nan,nan,nan
-3.2,0.000119026,nan,nan,nan
-3.3000000000000003,0.00012054,nan,nan,nan
-3.4000000000000004,0.0001218091,nan,nan,nan
-3.5,0.0001242182,nan,nan,nan
-3.6,0.0001252238,nan,nan,nan
-3.7,0.0001263736,nan,nan,nan
-3.8000000000000003,0.0001276324,nan,nan,nan
-3.9000000000000004,0.0001284049,nan,nan,nan
-4.0,0.0001287554,nan,nan,nan
-4.1000000000000005,0.0001291501,nan,nan,nan
-4.2,0.0001291565,nan,nan,nan
-4.3,0.0001304607,nan,nan,nan
-4.4,0.0001331886,nan,nan,nan
-4.5,0.0001341628,nan,nan,nan
-4.6000000000000005,0.0001357685,nan,nan,nan
-4.7,0.0001367533,nan,nan,nan
-4.800000000000001,0.000137423,nan,nan,nan
-4.9,0.0001381681,nan,nan,nan
-5.0,0.0001389722,nan,nan,nan
-5.1000000000000005,0.0001396525,nan,nan,nan
-5.2,0.0001404099,nan,nan,nan
-5.300000000000001,0.0001411249,nan,nan,nan
-5.4,0.0001418532,nan,nan,nan
-5.5,0.0001425298,nan,nan,nan
-5.6000000000000005,0.0001429453,nan,nan,nan
-5.7,0.0001433853,nan,nan,nan
-5.800000000000001,0.0001437496,nan,nan,nan
-5.9,0.0001442256,nan,nan,nan
-6.0,0.0001448237,nan,nan,nan
-6.1000000000000005,0.0001455691,nan,nan,nan
-6.2,0.0001461482,nan,nan,nan
-6.300000000000001,0.0001465531,nan,nan,nan
-6.4,0.0001469121,nan,nan,nan
-6.5,0.0001473245,nan,nan,nan
-6.6000000000000005,0.0001478478,nan,nan,nan
-6.7,0.0001483419,nan,nan,nan
-6.800000000000001,0.000148775,nan,nan,nan
-6.9,0.0001494859,nan,nan,nan
-7.0,0.0001500038,nan,nan,nan
-7.1000000000000005,0.0001504583,nan,nan,nan
-7.2,0.0001512676,nan,nan,nan
-7.300000000000001,0.0001518826,nan,nan,nan
-7.4,0.0001525931,nan,nan,nan
-7.5,0.0001533695,nan,nan,nan
-7.6000000000000005,0.000154802,nan,nan,nan
-7.7,0.0001556137,nan,nan,nan
-7.800000000000001,0.0001561827,nan,nan,nan
-7.9,0.0001569071,nan,nan,nan
-8.0,0.0001577126,nan,nan,nan
-8.1,0.0001584056,nan,nan,nan
-8.200000000000001,0.0001589914,nan,nan,nan
-8.3,0.0001596914,nan,nan,nan
-8.4,0.0001602885,nan,nan,nan
-8.5,0.0001608505,nan,nan,nan
-8.6,0.0001614035,nan,nan,nan
-8.700000000000001,0.0001620252,nan,nan,nan
-8.8,0.0001625322,nan,nan,nan
-8.9,0.0001630635,nan,nan,nan
-9.0,0.0001636029,nan,nan,nan
-9.1,0.0001642067,nan,nan,nan
-9.200000000000001,0.0001646783,nan,nan,nan
-9.3,0.0001651562,nan,nan,nan
-9.4,0.0001655088,nan,nan,nan
-9.5,0.0001661005,nan,nan,nan
-9.600000000000001,0.00016654,nan,nan,nan
-9.700000000000001,0.0001670118,nan,nan,nan
-9.8,0.000167434,nan,nan,nan
-9.9,0.000167832,nan,nan,nan
-10.0,0.0001683677,nan,nan,nan
-10.100000000000001,0.0001688213,nan,nan,nan
-10.200000000000001,0.0001692333,nan,nan,nan
-10.3,0.000169539,nan,nan,nan
-10.4,0.0001698477,nan,nan,nan
-10.5,0.0001700398,nan,nan,nan
-10.600000000000001,0.0001700298,nan,nan,nan
-10.700000000000001,0.0001701169,nan,nan,nan
-10.8,0.0001706748,nan,nan,nan
-10.9,0.0001714359,nan,nan,nan
-11.0,0.0001720783,nan,nan,nan
-11.100000000000001,0.0001727114,nan,nan,nan
-11.200000000000001,0.0001732411,nan,nan,nan
-11.3,0.000173779,nan,nan,nan
-11.4,0.0001742567,nan,nan,nan
-11.5,0.000174872,nan,nan,nan
-11.600000000000001,0.0001755157,nan,nan,nan
-11.700000000000001,0.0001761022,nan,nan,nan
-11.8,0.0001766803,nan,nan,nan
-11.9,0.0001771385,nan,nan,nan
-12.0,0.0001775787,nan,nan,nan
-12.100000000000001,0.0001781585,nan,nan,nan
-12.200000000000001,0.0001786643,nan,nan,nan
-12.3,0.0001791313,nan,nan,nan
-12.4,0.0001794808,nan,nan,nan
-12.5,0.0001800062,nan,nan,nan
-12.600000000000001,0.0001804362,nan,nan,nan
-12.700000000000001,0.000180896,nan,nan,nan
