#Procedure: <laser_setup.procedures.IVg.IVg>
#Parameters:
#	Irange: 0.001 A
#	NPLC: 1
#	Burn-in time: 60 s
#	Chip group name: Alisson
#	Chip number: 71
#	Information: test biotite
#	Laser voltage: 0 V
#	Laser wavelength: 0
#	Procedure version: 2.1.0
#	Sample: other
#	Step time: 0 s
#	VDS: 0.1 V
#	VG end: 5 V
#	VG start: -5 V
#	VG step: 0.2 V
#Metadata:
#	Start time: 1757023004.2214
#Data:
Vg (V),I (A),Plate T (degC),Ambient T (degC),Clock (ms)
0.0,1.221441e-05,nan,nan,nan
-0.2,1.297261e-05,nan,nan,nan
-0.4,1.609275e-05,nan,nan,nan
-0.6000000000000001,2.063377e-05,nan,nan,nan
-0.8,2.591241e-05,nan,nan,nan
-1.0,3.021058e-05,nan,nan,nan
-1.2000000000000002,3.354481e-05,nan,nan,nan
-1.4000000000000001,3.648593e-05,nan,nan,nan
-1.6,3.915225e-05,nan,nan,nan
-1.8,4.120453e-05,nan,nan,nan
-2.0,4.331542e-05,nan,nan,nan
-2.2,4.507272e-05,nan,nan,nan
-2.4000000000000004,4.664531e-05,nan,nan,nan
-2.6,4.832704e-05,nan,nan,nan
-2.8000000000000003,4.965527e-05,nan,nan,nan
-3.0,5.090488e-05,nan,nan,nan
-3.2,5.21803e-05,nan,nan,nan
-3.4000000000000004,5.332255e-05,nan,nan,nan
-3.6,5.429882e-05,nan,nan,nan
-3.8000000000000003,5.531212e-05,nan,nan,nan
-4.0,5.630294e-05,nan,nan,nan
-4.2,5.721294e-05,nan,nan,nan
-4.4,5.802113e-05,nan,nan,nan
-4.6000000000000005,5.880012e-05,nan,nan,nan
-4.800000000000001,5.951892e-05,nan,nan,nan
-5.0,6.024209e-05,nan,nan,nan
-4.8,5.999536e-05,nan,nan,nan
-4.6,5.901205e-05,nan,nan,nan
-4.3999999999999995,5.800267e-05,nan,nan,nan
-4.199999999999999,5.705542e-05,nan,nan,nan
-3.999999999999999,5.611641e-05,nan,nan,nan
-3.799999999999999,5.514697e-05,nan,nan,nan
-3.5999999999999988,5.416137e-05,nan,nan,nan
-3.3999999999999986,5.31279e-05,nan,nan,nan
-3.1999999999999984,5.207241e-05,nan,nan,nan
-2.9999999999999982,5.092836e-05,nan,nan,nan
-2.799999999999998,4.981309e-05,nan,nan,nan
-2.599999999999998,4.845624e-05,nan,nan,nan
-2.3999999999999977,4.727962e-05,nan,nan,nan
-2.1999999999999975,4.582975e-05,nan,nan,nan
-1.9999999999999973,4.422631e-05,nan,nan,nan
-1.7999999999999972,4.242511e-05,nan,nan,nan
-1.599999999999997,4.061805e-05,nan,nan,nan
-1.3999999999999968,3.848047e-05,nan,nan,nan
-1.1999999999999966,3.581317e-05,nan,nan,nan
-0.9999999999999964,3.32022e-05,nan,nan,nan
-0.7999999999999963,2.994115e-05,nan,nan,nan
-0.5999999999999961,2.615892e-05,nan,nan,nan
-0.3999999999999959,2.199806e-05,nan,nan,nan
-0.19999999999999574,1.744766e-05,nan,nan,nan
4.440892098500626e-15,1.406757e-05,nan,nan,nan
0.20000000000000462,1.319005e-05,nan,nan,nan
0.4000000000000048,1.372488e-05,nan,nan,nan
0.600000000000005,1.417219e-05,nan,nan,nan
0.8000000000000052,1.449062e-05,nan,nan,nan
1.0000000000000053,1.527653e-05,nan,nan,nan
1.2000000000000055,1.803463e-05,nan,nan,nan
1.4000000000000057,2.194459e-05,nan,nan,nan
1.6000000000000059,2.617886e-05,nan,nan,nan
1.800000000000006,2.994533e-05,nan,nan,nan
2.000000000000006,3.374778e-05,nan,nan,nan
2.2000000000000064,3.683428e-05,nan,nan,nan
2.4000000000000066,3.921283e-05,nan,nan,nan
2.6000000000000068,4.123323e-05,nan,nan,nan
2.800000000000007,4.300031e-05,nan,nan,nan
3.000000000000007,4.46289e-05,nan,nan,nan
3.2000000000000064,4.604616e-05,nan,nan,nan
3.4000000000000075,4.731431e-05,nan,nan,nan
3.6000000000000085,4.83843e-05,nan,nan,nan
3.800000000000008,4.950044e-05,nan,nan,nan
4.000000000000007,5.037959e-05,nan,nan,nan
4.200000000000008,5.116756e-05,nan,nan,nan
