#Procedure: <laser_setup.procedures.IVg.IVg>
#Parameters:
#	Irange: 0.001 A
#	NPLC: 1
#	Burn-in time: 0 s
#	Chip group name: Alisson
#	Chip number: 71
#	Information: test biotite
#	Laser voltage: 0.2 V
#	Laser wavelength: 455
#	Procedure version: 2.1.0
#	Sample: other
#	Step time: 0 s
#	VDS: 0.1 V
#	VG end: 5 V
#	VG start: -5 V
#	VG step: 0.05 V
#Metadata:
#	Start time: 1757023931.882567
#Data:
Vg (V),I (A),Plate T (degC),Ambient T (degC),Clock (ms)
0.0,1.4553e-05,nan,nan,nan
-0.05,1.444843e-05,nan,nan,nan
-0.1,1.425583e-05,nan,nan,nan
-0.15000000000000002,1.405706e-05,nan,nan,nan
-0.2,1.384031e-05,nan,nan,nan
-0.25,1.359914e-05,nan,nan,nan
-0.30000000000000004,1.338539e-05,nan,nan,nan
-0.35000000000000003,1.304345e-05,nan,nan,nan
-0.4,1.293382e-05,nan,nan,nan
-0.45,1.275751e-05,nan,nan,nan
-0.5,1.263802e-05,nan,nan,nan
-0.55,1.261267e-05,nan,nan,nan
-0.6000000000000001,1.272836e-05,nan,nan,nan
-0.65,1.299483e-05,nan,nan,nan
-0.7000000000000001,1.350466e-05,nan,nan,nan
-0.75,1.436558e-05,nan,nan,nan
-0.8,1.551728e-05,nan,nan,nan
-0.8500000000000001,1.688434e-05,nan,nan,nan
-0.9,1.835113e-05,nan,nan,nan
-0.9500000000000001,1.990215e-05,nan,nan,nan
-1.0,2.137131e-05,nan,nan,nan
-1.05,2.291986e-05,nan,nan,nan
-1.1,2.414225e-05,nan,nan,nan
-1.1500000000000001,2.536945e-05,nan,nan,nan
-1.2000000000000002,2.655377e-05,nan,nan,nan
-1.25,2.773026e-05,nan,nan,nan
-1.3,2.88078e-05,nan,nan,nan
-1.35,2.979247e-05,nan,nan,nan
-1.4000000000000001,3.067225e-05,nan,nan,nan
-1.4500000000000002,3.160793e-05,nan,nan,nan
-1.5,3.249914e-05,nan,nan,nan
-1.55,3.381006e-05,nan,nan,nan
-1.6,3.416894e-05,nan,nan,nan
-1.6500000000000001,3.501562e-05,nan,nan,nan
-1.7000000000000002,3.57183e-05,nan,nan,nan
-1.75,3.638205e-05,nan,nan,nan
-1.8,3.708823e-05,nan,nan,nan
-1.85,3.772893e-05,nan,nan,nan
-1.9000000000000001,3.833165e-05,nan,nan,nan
-1.9500000000000002,3.890756e-05,nan,nan,nan
-2.0,3.951416e-05,nan,nan,nan
-2.0500000000000003,4.007262e-05,nan,nan,nan
-2.1,4.058901e-05,nan,nan,nan
-2.15,4.115554e-05,nan,nan,nan
-2.2,4.159587e-05,nan,nan,nan
-2.25,4.211342e-05,nan,nan,nan
-2.3000000000000003,4.261254e-05,nan,nan,nan
-2.35,4.303236e-05,nan,nan,nan
-2.4000000000000004,4.351028e-05,nan,nan,nan
-2.45,4.393484e-05,nan,nan,nan
-2.5,4.436444e-05,nan,nan,nan
-2.5500000000000003,4.476474e-05,nan,nan,nan
-2.6,4.516533e-05,nan,nan,nan
-2.6500000000000004,4.552586e-05,nan,nan,nan
