#Procedure: <laser_setup.procedures.IVg.IVg>
#Parameters:
#	Irange: 0.001 A
#	NPLC: 1
#	Burn-in time: 60 s
#	Chip group name: Alisson
#	Chip number: 79
#	Information: first measurement
#	Laser voltage: 0 V
#	Laser wavelength: 0
#	Procedure version: 2.1.0
#	Sample: D
#	Step time: 0 s
#	VDS: 0.1 V
#	VG end: 20 V
#	VG start: -20 V
#	VG step: 0.1 V
#Metadata:
#	Start time: 1757017247.0962374
#Data:
Vg (V),I (A),Plate T (degC),Ambient T (degC),Clock (ms)
0.0,4.892099e-05,nan,nan,nan
-0.1,5.096261e-05,nan,nan,nan
-0.2,5.587407e-05,nan,nan,nan
-0.30000000000000004,6.088612e-05,nan,nan,nan
-0.4,6.542162e-05,nan,nan,nan
-0.5,6.959345e-05,nan,nan,nan
-0.6000000000000001,7.336756e-05,nan,nan,nan
-0.7000000000000001,7.696322e-05,nan,nan,nan
-0.8,8.024027e-05,nan,nan,nan
-0.9,8.33496e-05,nan,nan,nan
-1.0,8.594601e-05,nan,nan,nan
-1.1,8.849145e-05,nan,nan,nan
-1.2000000000000002,9.088228e-05,nan,nan,nan
-1.3,9.310733e-05,nan,nan,nan
-1.4000000000000001,9.50426e-05,nan,nan,nan
-1.5,9.700851e-05,nan,nan,nan
-1.6,9.901205e-05,nan,nan,nan
-1.7000000000000002,0.0001007226,nan,nan,nan
-1.8,0.0001022908,nan,nan,nan
-1.9000000000000001,0.0001039259,nan,nan,nan
-2.0,0.0001054871,nan,nan,nan
-2.1,0.0001069971,nan,nan,nan
-2.2,0.0001084777,nan,nan,nan
-2.3000000000000003,0.0001098713,nan,nan,nan
-2.4000000000000004,0.0001113064,nan,nan,nan
-2.5,0.0001127357,nan,nan,nan
-2.6,0.0001140396,nan,nan,nan
-2.7,0.0001153423,nan,nan,nan
-2.8000000000000003,0.0001166109,nan,nan,nan
-2.9000000000000004,0.0001178134,nan,nan,nan
-3.0,0.0001190991,nan,nan,nan
-3.1,0.000120334,nan,nan,nan
-3.2,0.0001214922,nan,nan,nan
-3.3000000000000003,0.0001226697,nan,nan,nan
-3.4000000000000004,0.0001239007,nan,nan,nan
-3.5,0.00012504,nan,nan,nan
-3.6,0.0001261192,nan,nan,nan
-3.7,0.0001273589,nan,nan,nan
-3.8000000000000003,0.0001284733,nan,nan,nan
-3.9000000000000004,0.0001295371,nan,nan,nan
-4.0,0.0001311031,nan,nan,nan
-4.1000000000000005,0.0001317083,nan,nan,nan
-4.2,0.0001327741,nan,nan,nan
-4.3,0.0001338441,nan,nan,nan
-4.4,0.0001348735,nan,nan,nan
-4.5,0.0001360052,nan,nan,nan
-4.6000000000000005,0.0001370737,nan,nan,nan
-4.7,0.0001380259,nan,nan,nan
-4.800000000000001,0.0001390193,nan,nan,nan
-4.9,0.0001401207,nan,nan,nan
-5.0,0.0001411107,nan,nan,nan
-5.1000000000000005,0.0001420973,nan,nan,nan
-5.2,0.0001431944,nan,nan,nan
-5.300000000000001,0.0001441809,nan,nan,nan
-5.4,0.0001451425,nan,nan,nan
-5.5,0.0001461095,nan,nan,nan
-5.6000000000000005,0.0001470779,nan,nan,nan
-5.7,0.0001481112,nan,nan,nan
-5.800000000000001,0.0001490223,nan,nan,nan
-5.9,0.0001499505,nan,nan,nan
-6.0,0.0001509213,nan,nan,nan
-6.1000000000000005,0.0001519326,nan,nan,nan
-6.2,0.0001528212,nan,nan,nan
-6.300000000000001,0.0001537451,nan,nan,nan
-6.4,0.0001551343,nan,nan,nan
-6.5,0.0001555625,nan,nan,nan
-6.6000000000000005,0.0001564739,nan,nan,nan
-6.7,0.0001574018,nan,nan,nan
-6.800000000000001,0.0001582782,nan,nan,nan
-6.9,0.0001591785,nan,nan,nan
-7.0,0.0001600676,nan,nan,nan
-7.1000000000000005,0.0001609012,nan,nan,nan
-7.2,0.0001618095,nan,nan,nan
-7.300000000000001,0.0001627041,nan,nan,nan
-7.4,0.0001635673,nan,nan,nan
-7.5,0.0001643952,nan,nan,nan
-7.6000000000000005,0.0001652622,nan,nan,nan
-7.7,0.0001661474,nan,nan,nan
-7.800000000000001,0.00016696,nan,nan,nan
-7.9,0.0001677539,nan,nan,nan
-8.0,0.0001685451,nan,nan,nan
-8.1,0.0001694054,nan,nan,nan
-8.200000000000001,0.00017019,nan,nan,nan
-8.3,0.0001710323,nan,nan,nan
-8.4,0.0001718782,nan,nan,nan
-8.5,0.0001726592,nan,nan,nan
-8.6,0.0001734834,nan,nan,nan
-8.700000000000001,0.0001742054,nan,nan,nan
-8.8,0.0001749993,nan,nan,nan
-8.9,0.0001757202,nan,nan,nan
-9.0,0.0001765229,nan,nan,nan
-9.1,0.0001772373,nan,nan,nan
-9.200000000000001,0.0001779722,nan,nan,nan
-9.3,0.0001787074,nan,nan,nan
-9.4,0.0001794163,nan,nan,nan
-9.5,0.0001801599,nan,nan,nan
-9.600000000000001,0.0001809052,nan,nan,nan
-9.700000000000001,0.0001816637,nan,nan,nan
-9.8,0.0001823184,nan,nan,nan
-9.9,0.0001830208,nan,nan,nan
-10.0,0.0001836829,nan,nan,nan
-10.100000000000001,0.0001844444,nan,nan,nan
-10.200000000000001,0.0001851331,nan,nan,nan
-10.3,0.0001858265,nan,nan,nan
-10.4,0.0001864347,nan,nan,nan
-10.5,0.0001871479,nan,nan,nan
-10.600000000000001,0.0001878187,nan,nan,nan
-10.700000000000001,0.0001884689,nan,nan,nan
-10.8,0.0001890755,nan,nan,nan
-10.9,0.0001897675,nan,nan,nan
-11.0,0.0001904325,nan,nan,nan
-11.100000000000001,0.0001910841,nan,nan,nan
-11.200000000000001,0.0001917536,nan,nan,nan
-11.3,0.0001923782,nan,nan,nan
-11.4,0.000192995,nan,nan,nan
-11.5,0.0001936227,nan,nan,nan
-11.600000000000001,0.0001942474,nan,nan,nan
-11.700000000000001,0.0001948863,nan,nan,nan
-11.8,0.0001954726,nan,nan,nan
-11.9,0.000196128,nan,nan,nan
-12.0,0.0001967434,nan,nan,nan
-12.100000000000001,0.0001973396,nan,nan,nan
-12.200000000000001,0.0001979234,nan,nan,nan
-12.3,0.0001985012,nan,nan,nan
-12.4,0.0001991169,nan,nan,nan
-12.5,0.0001997102,nan,nan,nan
-12.600000000000001,0.0002003089,nan,nan,nan
-12.700000000000001,0.000200936,nan,nan,nan
-12.8,0.0002016997,nan,nan,nan
-12.9,0.0002021963,nan,nan,nan
-13.0,0.0002028669,nan,nan,nan
-13.100000000000001,0.0002037223,nan,nan,nan
-13.200000000000001,0.0002042296,nan,nan,nan
-13.3,0.0002049017,nan,nan,nan
-13.4,0.0002056165,nan,nan,nan
-13.5,0.0002060467,nan,nan,nan
-13.600000000000001,0.0002067784,nan,nan,nan
-13.700000000000001,0.0002070704,nan,nan,nan
-13.8,0.0002076094,nan,nan,nan
-13.9,0.0002081112,nan,nan,nan
-14.0,0.000209177,nan,nan,nan
-14.100000000000001,0.0002097992,nan,nan,nan
-14.200000000000001,0.0002103095,nan,nan,nan
-14.3,0.0002111128,nan,nan,nan
-14.4,0.0002120067,nan,nan,nan
-14.5,0.0002123273,nan,nan,nan
-14.600000000000001,0.0002117202,nan,nan,nan
-14.700000000000001,0.0002121128,nan,nan,nan
-14.8,0.0002125456,nan,nan,nan
-14.9,0.0002129558,nan,nan,nan
-15.0,0.0002133478,nan,nan,nan
-15.100000000000001,0.0002138564,nan,nan,nan
-15.200000000000001,0.0002144347,nan,nan,nan
-15.3,0.0002148384,nan,nan,nan
-15.4,0.0002152244,nan,nan,nan
-15.5,0.0002157368,nan,nan,nan
-15.600000000000001,0.0002163361,nan,nan,nan
-15.700000000000001,0.0002168832,nan,nan,nan
-15.8,0.0002172094,nan,nan,nan
-15.9,0.0002176334,nan,nan,nan
-16.0,0.0002180543,nan,nan,nan
-16.1,0.0002185603,nan,nan,nan
-16.2,0.0002190533,nan,nan,nan
-16.3,0.000219477,nan,nan,nan
-16.400000000000002,0.0002201532,nan,nan,nan
-16.5,0.0002205822,nan,nan,nan
-16.6,0.0002211987,nan,nan,nan
-16.7,0.0002215863,nan,nan,nan
-16.8,0.0002220374,nan,nan,nan
-16.900000000000002,0.0002224495,nan,nan,nan
-17.0,0.0002228893,nan,nan,nan
-17.1,0.0002232666,nan,nan,nan
-17.2,0.0002236994,nan,nan,nan
-17.3,0.0002240858,nan,nan,nan
