#Procedure: <laser_setup.procedures.IVg.IVg>
#Parameters:
#	Irange: 0.001 A
#	NPLC: 1
#	Burn-in time: 0 s
#	Chip group name: Alisson
#	Chip number: 79
#	Information: without light
#	Laser voltage: 0 V
#	Laser wavelength: 455
#	Procedure version: 2.1.0
#	Sample: D
#	Step time: 0 s
#	VDS: 0.1 V
#	VG end: 20 V
#	VG start: -20 V
#	VG step: 0.1 V
#Metadata:
#	Start time: 1757017893.0041947
#Data:
Vg (V),I (A),Plate T (degC),Ambient T (degC),Clock (ms)
0.0,6.857324e-05,nan,nan,nan
-0.1,7.025696e-05,nan,nan,nan
-0.2,7.77698e-05,nan,nan,nan
-0.30000000000000004,7.95132e-05,nan,nan,nan
-0.4,8.382321e-05,nan,nan,nan
-0.5,8.775385e-05,nan,nan,nan
-0.6000000000000001,9.147847e-05,nan,nan,nan
-0.7000000000000001,9.481516e-05,nan,nan,nan
-0.8,9.806117e-05,nan,nan,nan
-0.9,0.0001010868,nan,nan,nan
-1.0,0.0001038878,nan,nan,nan
-1.1,0.0001065202,nan,nan,nan
-1.2000000000000002,0.0001089663,nan,nan,nan
-1.3,0.0001112734,nan,nan,nan
-1.4000000000000001,0.0001132652,nan,nan,nan
-1.5,0.0001154025,nan,nan,nan
-1.6,0.0001175088,nan,nan,nan
-1.7000000000000002,0.0001192846,nan,nan,nan
-1.8,0.0001210403,nan,nan,nan
-1.9000000000000001,0.0001227042,nan,nan,nan
-2.0,0.000124358,nan,nan,nan
-2.1,0.0001259959,nan,nan,nan
-2.2,0.0001275705,nan,nan,nan
-2.3000000000000003,0.0001290452,nan,nan,nan
-2.4000000000000004,0.0001305188,nan,nan,nan
-2.5,0.0001319299,nan,nan,nan
-2.6,0.0001341835,nan,nan,nan
-2.7,0.0001346973,nan,nan,nan
-2.8000000000000003,0.0001359462,nan,nan,nan
-2.9000000000000004,0.0001372568,nan,nan,nan
-3.0,0.0001385699,nan,nan,nan
-3.1,0.0001398253,nan,nan,nan
-3.2,0.0001410136,nan,nan,nan
-3.3000000000000003,0.0001421448,nan,nan,nan
-3.4000000000000004,0.0001434095,nan,nan,nan
-3.5,0.0001445603,nan,nan,nan
-3.6,0.0001455727,nan,nan,nan
-3.7,0.0001467654,nan,nan,nan
-3.8000000000000003,0.0001479057,nan,nan,nan
-3.9000000000000004,0.000149067,nan,nan,nan
-4.0,0.0001501532,nan,nan,nan
-4.1000000000000005,0.0001511593,nan,nan,nan
-4.2,0.0001522073,nan,nan,nan
-4.3,0.0001532913,nan,nan,nan
-4.4,0.0001543814,nan,nan,nan
-4.5,0.0001553077,nan,nan,nan
-4.6000000000000005,0.0001563182,nan,nan,nan
-4.7,0.0001572876,nan,nan,nan
-4.800000000000001,0.0001583155,nan,nan,nan
-4.9,0.0001592675,nan,nan,nan
-5.0,0.0001603588,nan,nan,nan
-5.1000000000000005,0.000161347,nan,nan,nan
-5.2,0.0001623183,nan,nan,nan
-5.300000000000001,0.0001632838,nan,nan,nan
-5.4,0.0001642723,nan,nan,nan
-5.5,0.000165194,nan,nan,nan
-5.6000000000000005,0.0001661348,nan,nan,nan
-5.7,0.0001670821,nan,nan,nan
-5.800000000000001,0.0001680117,nan,nan,nan
-5.9,0.0001687939,nan,nan,nan
-6.0,0.0001696261,nan,nan,nan
-6.1000000000000005,0.0001706613,nan,nan,nan
-6.2,0.0001715776,nan,nan,nan
-6.300000000000001,0.0001723828,nan,nan,nan
-6.4,0.000173217,nan,nan,nan
-6.5,0.0001741212,nan,nan,nan
-6.6000000000000005,0.0001750031,nan,nan,nan
-6.7,0.000175833,nan,nan,nan
-6.800000000000001,0.0001766301,nan,nan,nan
-6.9,0.0001774998,nan,nan,nan
-7.0,0.0001784324,nan,nan,nan
-7.1000000000000005,0.0001791767,nan,nan,nan
-7.2,0.0001800207,nan,nan,nan
-7.300000000000001,0.000180798,nan,nan,nan
-7.4,0.0001816132,nan,nan,nan
-7.5,0.0001824662,nan,nan,nan
-7.6000000000000005,0.0001832184,nan,nan,nan
-7.7,0.0001839933,nan,nan,nan
-7.800000000000001,0.0001846657,nan,nan,nan
-7.9,0.0001854849,nan,nan,nan
-8.0,0.0001862787,nan,nan,nan
-8.1,0.0001869972,nan,nan,nan
-8.200000000000001,0.0001877184,nan,nan,nan
-8.3,0.0001885165,nan,nan,nan
-8.4,0.000189315,nan,nan,nan
-8.5,0.0001899349,nan,nan,nan
-8.6,0.0001907027,nan,nan,nan
-8.700000000000001,0.0001913768,nan,nan,nan
-8.8,0.0001920865,nan,nan,nan
-8.9,0.0001927777,nan,nan,nan
-9.0,0.0001934395,nan,nan,nan
-9.1,0.0001941031,nan,nan,nan
-9.200000000000001,0.0001948358,nan,nan,nan
-9.3,0.0001954976,nan,nan,nan
-9.4,0.0001961407,nan,nan,nan
-9.5,0.0001967751,nan,nan,nan
-9.600000000000001,0.0001974499,nan,nan,nan
-9.700000000000001,0.0001981737,nan,nan,nan
-9.8,0.000198714,nan,nan,nan
-9.9,0.00019955,nan,nan,nan
-10.0,0.0002000234,nan,nan,nan
-10.100000000000001,0.0002006801,nan,nan,nan
-10.200000000000001,0.000201298,nan,nan,nan
-10.3,0.000201968,nan,nan,nan
-10.4,0.0002025783,nan,nan,nan
-10.5,0.0002032154,nan,nan,nan
-10.600000000000001,0.0002038478,nan,nan,nan
-10.700000000000001,0.0002044588,nan,nan,nan
-10.8,0.0002052311,nan,nan,nan
-10.9,0.0002059663,nan,nan,nan
-11.0,0.0002066608,nan,nan,nan
-11.100000000000001,0.0002072921,nan,nan,nan
-11.200000000000001,0.000207851,nan,nan,nan
-11.3,0.0002084688,nan,nan,nan
-11.4,0.0002090375,nan,nan,nan
-11.5,0.0002095781,nan,nan,nan
-11.600000000000001,0.0002102864,nan,nan,nan
-11.700000000000001,0.0002109474,nan,nan,nan
-11.8,0.0002115252,nan,nan,nan
-11.9,0.0002121353,nan,nan,nan
-12.0,0.000212734,nan,nan,nan
-12.100000000000001,0.000213386,nan,nan,nan
-12.200000000000001,0.0002139176,nan,nan,nan
-12.3,0.0002144586,nan,nan,nan
-12.4,0.0002149595,nan,nan,nan
-12.5,0.0002155172,nan,nan,nan
-12.600000000000001,0.0002160142,nan,nan,nan
-12.700000000000001,0.0002165924,nan,nan,nan
-12.8,0.0002171633,nan,nan,nan
-12.9,0.0002176325,nan,nan,nan
-13.0,0.0002182733,nan,nan,nan
-13.100000000000001,0.000218839,nan,nan,nan
-13.200000000000001,0.0002193904,nan,nan,nan
-13.3,0.00021986,nan,nan,nan
-13.4,0.0002204169,nan,nan,nan
-13.5,0.000220958,nan,nan,nan
-13.600000000000001,0.0002215931,nan,nan,nan
-13.700000000000001,0.0002221732,nan,nan,nan
-13.8,0.000222636,nan,nan,nan
-13.9,0.0002231079,nan,nan,nan
-14.0,0.0002236689,nan,nan,nan
-14.100000000000001,0.0002239768,nan,nan,nan
-14.200000000000001,0.0002245407,nan,nan,nan
-14.3,0.0002250704,nan,nan,nan
-14.4,0.0002256193,nan,nan,nan
-14.5,0.0002263964,nan,nan,nan
-14.600000000000001,0.0002275724,nan,nan,nan
-14.700000000000001,0.0002280116,nan,nan,nan
-14.8,0.00022857,nan,nan,nan
-14.9,0.0002291002,nan,nan,nan
-15.0,0.0002295753,nan,nan,nan
-15.100000000000001,0.0002300957,nan,nan,nan
-15.200000000000001,0.0002306502,nan,nan,nan
-15.3,0.0002310889,nan,nan,nan
-15.4,0.0002318279,nan,nan,nan
-15.5,0.0002323095,nan,nan,nan
-15.600000000000001,0.0002327051,nan,nan,nan
-15.700000000000001,0.0002332015,nan,nan,nan
-15.8,0.0002335358,nan,nan,nan
-15.9,0.0002340704,nan,nan,nan
-16.0,0.0002344553,nan,nan,nan
-16.1,0.0002346308,nan,nan,nan
-16.2,0.0002350539,nan,nan,nan
-16.3,0.0002354671,nan,nan,nan
-16.400000000000002,0.0002364681,nan,nan,nan
-16.5,0.0002372517,nan,nan,nan
-16.6,0.0002377575,nan,nan,nan
-16.7,0.0002384322,nan,nan,nan
-16.8,0.0002388469,nan,nan,nan
-16.900000000000002,0.0002392237,nan,nan,nan
-17.0,0.0002396723,nan,nan,nan
-17.1,0.0002403238,nan,nan,nan
-17.2,0.0002404862,nan,nan,nan
-17.3,0.0002408643,nan,nan,nan
-17.400000000000002,0.0002411861,nan,nan,nan
-17.5,0.0002416143,nan,nan,nan
-17.6,0.0002420174,nan,nan,nan
-17.7,0.0002424043,nan,nan,nan
-17.8,0.0002428699,nan,nan,nan
-17.900000000000002,0.0002446737,nan,nan,nan
-18.0,0.0002453142,nan,nan,nan
-18.1,0.0002459699,nan,nan,nan
-18.2,0.0002463997,nan,nan,nan
-18.3,0.000246803,nan,nan,nan
-18.400000000000002,0.0002472473,nan,nan,nan
-18.5,0.0002476598,nan,nan,nan
-18.6,0.0002479876,nan,nan,nan
-18.7,0.0002483631,nan,nan,nan
-18.8,0.0002488018,nan,nan,nan
-18.900000000000002,0.0002491594,nan,nan,nan
-19.0,0.0002495469,nan,nan,nan
-19.1,0.0002499487,nan,nan,nan
-19.200000000000003,0.0002502789,nan,nan,nan
-19.3,0.0002506405,nan,nan,nan
-19.400000000000002,0.0002510469,nan,nan,nan
-19.5,0.000251376,nan,nan,nan
-19.6,0.0002515783,nan,nan,nan
-19.700000000000003,0.0002519166,nan,nan,nan
-19.8,0.0002523255,nan,nan,nan
-19.900000000000002,0.000252631,nan,nan,nan
-20.0,0.0002530325,nan,nan,nan
-19.9,0.000253893,nan,nan,nan
-19.799999999999997,0.0002542272,nan,nan,nan
-19.699999999999996,0.0002544136,nan,nan,nan
-19.599999999999994,0.0002541216,nan,nan,nan
-19.499999999999993,0.0002537944,nan,nan,nan
-19.39999999999999,0.0002534706,nan,nan,nan
-19.29999999999999,0.0002531219,nan,nan,nan
-19.19999999999999,0.0002527247,nan,nan,nan
-19.099999999999987,0.0002523777,nan,nan,nan
-18.999999999999986,0.0002520059,nan,nan,nan
-18.899999999999984,0.000251375,nan,nan,nan
-18.799999999999983,0.0002510148,nan,nan,nan
