#Procedure: <laser_setup.procedures.It.It>
#Parameters:
#	Irange: 0.001 A
#	NPLC: 1
#	T step start time: 120 s
#	Chip group name: Alisson
#	Chip number: 71
#	Information: test biotite
#	Initial (current) T: 0 C
#	Laser ON+OFF period: 120 s
#	Laser voltage: 0.2 V
#	Laser wavelength: 455
#	Procedure version: 2.2.0
#	Sample: other
#	Sampling time (excluding Keithley): 0 s
#	Target T: 25 C
#	VDS: 0.1 V
#	VG: -1 V
#Metadata:
#	Start time: 1757024205.5707214
#Data:
t (s),I (A),VL (V),Plate T (degC),Ambient T (degC),Clock (ms)
0.0,2.490967e-05,0.0,nan,nan,nan
0.08352954,2.508486e-05,0.0,nan,nan,nan
0.1670137,2.525616e-05,0.0,nan,nan,nan
0.250535,2.538982e-05,0.0,nan,nan,nan
0.3340623,2.552469e-05,0.0,nan,nan,nan
0.4176745,2.562159e-05,0.0,nan,nan,nan
0.5015023,2.57562e-05,0.0,nan,nan,nan
0.5849553,2.591775e-05,0.0,nan,nan,nan
0.6684671,2.599869e-05,0.0,nan,nan,nan
0.7518133,2.614184e-05,0.0,nan,nan,nan
0.8353849,2.62112e-05,0.0,nan,nan,nan
0.9187132,2.627457e-05,0.0,nan,nan,nan
1.002187,2.638674e-05,0.0,nan,nan,nan
1.086067,2.648275e-05,0.0,nan,nan,nan
1.169487,2.656716e-05,0.0,nan,nan,nan
1.252899,2.664602e-05,0.0,nan,nan,nan
1.33641,2.675567e-05,0.0,nan,nan,nan
1.419776,2.683154e-05,0.0,nan,nan,nan
1.503359,2.687912e-05,0.0,nan,nan,nan
1.586923,2.693345e-05,0.0,nan,nan,nan
1.670448,2.698105e-05,0.0,nan,nan,nan
1.754032,2.706857e-05,0.0,nan,nan,nan
1.837587,2.71407e-05,0.0,nan,nan,nan
1.921007,2.715005e-05,0.0,nan,nan,nan
2.004625,2.724074e-05,0.0,nan,nan,nan
2.088143,2.731252e-05,0.0,nan,nan,nan
2.171865,2.73975e-05,0.0,nan,nan,nan
2.255256,2.749104e-05,0.0,nan,nan,nan
2.339049,2.750085e-05,0.0,nan,nan,nan
2.422411,2.753975e-05,0.0,nan,nan,nan
2.506003,2.761014e-05,0.0,nan,nan,nan
2.589385,2.770976e-05,0.0,nan,nan,nan
2.672966,2.77547e-05,0.0,nan,nan,nan
2.756763,2.779883e-05,0.0,nan,nan,nan
2.840839,2.783e-05,0.0,nan,nan,nan
2.924334,2.78547e-05,0.0,nan,nan,nan
3.007766,2.79147e-05,0.0,nan,nan,nan
3.091374,2.797186e-05,0.0,nan,nan,nan
3.174905,2.805211e-05,0.0,nan,nan,nan
3.258651,2.803293e-05,0.0,nan,nan,nan
3.342086,2.814838e-05,0.0,nan,nan,nan
3.425498,2.814067e-05,0.0,nan,nan,nan
3.508956,2.820007e-05,0.0,nan,nan,nan
3.59226,2.824575e-05,0.0,nan,nan,nan
3.675982,2.826891e-05,0.0,nan,nan,nan
3.759529,2.834225e-05,0.0,nan,nan,nan
3.843137,2.83575e-05,0.0,nan,nan,nan
3.926583,2.843609e-05,0.0,nan,nan,nan
4.010011,2.843795e-05,0.0,nan,nan,nan
4.093663,2.847695e-05,0.0,nan,nan,nan
4.177289,2.851071e-05,0.0,nan,nan,nan
4.260945,2.860778e-05,0.0,nan,nan,nan
4.344559,2.862327e-05,0.0,nan,nan,nan
4.428282,2.868312e-05,0.0,nan,nan,nan
4.51186,2.870924e-05,0.0,nan,nan,nan
4.59538,2.874144e-05,0.0,nan,nan,nan
4.67933,2.876491e-05,0.0,nan,nan,nan
4.762772,2.879036e-05,0.0,nan,nan,nan
4.846203,2.888047e-05,0.0,nan,nan,nan
4.92962,2.887044e-05,0.0,nan,nan,nan
5.013298,2.894615e-05,0.0,nan,nan,nan
5.096805,2.897345e-05,0.0,nan,nan,nan
5.180291,2.897587e-05,0.0,nan,nan,nan
5.263902,2.898228e-05,0.0,nan,nan,nan
5.348073,2.905303e-05,0.0,nan,nan,nan
5.431504,2.911219e-05,0.0,nan,nan,nan
5.514906,2.911967e-05,0.0,nan,nan,nan
5.598391,2.915869e-05,0.0,nan,nan,nan
5.682054,2.916249e-05,0.0,nan,nan,nan
5.765684,2.918529e-05,0.0,nan,nan,nan
5.849189,2.924471e-05,0.0,nan,nan,nan
5.932611,2.928533e-05,0.0,nan,nan,nan
6.015986,2.931397e-05,0.0,nan,nan,nan
6.099533,2.936089e-05,0.0,nan,nan,nan
6.18316,2.936441e-05,0.0,nan,nan,nan
6.266787,2.936056e-05,0.0,nan,nan,nan
6.350413,2.942894e-05,0.0,nan,nan,nan
6.43377,2.94562e-05,0.0,nan,nan,nan
6.517239,2.948588e-05,0.0,nan,nan,nan
6.60077,2.948888e-05,0.0,nan,nan,nan
6.684841,2.95283e-05,0.0,nan,nan,nan
6.768439,2.957685e-05,0.0,nan,nan,nan
6.851938,2.958841e-05,0.0,nan,nan,nan
6.935283,2.964582e-05,0.0,nan,nan,nan
7.018665,2.965071e-05,0.0,nan,nan,nan
7.102096,2.968638e-05,0.0,nan,nan,nan
7.185569,2.97201e-05,0.0,nan,nan,nan
7.269024,2.971604e-05,0.0,nan,nan,nan
7.352399,2.972855e-05,0.0,nan,nan,nan
7.435805,2.98201e-05,0.0,nan,nan,nan
7.519236,2.984499e-05,0.0,nan,nan,nan
7.602831,2.986266e-05,0.0,nan,nan,nan
7.68627,2.991937e-05,0.0,nan,nan,nan
7.769783,2.992749e-05,0.0,nan,nan,nan
7.8534,2.995866e-05,0.0,nan,nan,nan
7.936782,2.996198e-05,0.0,nan,nan,nan
8.020283,2.998578e-05,0.0,nan,nan,nan
8.103627,3.004069e-05,0.0,nan,nan,nan
8.187215,3.001236e-05,0.0,nan,nan,nan
8.270798,3.005637e-05,0.0,nan,nan,nan
8.354689,3.00925e-05,0.0,nan,nan,nan
8.438294,3.009981e-05,0.0,nan,nan,nan
8.524308,3.017166e-05,0.0,nan,nan,nan
8.607809,3.019517e-05,0.0,nan,nan,nan
8.691363,3.020818e-05,0.0,nan,nan,nan
8.775012,3.023164e-05,0.0,nan,nan,nan
8.858436,3.02837e-05,0.0,nan,nan,nan
8.941881,3.032624e-05,0.0,nan,nan,nan
9.025719,3.033153e-05,0.0,nan,nan,nan
9.109269,3.03245e-05,0.0,nan,nan,nan
9.192874,3.037181e-05,0.0,nan,nan,nan
9.27648,3.034394e-05,0.0,nan,nan,nan
9.359974,3.040298e-05,0.0,nan,nan,nan
9.443509,3.045218e-05,0.0,nan,nan,nan
9.527262,3.043934e-05,0.0,nan,nan,nan
9.610733,3.044101e-05,0.0,nan,nan,nan
9.694188,3.047891e-05,0.0,nan,nan,nan
9.777773,3.050563e-05,0.0,nan,nan,nan
9.861567,3.055558e-05,0.0,nan,nan,nan
9.944977,3.052626e-05,0.0,nan,nan,nan
10.02859,3.061245e-05,0.0,nan,nan,nan
10.11211,3.060733e-05,0.0,nan,nan,nan
10.19566,3.064167e-05,0.0,nan,nan,nan
10.27919,3.06298e-05,0.0,nan,nan,nan
10.36271,3.069974e-05,0.0,nan,nan,nan
10.44619,3.068367e-05,0.0,nan,nan,nan
10.52997,3.069709e-05,0.0,nan,nan,nan
10.61375,3.076593e-05,0.0,nan,nan,nan
10.69733,3.07911e-05,0.0,nan,nan,nan
