#Procedure: <laser_setup.procedures.It.It>
#Parameters:
#	Irange: 0.001 A
#	NPLC: 1
#	T step start time: 120 s
#	Chip group name: Alisson
#	Chip number: 71
#	Information: test biotite
#	Initial (current) T: 0 C
#	Laser ON+OFF period: 120 s
#	Laser voltage: 4 V
#	Laser wavelength: 455
#	Procedure version: 2.2.0
#	Sample: other
#	Sampling time (excluding Keithley): 0 s
#	Target T: 25 C
#	VDS: 0.1 V
#	VG: -2 V
#Metadata:
#	Start time: 1757025380.0006182
#Data:
t (s),I (A),VL (V),Plate T (degC),Ambient T (degC),Clock (ms)
0.0,4.302613e-05,0.0,nan,nan,nan
0.08403814,4.354832e-05,0.0,nan,nan,nan
0.1673443,4.353076e-05,0.0,nan,nan,nan
0.2508484,4.354184e-05,0.0,nan,nan,nan
0.3342759,4.354237e-05,0.0,nan,nan,nan
0.4175946,4.356254e-05,0.0,nan,nan,nan
0.5009136,4.356415e-05,0.0,nan,nan,nan
0.5845696,4.356967e-05,0.0,nan,nan,nan
0.667992,4.357852e-05,0.0,nan,nan,nan
0.7514139,4.359319e-05,0.0,nan,nan,nan
0.8348245,4.355349e-05,0.0,nan,nan,nan
0.9183122,4.355799e-05,0.0,nan,nan,nan
1.001818,4.357699e-05,0.0,nan,nan,nan
1.085211,4.360899e-05,0.0,nan,nan,nan
1.168741,4.354801e-05,0.0,nan,nan,nan
1.252225,4.362204e-05,0.0,nan,nan,nan
1.335617,4.359526e-05,0.0,nan,nan,nan
1.419112,4.361385e-05,0.0,nan,nan,nan
1.502548,4.36194e-05,0.0,nan,nan,nan
1.585889,4.362139e-05,0.0,nan,nan,nan
1.669431,4.363388e-05,0.0,nan,nan,nan
1.75294,4.361843e-05,0.0,nan,nan,nan
1.836429,4.35956e-05,0.0,nan,nan,nan
1.919805,4.360932e-05,0.0,nan,nan,nan
2.003435,4.354757e-05,0.0,nan,nan,nan
2.087048,4.358673e-05,0.0,nan,nan,nan
2.170432,4.358006e-05,0.0,nan,nan,nan
2.253832,4.355712e-05,0.0,nan,nan,nan
2.337449,4.355936e-05,0.0,nan,nan,nan
2.420897,4.354312e-05,0.0,nan,nan,nan
2.504438,4.358604e-05,0.0,nan,nan,nan
2.587787,4.352948e-05,0.0,nan,nan,nan
2.671464,4.349837e-05,0.0,nan,nan,nan
2.756761,4.349499e-05,0.0,nan,nan,nan
2.840126,4.353905e-05,0.0,nan,nan,nan
2.923599,4.348933e-05,0.0,nan,nan,nan
3.006996,4.348587e-05,0.0,nan,nan,nan
3.090294,4.350891e-05,0.0,nan,nan,nan
3.173676,4.348344e-05,0.0,nan,nan,nan
