#Procedure: <laser_setup.procedures.It.It>
#Parameters:
#	Irange: 0.001 A
#	NPLC: 1
#	T step start time: 120 s
#	Chip group name: Alisson
#	Chip number: 71
#	Information: test biotite
#	Initial (current) T: 0 C
#	Laser ON+OFF period: 120 s
#	Laser voltage: 4 V
#	Laser wavelength: 455
#	Procedure version: 2.2.0
#	Sample: other
#	Sampling time (excluding Keithley): 0 s
#	Target T: 25 C
#	VDS: 0.1 V
#	VG: 1 V
#Metadata:
#	Start time: 1757026408.0077765
#Data:
t (s),I (A),VL (V),Plate T (degC),Ambient T (degC),Clock (ms)
0.0,3.724622e-05,0.0,nan,nan,nan
0.08345422,3.728271e-05,0.0,nan,nan,nan
0.1669004,3.732225e-05,0.0,nan,nan,nan
0.2504187,3.734803e-05,0.0,nan,nan,nan
0.3339606,3.73954e-05,0.0,nan,nan,nan
0.4172989,3.742538e-05,0.0,nan,nan,nan
0.5006855,3.738891e-05,0.0,nan,nan,nan
0.5842535,3.738653e-05,0.0,nan,nan,nan
0.6696851,3.742751e-05,0.0,nan,nan,nan
0.7534083,3.742888e-05,0.0,nan,nan,nan
0.8370847,3.742533e-05,0.0,nan,nan,nan
0.9205359,3.742212e-05,0.0,nan,nan,nan
1.004081,3.742362e-05,0.0,nan,nan,nan
1.087699,3.743912e-05,0.0,nan,nan,nan
1.171193,3.73928e-05,0.0,nan,nan,nan
1.25468,3.74105e-05,0.0,nan,nan,nan
1.33807,3.741998e-05,0.0,nan,nan,nan
1.421419,3.736645e-05,0.0,nan,nan,nan
1.504827,3.739938e-05,0.0,nan,nan,nan
1.588253,3.739086e-05,0.0,nan,nan,nan
1.671901,3.740654e-05,0.0,nan,nan,nan
1.755333,3.745424e-05,0.0,nan,nan,nan
1.838776,3.741796e-05,0.0,nan,nan,nan
1.922209,3.740041e-05,0.0,nan,nan,nan
2.005644,3.736861e-05,0.0,nan,nan,nan
2.089261,3.74196e-05,0.0,nan,nan,nan
2.172677,3.741566e-05,0.0,nan,nan,nan
2.256366,3.743098e-05,0.0,nan,nan,nan
2.339845,3.741488e-05,0.0,nan,nan,nan
2.423328,3.744254e-05,0.0,nan,nan,nan
2.50684,3.741371e-05,0.0,nan,nan,nan
2.59036,3.741507e-05,0.0,nan,nan,nan
2.673935,3.743397e-05,0.0,nan,nan,nan
2.757413,3.744607e-05,0.0,nan,nan,nan
2.840912,3.742477e-05,0.0,nan,nan,nan
2.924479,3.737698e-05,0.0,nan,nan,nan
3.007963,3.742854e-05,0.0,nan,nan,nan
3.091445,3.742139e-05,0.0,nan,nan,nan
3.175015,3.74565e-05,0.0,nan,nan,nan
3.258473,3.755657e-05,0.0,nan,nan,nan
3.342059,3.751691e-05,0.0,nan,nan,nan
3.425454,3.751685e-05,0.0,nan,nan,nan
3.509072,3.750783e-05,0.0,nan,nan,nan
3.592605,3.743323e-05,0.0,nan,nan,nan
3.676094,3.746106e-05,0.0,nan,nan,nan
3.759517,3.743944e-05,0.0,nan,nan,nan
3.843101,3.740346e-05,0.0,nan,nan,nan
3.926439,3.73959e-05,0.0,nan,nan,nan
4.010014,3.744e-05,0.0,nan,nan,nan
4.093446,3.747348e-05,0.0,nan,nan,nan
4.176887,3.744229e-05,0.0,nan,nan,nan
4.260537,3.742784e-05,0.0,nan,nan,nan
4.344516,3.742431e-05,0.0,nan,nan,nan
4.428271,3.748642e-05,0.0,nan,nan,nan
4.511923,3.752516e-05,0.0,nan,nan,nan
4.595441,3.746514e-05,0.0,nan,nan,nan
4.678876,3.745654e-05,0.0,nan,nan,nan
4.762461,3.74579e-05,0.0,nan,nan,nan
4.846139,3.74062e-05,0.0,nan,nan,nan
4.929671,3.738968e-05,0.0,nan,nan,nan
5.01302,3.740302e-05,0.0,nan,nan,nan
5.096412,3.739062e-05,0.0,nan,nan,nan
5.180005,3.743904e-05,0.0,nan,nan,nan
5.263461,3.738879e-05,0.0,nan,nan,nan
5.346745,3.74615e-05,0.0,nan,nan,nan
5.430506,3.73925e-05,0.0,nan,nan,nan
5.514103,3.745145e-05,0.0,nan,nan,nan
5.597446,3.744662e-05,0.0,nan,nan,nan
5.681131,3.744761e-05,0.0,nan,nan,nan
5.76463,3.743057e-05,0.0,nan,nan,nan
5.848193,3.748029e-05,0.0,nan,nan,nan
5.931752,3.748343e-05,0.0,nan,nan,nan
6.015433,3.742014e-05,0.0,nan,nan,nan
6.09891,3.74487e-05,0.0,nan,nan,nan
6.182439,3.743979e-05,0.0,nan,nan,nan
6.266412,3.749221e-05,0.0,nan,nan,nan
6.349761,3.743328e-05,0.0,nan,nan,nan
6.4335,3.739386e-05,0.0,nan,nan,nan
6.51695,3.739511e-05,0.0,nan,nan,nan
6.600533,3.740232e-05,0.0,nan,nan,nan
6.684274,3.741219e-05,0.0,nan,nan,nan
6.767618,3.744402e-05,0.0,nan,nan,nan
6.851315,3.745861e-05,0.0,nan,nan,nan
6.935136,3.74327e-05,0.0,nan,nan,nan
7.018635,3.739097e-05,0.0,nan,nan,nan
7.102239,3.743943e-05,0.0,nan,nan,nan
7.18556,3.744585e-05,0.0,nan,nan,nan
7.268991,3.744813e-05,0.0,nan,nan,nan
7.352575,3.742039e-05,0.0,nan,nan,nan
7.436008,3.745386e-05,0.0,nan,nan,nan
7.519555,3.75111e-05,0.0,nan,nan,nan
7.603132,3.744972e-05,0.0,nan,nan,nan
7.686868,3.746597e-05,0.0,nan,nan,nan
7.770419,3.749141e-05,0.0,nan,nan,nan
7.854113,3.750685e-05,0.0,nan,nan,nan
7.937548,3.747786e-05,0.0,nan,nan,nan
8.02155,3.748161e-05,0.0,nan,nan,nan
8.104921,3.750159e-05,0.0,nan,nan,nan
8.188243,3.748704e-05,0.0,nan,nan,nan
8.271636,3.754953e-05,0.0,nan,nan,nan
8.355034,3.755807e-05,0.0,nan,nan,nan
8.438442,3.750772e-05,0.0,nan,nan,nan
8.521931,3.747371e-05,0.0,nan,nan,nan
8.605359,3.749111e-05,0.0,nan,nan,nan
8.688745,3.750073e-05,0.0,nan,nan,nan
8.772127,3.758054e-05,0.0,nan,nan,nan
8.855431,3.754694e-05,0.0,nan,nan,nan
8.938905,3.752868e-05,0.0,nan,nan,nan
9.022334,3.755139e-05,0.0,nan,nan,nan
9.105748,3.747769e-05,0.0,nan,nan,nan
9.189232,3.749386e-05,0.0,nan,nan,nan
9.272647,3.753877e-05,0.0,nan,nan,nan
9.35617,3.752339e-05,0.0,nan,nan,nan
9.43958,3.756883e-05,0.0,nan,nan,nan
9.522922,3.749362e-05,0.0,nan,nan,nan
