#Procedure: <laser_setup.procedures.IVg.IVg>
#Parameters:
#	Irange: 0.001 A
#	NPLC: 1
#	Burn-in time: 0 s
#	Chip group name: Alisson
#	Chip number: 71
#	Information: dark - biotite
#	Laser voltage: 0 V
#	Laser wavelength: 455
#	Procedure version: 2.1.0
#	Sample: other
#	Step time: 0 s
#	VDS: 0.1 V
#	VG end: 5 V
#	VG start: -5 V
#	VG step: 0.05 V
#Metadata:
#	Start time: 1757091478.5485325
#Data:
Vg (V),I (A),Plate T (degC),Ambient T (degC),Clock (ms)
0.0,2.235614e-05,nan,nan,nan
-0.05,2.201267e-05,nan,nan,nan
-0.1,2.119437e-05,nan,nan,nan
-0.15000000000000002,2.030123e-05,nan,nan,nan
-0.2,1.936834e-05,nan,nan,nan
-0.25,1.840439e-05,nan,nan,nan
-0.30000000000000004,1.72992e-05,nan,nan,nan
-0.35000000000000003,1.619283e-05,nan,nan,nan
-0.4,1.515685e-05,nan,nan,nan
-0.45,1.403964e-05,nan,nan,nan
-0.5,1.295342e-05,nan,nan,nan
-0.55,1.182795e-05,nan,nan,nan
-0.6000000000000001,1.07879e-05,nan,nan,nan
-0.65,9.786777e-06,nan,nan,nan
-0.7000000000000001,8.929296e-06,nan,nan,nan
-0.75,8.214256e-06,nan,nan,nan
-0.8,7.703647e-06,nan,nan,nan
-0.8500000000000001,7.499856e-06,nan,nan,nan
-0.9,7.601724e-06,nan,nan,nan
-0.9500000000000001,8.04066e-06,nan,nan,nan
-1.0,8.769182e-06,nan,nan,nan
-1.05,9.652639e-06,nan,nan,nan
-1.1,1.069501e-05,nan,nan,nan
-1.1500000000000001,1.169452e-05,nan,nan,nan
-1.2000000000000002,1.273568e-05,nan,nan,nan
-1.25,1.370764e-05,nan,nan,nan
-1.3,1.460198e-05,nan,nan,nan
-1.35,1.553091e-05,nan,nan,nan
-1.4000000000000001,1.640556e-05,nan,nan,nan
-1.4500000000000002,1.717811e-05,nan,nan,nan
-1.5,1.802717e-05,nan,nan,nan
-1.55,1.885174e-05,nan,nan,nan
-1.6,1.954419e-05,nan,nan,nan
-1.6500000000000001,2.029329e-05,nan,nan,nan
-1.7000000000000002,2.091267e-05,nan,nan,nan
-1.75,2.161206e-05,nan,nan,nan
-1.8,2.221952e-05,nan,nan,nan
-1.85,2.281541e-05,nan,nan,nan
-1.9000000000000001,2.340825e-05,nan,nan,nan
-1.9500000000000002,2.396668e-05,nan,nan,nan
-2.0,2.455346e-05,nan,nan,nan
-2.0500000000000003,2.503501e-05,nan,nan,nan
-2.1,2.560736e-05,nan,nan,nan
-2.15,2.611222e-05,nan,nan,nan
-2.2,2.664109e-05,nan,nan,nan
-2.25,2.713804e-05,nan,nan,nan
-2.3000000000000003,2.756833e-05,nan,nan,nan
-2.35,2.80914e-05,nan,nan,nan
-2.4000000000000004,2.856161e-05,nan,nan,nan
-2.45,2.896337e-05,nan,nan,nan
-2.5,2.938186e-05,nan,nan,nan
-2.5500000000000003,2.976036e-05,nan,nan,nan
-2.6,3.016818e-05,nan,nan,nan
-2.6500000000000004,3.052594e-05,nan,nan,nan
-2.7,3.092183e-05,nan,nan,nan
-2.75,3.121015e-05,nan,nan,nan
-2.8000000000000003,3.155208e-05,nan,nan,nan
-2.85,3.192363e-05,nan,nan,nan
-2.9000000000000004,3.232138e-05,nan,nan,nan
-2.95,3.260836e-05,nan,nan,nan
-3.0,3.295228e-05,nan,nan,nan
-3.0500000000000003,3.323796e-05,nan,nan,nan
-3.1,3.358454e-05,nan,nan,nan
-3.1500000000000004,3.379573e-05,nan,nan,nan
-3.2,3.404463e-05,nan,nan,nan
-3.25,3.443696e-05,nan,nan,nan
