#Procedure: <laser_setup.procedures.IVg.IVg>
#Parameters:
#	Irange: 0.001 A
#	NPLC: 1
#	Burn-in time: 0 s
#	Chip group name: Alisson
#	Chip number: 71
#	Information: after plugging the led - biotite
#	Laser voltage: 0 V
#	Laser wavelength: 455
#	Procedure version: 2.1.0
#	Sample: other
#	Step time: 0 s
#	VDS: 0.1 V
#	VG end: 5 V
#	VG start: -5 V
#	VG step: 0.05 V
#Metadata:
#	Start time: 1757091946.0995927
#Data:
Vg (V),I (A),Plate T (degC),Ambient T (degC),Clock (ms)
0.0,2.216206e-05,nan,nan,nan
-0.05,2.17974e-05,nan,nan,nan
-0.1,2.099008e-05,nan,nan,nan
-0.15000000000000002,2.006745e-05,nan,nan,nan
-0.2,1.912305e-05,nan,nan,nan
-0.25,1.81151e-05,nan,nan,nan
-0.30000000000000004,1.709156e-05,nan,nan,nan
-0.35000000000000003,1.596507e-05,nan,nan,nan
-0.4,1.49516e-05,nan,nan,nan
-0.45,1.382674e-05,nan,nan,nan
-0.5,1.271947e-05,nan,nan,nan
-0.55,1.160856e-05,nan,nan,nan
-0.6000000000000001,1.051297e-05,nan,nan,nan
-0.65,9.526626e-06,nan,nan,nan
-0.7000000000000001,8.734747e-06,nan,nan,nan
-0.75,8.075662e-06,nan,nan,nan
-0.8,7.680929e-06,nan,nan,nan
-0.8500000000000001,7.60447e-06,nan,nan,nan
-0.9,7.823652e-06,nan,nan,nan
-0.9500000000000001,8.405234e-06,nan,nan,nan
-1.0,9.162315e-06,nan,nan,nan
-1.05,1.008229e-05,nan,nan,nan
-1.1,1.110003e-05,nan,nan,nan
-1.1500000000000001,1.21324e-05,nan,nan,nan
-1.2000000000000002,1.31203e-05,nan,nan,nan
-1.25,1.418051e-05,nan,nan,nan
-1.3,1.50662e-05,nan,nan,nan
-1.35,1.592711e-05,nan,nan,nan
-1.4000000000000001,1.679677e-05,nan,nan,nan
-1.4500000000000002,1.760582e-05,nan,nan,nan
-1.5,1.840411e-05,nan,nan,nan
-1.55,1.920303e-05,nan,nan,nan
-1.6,2.00035e-05,nan,nan,nan
-1.6500000000000001,2.066517e-05,nan,nan,nan
-1.7000000000000002,2.130743e-05,nan,nan,nan
-1.75,2.19464e-05,nan,nan,nan
-1.8,2.263843e-05,nan,nan,nan
-1.85,2.329497e-05,nan,nan,nan
-1.9000000000000001,2.393251e-05,nan,nan,nan
-1.9500000000000002,2.439091e-05,nan,nan,nan
-2.0,2.492529e-05,nan,nan,nan
-2.0500000000000003,2.547001e-05,nan,nan,nan
-2.1,2.603263e-05,nan,nan,nan
