#Procedure: <laser_setup.procedures.IVg.IVg>
#Parameters:
#	Irange: 0.001 A
#	NPLC: 1
#	Burn-in time: 0 s
#	Chip group name: Alisson
#	Chip number: 71
#	Information: after illumination - biotite
#	Laser voltage: 0 V
#	Laser wavelength: 455
#	Procedure version: 2.1.0
#	Sample: other
#	Step time: 0 s
#	VDS: 0.1 V
#	VG end: 5 V
#	VG start: -5 V
#	VG step: 0.05 V
#Metadata:
#	Start time: 1757096991.7144797
#Data:
Vg (V),I (A),Plate T (degC),Ambient T (degC),Clock (ms)
0.0,1.371879e-05,nan,nan,nan
-0.05,1.33106e-05,nan,nan,nan
-0.1,1.262826e-05,nan,nan,nan
-0.15000000000000002,1.191956e-05,nan,nan,nan
-0.2,1.130143e-05,nan,nan,nan
-0.25,1.070225e-05,nan,nan,nan
-0.30000000000000004,1.019686e-05,nan,nan,nan
-0.35000000000000003,9.688651e-06,nan,nan,nan
-0.4,9.29918e-06,nan,nan,nan
-0.45,8.975101e-06,nan,nan,nan
-0.5,8.748851e-06,nan,nan,nan
-0.55,8.630686e-06,nan,nan,nan
-0.6000000000000001,8.660645e-06,nan,nan,nan
-0.65,8.902623e-06,nan,nan,nan
-0.7000000000000001,9.337781e-06,nan,nan,nan
-0.75,9.982243e-06,nan,nan,nan
-0.8,1.082041e-05,nan,nan,nan
-0.8500000000000001,1.183632e-05,nan,nan,nan
-0.9,1.287152e-05,nan,nan,nan
-0.9500000000000001,1.401286e-05,nan,nan,nan
-1.0,1.503969e-05,nan,nan,nan
-1.05,1.610412e-05,nan,nan,nan
-1.1,1.712158e-05,nan,nan,nan
-1.1500000000000001,1.807186e-05,nan,nan,nan
-1.2000000000000002,1.906063e-05,nan,nan,nan
-1.25,1.992812e-05,nan,nan,nan
-1.3,2.068228e-05,nan,nan,nan
-1.35,2.143645e-05,nan,nan,nan
-1.4000000000000001,2.213834e-05,nan,nan,nan
-1.4500000000000002,2.287568e-05,nan,nan,nan
-1.5,2.3609e-05,nan,nan,nan
-1.55,2.430722e-05,nan,nan,nan
-1.6,2.491937e-05,nan,nan,nan
-1.6500000000000001,2.554667e-05,nan,nan,nan
-1.7000000000000002,2.618617e-05,nan,nan,nan
-1.75,2.670366e-05,nan,nan,nan
-1.8,2.729795e-05,nan,nan,nan
-1.85,2.780906e-05,nan,nan,nan
-1.9000000000000001,2.837683e-05,nan,nan,nan
-1.9500000000000002,2.887842e-05,nan,nan,nan
-2.0,2.939703e-05,nan,nan,nan
-2.0500000000000003,2.987232e-05,nan,nan,nan
-2.1,3.035109e-05,nan,nan,nan
-2.15,3.087082e-05,nan,nan,nan
-2.2,3.123901e-05,nan,nan,nan
-2.25,3.168594e-05,nan,nan,nan
-2.3000000000000003,3.207538e-05,nan,nan,nan
-2.35,3.246268e-05,nan,nan,nan
-2.4000000000000004,3.282731e-05,nan,nan,nan
-2.45,3.320358e-05,nan,nan,nan
-2.5,3.359086e-05,nan,nan,nan
-2.5500000000000003,3.399116e-05,nan,nan,nan
-2.6,3.422721e-05,nan,nan,nan
-2.6500000000000004,3.455695e-05,nan,nan,nan
-2.7,3.498725e-05,nan,nan,nan
-2.75,3.522127e-05,nan,nan,nan
-2.8000000000000003,3.554311e-05,nan,nan,nan
-2.85,3.583785e-05,nan,nan,nan
-2.9000000000000004,3.617582e-05,nan,nan,nan
-2.95,3.647187e-05,nan,nan,nan
-3.0,3.68029e-05,nan,nan,nan
-3.0500000000000003,3.709602e-05,nan,nan,nan
-3.1,3.734485e-05,nan,nan,nan
-3.1500000000000004,3.762488e-05,nan,nan,nan
-3.2,3.78679e-05,nan,nan,nan
-3.25,3.805998e-05,nan,nan,nan
-3.3000000000000003,3.831236e-05,nan,nan,nan
-3.35,3.853205e-05,nan,nan,nan
-3.4000000000000004,3.877644e-05,nan,nan,nan
-3.45,3.892982e-05,nan,nan,nan
-3.5,3.919191e-05,nan,nan,nan
-3.5500000000000003,3.936658e-05,nan,nan,nan
-3.6,3.961058e-05,nan,nan,nan
-3.6500000000000004,3.982613e-05,nan,nan,nan
-3.7,4.003934e-05,nan,nan,nan
-3.75,4.031269e-05,nan,nan,nan
-3.8000000000000003,4.043969e-05,nan,nan,nan
-3.85,4.06724e-05,nan,nan,nan
-3.9000000000000004,4.074777e-05,nan,nan,nan
-3.95,4.098519e-05,nan,nan,nan
-4.0,4.116777e-05,nan,nan,nan
-4.05,4.133144e-05,nan,nan,nan
-4.1000000000000005,4.15771e-05,nan,nan,nan
-4.15,4.17215e-05,nan,nan,nan
-4.2,4.190569e-05,nan,nan,nan
-4.25,4.209632e-05,nan,nan,nan
-4.3,4.232183e-05,nan,nan,nan
-4.3500000000000005,4.251181e-05,nan,nan,nan
-4.4,4.264323e-05,nan,nan,nan
-4.45,4.283791e-05,nan,nan,nan
-4.5,4.293447e-05,nan,nan,nan
-4.55,4.305024e-05,nan,nan,nan
-4.6000000000000005,4.322075e-05,nan,nan,nan
-4.65,4.340202e-05,nan,nan,nan
-4.7,4.363554e-05,nan,nan,nan
-4.75,4.378597e-05,nan,nan,nan
-4.800000000000001,4.39077e-05,nan,nan,nan
-4.8500000000000005,4.407185e-05,nan,nan,nan
-4.9,4.424183e-05,nan,nan,nan
-4.95,4.437089e-05,nan,nan,nan
-5.0,4.448399e-05,nan,nan,nan
-4.95,4.441425e-05,nan,nan,nan
-4.9,4.406924e-05,nan,nan,nan
-4.8500000000000005,4.367925e-05,nan,nan,nan
-4.800000000000001,4.332833e-05,nan,nan,nan
-4.750000000000001,4.298411e-05,nan,nan,nan
-4.700000000000001,4.262701e-05,nan,nan,nan
-4.650000000000001,4.231621e-05,nan,nan,nan
-4.600000000000001,4.204045e-05,nan,nan,nan
-4.550000000000002,4.180599e-05,nan,nan,nan
-4.500000000000002,4.150957e-05,nan,nan,nan
-4.450000000000002,4.122549e-05,nan,nan,nan
-4.400000000000002,4.090365e-05,nan,nan,nan
-4.350000000000002,4.067443e-05,nan,nan,nan
-4.3000000000000025,4.03215e-05,nan,nan,nan
-4.250000000000003,4.009276e-05,nan,nan,nan
-4.200000000000003,3.980722e-05,nan,nan,nan
-4.150000000000003,3.953582e-05,nan,nan,nan
-4.100000000000003,3.919489e-05,nan,nan,nan
-4.050000000000003,3.897891e-05,nan,nan,nan
-4.0000000000000036,3.853466e-05,nan,nan,nan
-3.9500000000000037,3.840769e-05,nan,nan,nan
-3.900000000000004,3.808607e-05,nan,nan,nan
-3.850000000000004,3.784345e-05,nan,nan,nan
-3.8000000000000043,3.754938e-05,nan,nan,nan
-3.7500000000000044,3.712138e-05,nan,nan,nan
-3.7000000000000046,3.682881e-05,nan,nan,nan
-3.650000000000005,3.649119e-05,nan,nan,nan
-3.600000000000005,3.611646e-05,nan,nan,nan
-3.550000000000005,3.57855e-05,nan,nan,nan
-3.5000000000000053,3.546738e-05,nan,nan,nan
-3.4500000000000055,3.511422e-05,nan,nan,nan
-3.4000000000000057,3.479702e-05,nan,nan,nan
-3.350000000000006,3.441004e-05,nan,nan,nan
-3.300000000000006,3.405236e-05,nan,nan,nan
-3.250000000000006,3.362228e-05,nan,nan,nan
-3.2000000000000064,3.327646e-05,nan,nan,nan
-3.1500000000000066,3.284608e-05,nan,nan,nan
-3.1000000000000068,3.24104e-05,nan,nan,nan
-3.050000000000007,3.196512e-05,nan,nan,nan
-3.000000000000007,3.161933e-05,nan,nan,nan
-2.9500000000000073,3.119069e-05,nan,nan,nan
-2.9000000000000075,3.062452e-05,nan,nan,nan
-2.8500000000000076,3.017445e-05,nan,nan,nan
-2.800000000000008,2.978554e-05,nan,nan,nan
-2.750000000000008,2.933138e-05,nan,nan,nan
-2.700000000000008,2.879215e-05,nan,nan,nan
-2.6500000000000083,2.827057e-05,nan,nan,nan
-2.6000000000000085,2.771064e-05,nan,nan,nan
-2.5500000000000087,2.711594e-05,nan,nan,nan
-2.500000000000009,2.659517e-05,nan,nan,nan
-2.450000000000009,2.590514e-05,nan,nan,nan
-2.4000000000000092,2.523061e-05,nan,nan,nan
-2.3500000000000094,2.460974e-05,nan,nan,nan
-2.3000000000000096,2.397368e-05,nan,nan,nan
-2.2500000000000098,2.321584e-05,nan,nan,nan
-2.20000000000001,2.243759e-05,nan,nan,nan
-2.15000000000001,2.154781e-05,nan,nan,nan
-2.1000000000000103,2.082589e-05,nan,nan,nan
-2.0500000000000105,2.003792e-05,nan,nan,nan
-2.0000000000000107,1.913073e-05,nan,nan,nan
-1.9500000000000108,1.839386e-05,nan,nan,nan
-1.900000000000011,1.765208e-05,nan,nan,nan
-1.8500000000000112,1.701758e-05,nan,nan,nan
-1.8000000000000114,1.642007e-05,nan,nan,nan
-1.7500000000000115,1.598612e-05,nan,nan,nan
-1.7000000000000117,1.555079e-05,nan,nan,nan
-1.650000000000012,1.522891e-05,nan,nan,nan
-1.600000000000012,1.493393e-05,nan,nan,nan
-1.5500000000000123,1.488951e-05,nan,nan,nan
