#Procedure: <laser_setup.procedures.It.It>
#Parameters:
#	Irange: 0.001 A
#	NPLC: 1
#	T step start time: 120 s
#	Chip group name: Alisson
#	Chip number: 71
#	Information: 365 -  biotite
#	Initial (current) T: 0 C
#	Laser ON+OFF period: 120 s
#	Laser voltage: 4 V
#	Laser wavelength: 365
#	Procedure version: 2.2.0
#	Sample: other
#	Sampling time (excluding Keithley): 0 s
#	Target T: 25 C
#	VDS: 0.1 V
#	VG: 5 V
#Metadata:
#	Start time: 1757100956.9886005
#Data:
t (s),I (A),VL (V),Plate T (degC),Ambient T (degC),Clock (ms)
0.0,5.503971e-05,0.0,nan,nan,nan
0.0835619,5.48851e-05,0.0,nan,nan,nan
0.167083,5.47635e-05,0.0,nan,nan,nan
0.2507704,5.468185e-05,0.0,nan,nan,nan
0.3346218,5.459174e-05,0.0,nan,nan,nan
0.4180537,5.447845e-05,0.0,nan,nan,nan
0.5016932,5.449812e-05,0.0,nan,nan,nan
0.585637,5.449681e-05,0.0,nan,nan,nan
0.6692042,5.450591e-05,0.0,nan,nan,nan
0.7530355,5.444767e-05,0.0,nan,nan,nan
0.8368221,5.441765e-05,0.0,nan,nan,nan
0.9200479,5.443675e-05,0.0,nan,nan,nan
1.004032,5.438157e-05,0.0,nan,nan,nan
1.087796,5.435716e-05,0.0,nan,nan,nan
1.171312,5.439313e-05,0.0,nan,nan,nan
1.264118,5.436427e-05,0.0,nan,nan,nan
1.34766,5.439252e-05,0.0,nan,nan,nan
1.431115,5.438906e-05,0.0,nan,nan,nan
1.514728,5.435289e-05,0.0,nan,nan,nan
1.598604,5.440821e-05,0.0,nan,nan,nan
1.682028,5.442247e-05,0.0,nan,nan,nan
1.765567,5.447894e-05,0.0,nan,nan,nan
1.849239,5.439428e-05,0.0,nan,nan,nan
1.932586,5.44179e-05,0.0,nan,nan,nan
2.016123,5.445254e-05,0.0,nan,nan,nan
2.099456,5.448331e-05,0.0,nan,nan,nan
2.183252,5.449714e-05,0.0,nan,nan,nan
2.266749,5.447914e-05,0.0,nan,nan,nan
2.350274,5.447346e-05,0.0,nan,nan,nan
2.43386,5.448813e-05,0.0,nan,nan,nan
2.517412,5.449137e-05,0.0,nan,nan,nan
2.600885,5.45088e-05,0.0,nan,nan,nan
2.684338,5.452372e-05,0.0,nan,nan,nan
2.767971,5.452355e-05,0.0,nan,nan,nan
2.851631,5.453066e-05,0.0,nan,nan,nan
2.93525,5.455165e-05,0.0,nan,nan,nan
3.018814,5.459937e-05,0.0,nan,nan,nan
3.102295,5.453737e-05,0.0,nan,nan,nan
3.186095,5.451754e-05,0.0,nan,nan,nan
3.269681,5.457422e-05,0.0,nan,nan,nan
3.361304,5.452135e-05,0.0,nan,nan,nan
3.444783,5.453809e-05,0.0,nan,nan,nan
3.528436,5.45908e-05,0.0,nan,nan,nan
3.612064,5.457205e-05,0.0,nan,nan,nan
3.695461,5.454723e-05,0.0,nan,nan,nan
3.778948,5.457482e-05,0.0,nan,nan,nan
3.862805,5.460854e-05,0.0,nan,nan,nan
3.946555,5.458467e-05,0.0,nan,nan,nan
4.029929,5.46174e-05,0.0,nan,nan,nan
4.113824,5.462377e-05,0.0,nan,nan,nan
4.197142,5.468883e-05,0.0,nan,nan,nan
4.280536,5.465289e-05,0.0,nan,nan,nan
4.363918,5.468108e-05,0.0,nan,nan,nan
4.447701,5.464175e-05,0.0,nan,nan,nan
4.531344,5.463761e-05,0.0,nan,nan,nan
4.614691,5.465283e-05,0.0,nan,nan,nan
4.697986,5.466499e-05,0.0,nan,nan,nan
4.78332,5.469216e-05,0.0,nan,nan,nan
4.8667,5.468872e-05,0.0,nan,nan,nan
4.950019,5.465843e-05,0.0,nan,nan,nan
5.033461,5.467681e-05,0.0,nan,nan,nan
5.117073,5.467565e-05,0.0,nan,nan,nan
5.200815,5.463625e-05,0.0,nan,nan,nan
5.284328,5.467963e-05,0.0,nan,nan,nan
5.367926,5.462148e-05,0.0,nan,nan,nan
5.451555,5.464647e-05,0.0,nan,nan,nan
5.535041,5.464104e-05,0.0,nan,nan,nan
5.618534,5.461747e-05,0.0,nan,nan,nan
5.702101,5.461948e-05,0.0,nan,nan,nan
5.785393,5.459311e-05,0.0,nan,nan,nan
5.868907,5.460076e-05,0.0,nan,nan,nan
5.95243,5.456857e-05,0.0,nan,nan,nan
6.03625,5.459383e-05,0.0,nan,nan,nan
6.119665,5.468774e-05,0.0,nan,nan,nan
6.203838,5.468297e-05,0.0,nan,nan,nan
