#Procedure: <laser_setup.procedures.It.It>
#Parameters:
#	Irange: 0.001 A
#	NPLC: 1
#	T step start time: 120 s
#	Chip group name: Alisson
#	Chip number: 71
#	Information: 455 -  biotite
#	Initial (current) T: 0 C
#	Laser ON+OFF period: 120 s
#	Laser voltage: 4 V
#	Laser wavelength: 455
#	Procedure version: 2.2.0
#	Sample: other
#	Sampling time (excluding Keithley): 0 s
#	Target T: 25 C
#	VDS: 0.1 V
#	VG: -5 V
#Metadata:
#	Start time: 1757092731.3531482
#Data:
t (s),I (A),VL (V),Plate T (degC),Ambient T (degC),Clock (ms)
0.0,4.42989e-05,0.0,nan,nan,nan
0.0835096,4.419931e-05,0.0,nan,nan,nan
0.1671181,4.415742e-05,0.0,nan,nan,nan
0.2505248,4.409742e-05,0.0,nan,nan,nan
0.3339056,4.40566e-05,0.0,nan,nan,nan
0.4175188,4.403608e-05,0.0,nan,nan,nan
0.5011139,4.394048e-05,0.0,nan,nan,nan
0.5847278,4.391676e-05,0.0,nan,nan,nan
0.6682808,4.38448e-05,0.0,nan,nan,nan
0.7517011,4.38227e-05,0.0,nan,nan,nan
0.8351292,4.379158e-05,0.0,nan,nan,nan
0.9190409,4.373485e-05,0.0,nan,nan,nan
1.002671,4.370909e-05,0.0,nan,nan,nan
1.086245,4.372497e-05,0.0,nan,nan,nan
1.169614,4.37446e-05,0.0,nan,nan,nan
1.252998,4.37542e-05,0.0,nan,nan,nan
1.336469,4.379519e-05,0.0,nan,nan,nan
1.420039,4.38013e-05,0.0,nan,nan,nan
1.503544,4.377053e-05,0.0,nan,nan,nan
1.587359,4.374219e-05,0.0,nan,nan,nan
1.671053,4.36858e-05,0.0,nan,nan,nan
1.754597,4.370703e-05,0.0,nan,nan,nan
1.839012,4.369736e-05,0.0,nan,nan,nan
1.922506,4.367649e-05,0.0,nan,nan,nan
2.006219,4.373577e-05,0.0,nan,nan,nan
2.090038,4.371286e-05,0.0,nan,nan,nan
2.173528,4.372346e-05,0.0,nan,nan,nan
2.256915,4.37087e-05,0.0,nan,nan,nan
2.340505,4.369701e-05,0.0,nan,nan,nan
2.424025,4.372458e-05,0.0,nan,nan,nan
2.507468,4.372117e-05,0.0,nan,nan,nan
2.590934,4.371519e-05,0.0,nan,nan,nan
2.674721,4.362669e-05,0.0,nan,nan,nan
2.758043,4.363797e-05,0.0,nan,nan,nan
2.841738,4.36541e-05,0.0,nan,nan,nan
2.925106,4.364911e-05,0.0,nan,nan,nan
3.008671,4.364873e-05,0.0,nan,nan,nan
3.092128,4.365977e-05,0.0,nan,nan,nan
3.175527,4.366089e-05,0.0,nan,nan,nan
3.259206,4.364649e-05,0.0,nan,nan,nan
3.34263,4.364248e-05,0.0,nan,nan,nan
3.4261,4.365725e-05,0.0,nan,nan,nan
3.509514,4.368992e-05,0.0,nan,nan,nan
3.593105,4.36849e-05,0.0,nan,nan,nan
3.676728,4.372684e-05,0.0,nan,nan,nan
3.760156,4.362798e-05,0.0,nan,nan,nan
3.843542,4.368501e-05,0.0,nan,nan,nan
3.927025,4.366434e-05,0.0,nan,nan,nan
4.010719,4.367401e-05,0.0,nan,nan,nan
4.094075,4.364911e-05,0.0,nan,nan,nan
4.177905,4.370305e-05,0.0,nan,nan,nan
4.261334,4.366159e-05,0.0,nan,nan,nan
4.344645,4.365919e-05,0.0,nan,nan,nan
4.430026,4.36324e-05,0.0,nan,nan,nan
4.513533,4.364214e-05,0.0,nan,nan,nan
4.597111,4.364427e-05,0.0,nan,nan,nan
4.680438,4.369261e-05,0.0,nan,nan,nan
4.763921,4.372931e-05,0.0,nan,nan,nan
4.847393,4.370217e-05,0.0,nan,nan,nan
4.93097,4.372287e-05,0.0,nan,nan,nan
5.014443,4.372231e-05,0.0,nan,nan,nan
5.097778,4.372586e-05,0.0,nan,nan,nan
5.181343,4.372149e-05,0.0,nan,nan,nan
5.264754,4.375068e-05,0.0,nan,nan,nan
5.348144,4.374933e-05,0.0,nan,nan,nan
5.431604,4.375264e-05,0.0,nan,nan,nan
5.515122,4.373421e-05,0.0,nan,nan,nan
5.598699,4.376843e-05,0.0,nan,nan,nan
5.682196,4.37724e-05,0.0,nan,nan,nan
5.76712,4.377204e-05,0.0,nan,nan,nan
5.85073,4.38071e-05,0.0,nan,nan,nan
5.934215,4.377449e-05,0.0,nan,nan,nan
6.017718,4.375007e-05,0.0,nan,nan,nan
6.101318,4.382533e-05,0.0,nan,nan,nan
6.184787,4.382146e-05,0.0,nan,nan,nan
6.268339,4.37517e-05,0.0,nan,nan,nan
6.351722,4.375499e-05,0.0,nan,nan,nan
6.435012,4.376529e-05,0.0,nan,nan,nan
6.518491,4.380975e-05,0.0,nan,nan,nan
6.601965,4.381412e-05,0.0,nan,nan,nan
6.685339,4.383656e-05,0.0,nan,nan,nan
6.768821,4.380937e-05,0.0,nan,nan,nan
6.852376,4.386487e-05,0.0,nan,nan,nan
6.935828,4.38646e-05,0.0,nan,nan,nan
7.01938,4.385292e-05,0.0,nan,nan,nan
7.10298,4.381542e-05,0.0,nan,nan,nan
7.186363,4.380676e-05,0.0,nan,nan,nan
7.270001,4.38921e-05,0.0,nan,nan,nan
7.353614,4.386582e-05,0.0,nan,nan,nan
7.437105,4.387088e-05,0.0,nan,nan,nan
7.520589,4.385983e-05,0.0,nan,nan,nan
7.60471,4.385896e-05,0.0,nan,nan,nan
7.689038,4.385095e-05,0.0,nan,nan,nan
7.772693,4.38543e-05,0.0,nan,nan,nan
7.856174,4.382512e-05,0.0,nan,nan,nan
7.939581,4.37964e-05,0.0,nan,nan,nan
8.023057,4.380301e-05,0.0,nan,nan,nan
8.106571,4.382557e-05,0.0,nan,nan,nan
8.190283,4.383949e-05,0.0,nan,nan,nan
8.273839,4.386541e-05,0.0,nan,nan,nan
8.357323,4.384934e-05,0.0,nan,nan,nan
8.440736,4.384719e-05,0.0,nan,nan,nan
8.524116,4.387e-05,0.0,nan,nan,nan
8.607502,4.386834e-05,0.0,nan,nan,nan
8.690943,4.383268e-05,0.0,nan,nan,nan
8.774855,4.383063e-05,0.0,nan,nan,nan
8.858285,4.38607e-05,0.0,nan,nan,nan
8.941762,4.37864e-05,0.0,nan,nan,nan
9.025129,4.382844e-05,0.0,nan,nan,nan
9.108523,4.384922e-05,0.0,nan,nan,nan
9.19183,4.383086e-05,0.0,nan,nan,nan
9.275327,4.389312e-05,0.0,nan,nan,nan
9.358644,4.387934e-05,0.0,nan,nan,nan
9.442035,4.385489e-05,0.0,nan,nan,nan
9.525521,4.386363e-05,0.0,nan,nan,nan
9.608909,4.380444e-05,0.0,nan,nan,nan
9.692395,4.384289e-05,0.0,nan,nan,nan
9.775819,4.384731e-05,0.0,nan,nan,nan
9.85926,4.387266e-05,0.0,nan,nan,nan
9.942628,4.389943e-05,0.0,nan,nan,nan
10.02594,4.386646e-05,0.0,nan,nan,nan
10.10934,4.389861e-05,0.0,nan,nan,nan
10.19301,4.389773e-05,0.0,nan,nan,nan
10.27638,4.388419e-05,0.0,nan,nan,nan
10.35972,4.383183e-05,0.0,nan,nan,nan
10.44318,4.385761e-05,0.0,nan,nan,nan
10.52647,4.381978e-05,0.0,nan,nan,nan
10.60983,4.386756e-05,0.0,nan,nan,nan
10.69343,4.382771e-05,0.0,nan,nan,nan
10.77704,4.381332e-05,0.0,nan,nan,nan
10.86056,4.386345e-05,0.0,nan,nan,nan
10.94386,4.377591e-05,0.0,nan,nan,nan
11.02741,4.374093e-05,0.0,nan,nan,nan
11.11091,4.371252e-05,0.0,nan,nan,nan
11.19447,4.376939e-05,0.0,nan,nan,nan
11.27792,4.376509e-05,0.0,nan,nan,nan
11.36148,4.374971e-05,0.0,nan,nan,nan
11.44484,4.373982e-05,0.0,nan,nan,nan
11.52844,4.378644e-05,0.0,nan,nan,nan
11.61198,4.375963e-05,0.0,nan,nan,nan
11.69535,4.379872e-05,0.0,nan,nan,nan
11.77881,4.383181e-05,0.0,nan,nan,nan
11.86222,4.379904e-05,0.0,nan,nan,nan
11.94566,4.380951e-05,0.0,nan,nan,nan
12.02906,4.375738e-05,0.0,nan,nan,nan
12.11269,4.379766e-05,0.0,nan,nan,nan
12.19642,4.377019e-05,0.0,nan,nan,nan
12.27981,4.378476e-05,0.0,nan,nan,nan
12.36332,4.375962e-05,0.0,nan,nan,nan
12.44681,4.377415e-05,0.0,nan,nan,nan
12.53021,4.370958e-05,0.0,nan,nan,nan
12.61374,4.373177e-05,0.0,nan,nan,nan
12.69725,4.374551e-05,0.0,nan,nan,nan
12.78074,4.376489e-05,0.0,nan,nan,nan
12.86436,4.379099e-05,0.0,nan,nan,nan
12.94792,4.375527e-05,0.0,nan,nan,nan
13.03148,4.378679e-05,0.0,nan,nan,nan
13.1149,4.382244e-05,0.0,nan,nan,nan
13.19843,4.380794e-05,0.0,nan,nan,nan
13.28209,4.379208e-05,0.0,nan,nan,nan
13.36548,4.375613e-05,0.0,nan,nan,nan
13.44921,4.376482e-05,0.0,nan,nan,nan
13.53292,4.381956e-05,0.0,nan,nan,nan
13.61647,4.380781e-05,0.0,nan,nan,nan
13.69981,4.379785e-05,0.0,nan,nan,nan
13.78329,4.37991e-05,0.0,nan,nan,nan
13.86699,4.380821e-05,0.0,nan,nan,nan
13.95033,4.387024e-05,0.0,nan,nan,nan
14.03366,4.387066e-05,0.0,nan,nan,nan
14.11711,4.385854e-05,0.0,nan,nan,nan
14.20063,4.386462e-05,0.0,nan,nan,nan
14.28418,4.387319e-05,0.0,nan,nan,nan
14.36762,4.385107e-05,0.0,nan,nan,nan
14.45105,4.381191e-05,0.0,nan,nan,nan
14.53455,4.38312e-05,0.0,nan,nan,nan
14.61816,4.383309e-05,0.0,nan,nan,nan
14.70161,4.382962e-05,0.0,nan,nan,nan
14.78503,4.382848e-05,0.0,nan,nan,nan
14.86855,4.385624e-05,0.0,nan,nan,nan
14.95194,4.379765e-05,0.0,nan,nan,nan
15.0355,4.38192e-05,0.0,nan,nan,nan
15.11878,4.382606e-05,0.0,nan,nan,nan
15.20227,4.384339e-05,0.0,nan,nan,nan
15.28567,4.385988e-05,0.0,nan,nan,nan
15.36927,4.38417e-05,0.0,nan,nan,nan
15.45301,4.37794e-05,0.0,nan,nan,nan
15.53663,4.384888e-05,0.0,nan,nan,nan
15.62001,4.38173e-05,0.0,nan,nan,nan
15.70353,4.385253e-05,0.0,nan,nan,nan
15.78685,4.386559e-05,0.0,nan,nan,nan
15.8709,4.384068e-05,0.0,nan,nan,nan
15.95443,4.383929e-05,0.0,nan,nan,nan
16.03806,4.3794e-05,0.0,nan,nan,nan
16.12152,4.385916e-05,0.0,nan,nan,nan
16.20506,4.385306e-05,0.0,nan,nan,nan
16.28869,4.379055e-05,0.0,nan,nan,nan
16.3723,4.380455e-05,0.0,nan,nan,nan
16.45581,4.380468e-05,0.0,nan,nan,nan
16.54007,4.378025e-05,0.0,nan,nan,nan
