#Procedure: <laser_setup.procedures.LaserCalibration.LaserCalibration>
#Parameters:
#	N_avg: 2
#	Optical fiber: F1 (M92L02)
#	Information: 455
#	Laser wavelength: 455
#	Procedure version: 1.1.1
#	Step time: 2 s
#	Laser voltage end: 5 V
#	Laser voltage start: 0 V
#	Laser voltage step: 0.1 V
#Metadata:
#	Sensor model: S120VC
#	Start time: 1757104197.5775669
#Data:
VL (V),Power (W)
0.0,6.535394005e-09
0.1,4.221298865e-08
0.2,4.106255745e-07
0.30000000000000004,8.04267557e-07
0.4,1.2579746449999999e-06
0.5,1.6757565499999998e-06
0.6000000000000001,2.055434495e-06
0.7000000000000001,2.50929918e-06
0.8,2.9305838350000003e-06
0.9,3.374834025e-06
1.0,3.834394875e-06
1.1,4.27938585e-06
1.2000000000000002,4.7389467e-06
1.3,5.1772704e-06
1.4000000000000001,5.61559409e-06
1.5,6.063301725e-06
1.6,6.501377815e-06
1.7000000000000002,6.924638685e-06
1.8,7.367159925e-06
1.9000000000000001,7.806718715e-06
2.0,8.18701028e-06
2.1,8.623852860000001e-06
2.2,9.05180423e-06
2.3000000000000003,9.474076704999998e-06
2.4000000000000004,9.891904485e-06
2.5,1.03161524e-05
2.6,1.06855796e-05
2.7,1.110093675e-05
2.8000000000000003,1.152493815e-05
2.9000000000000004,1.19474571e-05
3.0,1.236800155e-05
3.1,1.278039645e-05
3.2,1.319525975e-05
3.3000000000000003,1.3610370850000001e-05
3.4000000000000004,1.40163447e-05
3.5,1.44109599e-05
3.6,1.48122426e-05
3.7,1.518858335e-05
3.8000000000000003,1.559307475e-05
3.9000000000000004,1.59827505e-05
4.0,1.637637885e-05
4.1000000000000005,1.677642555e-05
4.2,1.717696705e-05
4.3,1.75315772e-05
4.4,1.79279195e-05
4.5,1.83331531e-05
4.6000000000000005,1.871048335e-05
4.7,1.9112259900000002e-05
4.800000000000001,1.951131795e-05
4.9,1.98471607e-05
5.0,2.02437532e-05
