#Procedure: <laser_setup.procedures.IV.IV>
#Parameters:
#	Irange: 0.0001 A
#	NPLC: 1
#	Burn-in time: 600 s
#	Chip group name: Alisson
#	Chip number: 69
#	Information: test no light
#	Laser voltage: 0 V
#	Laser wavelength: 0
#	Procedure version: 2.0.1
#	Sample: other
#	Step time: 0 s
#	VG: 0 V
#	VSD end: 0.1 V
#	VSD start: -0.1 V
#	VSD step: 0.01 V
#Metadata:
#	Start time: 1757346267.8836877
#Data:
Vsd (V),I (A),Plate T (degC),Ambient T (degC),Clock (ms)
0.0,-7.807516e-10,nan,nan,nan
-0.0005,-1.887932e-08,nan,nan,nan
-0.0105,-3.984885e-07,nan,nan,nan
-0.0205,-7.884174e-07,nan,nan,nan
-0.0305,-1.197528e-06,nan,nan,nan
-0.0405,-1.604162e-06,nan,nan,nan
-0.0505,-2.041495e-06,nan,nan,nan
-0.0605,-2.474691e-06,nan,nan,nan
-0.07050000000000001,-2.948071e-06,nan,nan,nan
-0.0805,-3.409905e-06,nan,nan,nan
-0.0905,-3.90474e-06,nan,nan,nan
-0.1,-4.353358e-06,nan,nan,nan
-0.09000000000000001,-3.8833e-06,nan,nan,nan
-0.08000000000000002,-3.389485e-06,nan,nan,nan
-0.07000000000000002,-2.92499e-06,nan,nan,nan
-0.060000000000000026,-2.475503e-06,nan,nan,nan
-0.05000000000000003,-2.015404e-06,nan,nan,nan
-0.040000000000000036,-1.587624e-06,nan,nan,nan
-0.03000000000000004,-1.174267e-06,nan,nan,nan
-0.020000000000000046,-7.74727e-07,nan,nan,nan
-0.01000000000000005,-3.817901e-07,nan,nan,nan
-0.0005,-1.947857e-08,nan,nan,nan
0.0005,1.817043e-08,nan,nan,nan
0.0105,3.914319e-07,nan,nan,nan
0.0205,7.574035e-07,nan,nan,nan
0.0305,1.123664e-06,nan,nan,nan
0.0405,1.472471e-06,nan,nan,nan
0.0505,1.844305e-06,nan,nan,nan
0.0605,2.211561e-06,nan,nan,nan
0.07050000000000001,2.582352e-06,nan,nan,nan
0.0805,2.973504e-06,nan,nan,nan
0.0905,3.362794e-06,nan,nan,nan
0.1,3.751192e-06,nan,nan,nan
0.09000000000000001,3.346471e-06,nan,nan,nan
0.08000000000000002,2.947581e-06,nan,nan,nan
0.07000000000000002,2.566184e-06,nan,nan,nan
0.060000000000000026,2.198207e-06,nan,nan,nan
0.05000000000000003,1.822047e-06,nan,nan,nan
0.040000000000000036,1.457555e-06,nan,nan,nan
0.03000000000000004,1.089404e-06,nan,nan,nan
0.020000000000000046,7.315269e-07,nan,nan,nan
0.01000000000000005,3.665398e-07,nan,nan,nan
0.0005,1.805517e-08,nan,nan,nan
-0.0095,-3.581943e-07,nan,nan,nan
