#Procedure: <laser_setup.procedures.IVg.IVg>
#Parameters:
#	Irange: 0.001 A
#	NPLC: 1
#	Burn-in time: 0 s
#	Chip group name: Alisson
#	Chip number: 76
#	Information: hbn - top - bio - bot - S1D
#	Laser voltage: 0 V
#	Laser wavelength: 455
#	Procedure version: 2.1.0
#	Sample: other
#	Step time: 0 s
#	VDS: 0.1 V
#	VG end: 5 V
#	VG start: -5 V
#	VG step: 0.05 V
#Metadata:
#	Start time: 1757347697.092319
#Data:
Vg (V),I (A),Plate T (degC),Ambient T (degC),Clock (ms)
0.0,5.62337e-05,nan,nan,nan
-0.05,5.720475e-05,nan,nan,nan
-0.1,5.886242e-05,nan,nan,nan
-0.15000000000000002,6.015892e-05,nan,nan,nan
-0.2,6.1695e-05,nan,nan,nan
-0.25,6.299088e-05,nan,nan,nan
-0.30000000000000004,6.407146e-05,nan,nan,nan
-0.35000000000000003,6.507266e-05,nan,nan,nan
-0.4,6.595613e-05,nan,nan,nan
-0.45,6.683068e-05,nan,nan,nan
-0.5,6.75115e-05,nan,nan,nan
-0.55,6.820844e-05,nan,nan,nan
-0.6000000000000001,6.887153e-05,nan,nan,nan
-0.65,6.943378e-05,nan,nan,nan
-0.7000000000000001,6.999299e-05,nan,nan,nan
-0.75,7.051045e-05,nan,nan,nan
-0.8,7.098326e-05,nan,nan,nan
-0.8500000000000001,7.143598e-05,nan,nan,nan
-0.9,7.184839e-05,nan,nan,nan
-0.9500000000000001,7.223692e-05,nan,nan,nan
-1.0,7.258086e-05,nan,nan,nan
-1.05,7.29179e-05,nan,nan,nan
-1.1,7.319779e-05,nan,nan,nan
-1.1500000000000001,7.349224e-05,nan,nan,nan
-1.2000000000000002,7.37598e-05,nan,nan,nan
-1.25,7.404909e-05,nan,nan,nan
-1.3,7.424511e-05,nan,nan,nan
-1.35,7.446212e-05,nan,nan,nan
-1.4000000000000001,7.466438e-05,nan,nan,nan
-1.4500000000000002,7.485902e-05,nan,nan,nan
-1.5,7.503865e-05,nan,nan,nan
-1.55,7.52104e-05,nan,nan,nan
-1.6,7.53512e-05,nan,nan,nan
-1.6500000000000001,7.552226e-05,nan,nan,nan
-1.7000000000000002,7.563466e-05,nan,nan,nan
-1.75,7.579858e-05,nan,nan,nan
-1.8,7.590748e-05,nan,nan,nan
-1.85,7.606238e-05,nan,nan,nan
-1.9000000000000001,7.617315e-05,nan,nan,nan
-1.9500000000000002,7.628818e-05,nan,nan,nan
-2.0,7.640546e-05,nan,nan,nan
-2.0500000000000003,7.648055e-05,nan,nan,nan
-2.1,7.660581e-05,nan,nan,nan
-2.15,7.672093e-05,nan,nan,nan
-2.2,7.677512e-05,nan,nan,nan
-2.25,7.687993e-05,nan,nan,nan
-2.3000000000000003,7.696451e-05,nan,nan,nan
-2.35,7.706968e-05,nan,nan,nan
-2.4000000000000004,7.713841e-05,nan,nan,nan
-2.45,7.723673e-05,nan,nan,nan
-2.5,7.730906e-05,nan,nan,nan
-2.5500000000000003,7.738913e-05,nan,nan,nan
-2.6,7.746652e-05,nan,nan,nan
-2.6500000000000004,7.754783e-05,nan,nan,nan
-2.7,7.759628e-05,nan,nan,nan
-2.75,7.768907e-05,nan,nan,nan
-2.8000000000000003,7.774956e-05,nan,nan,nan
-2.85,7.783481e-05,nan,nan,nan
-2.9000000000000004,7.790345e-05,nan,nan,nan
-2.95,7.796083e-05,nan,nan,nan
-3.0,7.800088e-05,nan,nan,nan
-3.0500000000000003,7.807028e-05,nan,nan,nan
-3.1,7.813103e-05,nan,nan,nan
-3.1500000000000004,7.820288e-05,nan,nan,nan
-3.2,7.830902e-05,nan,nan,nan
-3.25,7.839529e-05,nan,nan,nan
-3.3000000000000003,7.847117e-05,nan,nan,nan
-3.35,7.8574e-05,nan,nan,nan
-3.4000000000000004,7.860737e-05,nan,nan,nan
-3.45,7.869609e-05,nan,nan,nan
-3.5,7.877353e-05,nan,nan,nan
-3.5500000000000003,7.882286e-05,nan,nan,nan
-3.6,7.892745e-05,nan,nan,nan
-3.6500000000000004,7.894693e-05,nan,nan,nan
-3.7,7.899283e-05,nan,nan,nan
-3.75,7.907191e-05,nan,nan,nan
-3.8000000000000003,7.911808e-05,nan,nan,nan
-3.85,7.916486e-05,nan,nan,nan
-3.9000000000000004,7.920274e-05,nan,nan,nan
-3.95,7.926155e-05,nan,nan,nan
-4.0,7.934967e-05,nan,nan,nan
-4.05,7.940148e-05,nan,nan,nan
-4.1000000000000005,7.944393e-05,nan,nan,nan
-4.15,7.947511e-05,nan,nan,nan
-4.2,7.952354e-05,nan,nan,nan
-4.25,7.958905e-05,nan,nan,nan
-4.3,7.962102e-05,nan,nan,nan
-4.3500000000000005,7.968341e-05,nan,nan,nan
-4.4,7.974116e-05,nan,nan,nan
-4.45,7.976915e-05,nan,nan,nan
-4.5,7.983243e-05,nan,nan,nan
-4.55,7.986724e-05,nan,nan,nan
-4.6000000000000005,7.991061e-05,nan,nan,nan
-4.65,7.996969e-05,nan,nan,nan
-4.7,8.00305e-05,nan,nan,nan
-4.75,8.003414e-05,nan,nan,nan
-4.800000000000001,8.009364e-05,nan,nan,nan
-4.8500000000000005,8.014108e-05,nan,nan,nan
-4.9,8.018663e-05,nan,nan,nan
-4.95,8.023394e-05,nan,nan,nan
-5.0,8.026132e-05,nan,nan,nan
-4.95,8.024055e-05,nan,nan,nan
-4.9,8.019201e-05,nan,nan,nan
-4.8500000000000005,8.012554e-05,nan,nan,nan
-4.800000000000001,8.00986e-05,nan,nan,nan
-4.750000000000001,8.007722e-05,nan,nan,nan
-4.700000000000001,8.000618e-05,nan,nan,nan
-4.650000000000001,7.997878e-05,nan,nan,nan
-4.600000000000001,7.993698e-05,nan,nan,nan
-4.550000000000002,7.989517e-05,nan,nan,nan
-4.500000000000002,7.984872e-05,nan,nan,nan
-4.450000000000002,7.980313e-05,nan,nan,nan
-4.400000000000002,7.974231e-05,nan,nan,nan
-4.350000000000002,7.970191e-05,nan,nan,nan
-4.3000000000000025,7.967681e-05,nan,nan,nan
-4.250000000000003,7.960196e-05,nan,nan,nan
-4.200000000000003,7.956461e-05,nan,nan,nan
-4.150000000000003,7.953072e-05,nan,nan,nan
-4.100000000000003,7.949102e-05,nan,nan,nan
-4.050000000000003,7.946065e-05,nan,nan,nan
-4.0000000000000036,7.941663e-05,nan,nan,nan
-3.9500000000000037,7.936091e-05,nan,nan,nan
-3.900000000000004,7.930664e-05,nan,nan,nan
-3.850000000000004,7.924939e-05,nan,nan,nan
