#Procedure: <laser_setup.procedures.IVg.IVg>
#Parameters:
#	Irange: 0.001 A
#	NPLC: 1
#	Burn-in time: 0 s
#	Chip group name: Alisson
#	Chip number: 101
#	Information: hbn - top - bio - bot 
#	Laser voltage: 0 V
#	Laser wavelength: 455
#	Procedure version: 2.1.0
#	Sample: other
#	Step time: 0 s
#	VDS: 0.1 V
#	VG end: 5 V
#	VG start: -5 V
#	VG step: 0.05 V
#Metadata:
#	Start time: 1757349031.5773084
#Data:
Vg (V),I (A),Plate T (degC),Ambient T (degC),Clock (ms)
0.0,1.365445e-05,nan,nan,nan
-0.05,1.334691e-05,nan,nan,nan
-0.1,1.268468e-05,nan,nan,nan
-0.15000000000000002,1.217352e-05,nan,nan,nan
-0.2,1.146623e-05,nan,nan,nan
-0.25,1.086819e-05,nan,nan,nan
-0.30000000000000004,1.028144e-05,nan,nan,nan
-0.35000000000000003,9.779261e-06,nan,nan,nan
-0.4,9.338916e-06,nan,nan,nan
-0.45,9.065299e-06,nan,nan,nan
-0.5,8.89689e-06,nan,nan,nan
-0.55,8.83847e-06,nan,nan,nan
-0.6000000000000001,9.027902e-06,nan,nan,nan
-0.65,9.425853e-06,nan,nan,nan
-0.7000000000000001,1.001785e-05,nan,nan,nan
-0.75,1.07264e-05,nan,nan,nan
-0.8,1.148174e-05,nan,nan,nan
-0.8500000000000001,1.206502e-05,nan,nan,nan
-0.9,1.261485e-05,nan,nan,nan
-0.9500000000000001,1.318403e-05,nan,nan,nan
-1.0,1.360865e-05,nan,nan,nan
-1.05,1.400389e-05,nan,nan,nan
-1.1,1.438087e-05,nan,nan,nan
-1.1500000000000001,1.481211e-05,nan,nan,nan
-1.2000000000000002,1.494738e-05,nan,nan,nan
-1.25,1.520544e-05,nan,nan,nan
-1.3,1.534633e-05,nan,nan,nan
-1.35,1.550436e-05,nan,nan,nan
-1.4000000000000001,1.567905e-05,nan,nan,nan
-1.4500000000000002,1.575989e-05,nan,nan,nan
-1.5,1.58852e-05,nan,nan,nan
-1.55,1.598268e-05,nan,nan,nan
-1.6,1.603326e-05,nan,nan,nan
-1.6500000000000001,1.615046e-05,nan,nan,nan
