#Procedure: <laser_setup.procedures.IVg.IVg>
#Parameters:
#	Irange: 0.001 A
#	NPLC: 1
#	Burn-in time: 0 s
#	Chip group name: Alisson
#	Chip number: 74
#	Information: hbn - top - bio - bot
#	Laser voltage: 0 V
#	Laser wavelength: 455
#	Procedure version: 2.1.0
#	Sample: other
#	Step time: 0 s
#	VDS: 0.1 V
#	VG end: 5 V
#	VG start: -5 V
#	VG step: 0.05 V
#Metadata:
#	Start time: 1757346834.7246556
#Data:
Vg (V),I (A),Plate T (degC),Ambient T (degC),Clock (ms)
0.0,2.033969e-05,nan,nan,nan
-0.05,2.05213e-05,nan,nan,nan
-0.1,2.115225e-05,nan,nan,nan
-0.15000000000000002,2.276671e-05,nan,nan,nan
-0.2,2.512977e-05,nan,nan,nan
-0.25,2.791018e-05,nan,nan,nan
-0.30000000000000004,3.072806e-05,nan,nan,nan
-0.35000000000000003,3.381763e-05,nan,nan,nan
-0.4,3.672323e-05,nan,nan,nan
-0.45,3.932406e-05,nan,nan,nan
-0.5,4.19227e-05,nan,nan,nan
-0.55,4.428035e-05,nan,nan,nan
-0.6000000000000001,4.649892e-05,nan,nan,nan
-0.65,4.850536e-05,nan,nan,nan
-0.7000000000000001,5.039905e-05,nan,nan,nan
-0.75,5.221568e-05,nan,nan,nan
-0.8,5.396121e-05,nan,nan,nan
-0.8500000000000001,5.559595e-05,nan,nan,nan
-0.9,5.703371e-05,nan,nan,nan
-0.9500000000000001,5.845231e-05,nan,nan,nan
-1.0,5.978425e-05,nan,nan,nan
-1.05,6.105336e-05,nan,nan,nan
-1.1,6.22608e-05,nan,nan,nan
-1.1500000000000001,6.339335e-05,nan,nan,nan
-1.2000000000000002,6.448327e-05,nan,nan,nan
-1.25,6.559648e-05,nan,nan,nan
-1.3,6.652552e-05,nan,nan,nan
-1.35,6.745218e-05,nan,nan,nan
-1.4000000000000001,6.831042e-05,nan,nan,nan
-1.4500000000000002,6.918509e-05,nan,nan,nan
-1.5,7.00435e-05,nan,nan,nan
-1.55,7.083768e-05,nan,nan,nan
-1.6,7.155239e-05,nan,nan,nan
-1.6500000000000001,7.226038e-05,nan,nan,nan
-1.7000000000000002,7.293302e-05,nan,nan,nan
-1.75,7.357496e-05,nan,nan,nan
-1.8,7.416852e-05,nan,nan,nan
-1.85,7.476278e-05,nan,nan,nan
-1.9000000000000001,7.533162e-05,nan,nan,nan
-1.9500000000000002,7.581453e-05,nan,nan,nan
-2.0,7.629605e-05,nan,nan,nan
-2.0500000000000003,7.680176e-05,nan,nan,nan
-2.1,7.728743e-05,nan,nan,nan
-2.15,7.767054e-05,nan,nan,nan
-2.2,7.808796e-05,nan,nan,nan
-2.25,7.852806e-05,nan,nan,nan
-2.3000000000000003,7.889311e-05,nan,nan,nan
-2.35,7.929226e-05,nan,nan,nan
-2.4000000000000004,7.960681e-05,nan,nan,nan
-2.45,7.996336e-05,nan,nan,nan
-2.5,8.031073e-05,nan,nan,nan
-2.5500000000000003,8.062848e-05,nan,nan,nan
-2.6,8.086689e-05,nan,nan,nan
-2.6500000000000004,8.116793e-05,nan,nan,nan
-2.7,8.145178e-05,nan,nan,nan
-2.75,8.169622e-05,nan,nan,nan
-2.8000000000000003,8.196916e-05,nan,nan,nan
-2.85,8.219603e-05,nan,nan,nan
-2.9000000000000004,8.240146e-05,nan,nan,nan
-2.95,8.263111e-05,nan,nan,nan
-3.0,8.28849e-05,nan,nan,nan
-3.0500000000000003,8.31334e-05,nan,nan,nan
-3.1,8.328998e-05,nan,nan,nan
-3.1500000000000004,8.35277e-05,nan,nan,nan
-3.2,8.37242e-05,nan,nan,nan
-3.25,8.387525e-05,nan,nan,nan
-3.3000000000000003,8.407157e-05,nan,nan,nan
-3.35,8.437941e-05,nan,nan,nan
-3.4000000000000004,8.435089e-05,nan,nan,nan
-3.45,8.454737e-05,nan,nan,nan
-3.5,8.472906e-05,nan,nan,nan
-3.5500000000000003,8.491857e-05,nan,nan,nan
-3.6,8.509298e-05,nan,nan,nan
-3.6500000000000004,8.528559e-05,nan,nan,nan
-3.7,8.550131e-05,nan,nan,nan
-3.75,8.573268e-05,nan,nan,nan
-3.8000000000000003,8.586235e-05,nan,nan,nan
-3.85,8.601175e-05,nan,nan,nan
-3.9000000000000004,8.617573e-05,nan,nan,nan
-3.95,8.633542e-05,nan,nan,nan
-4.0,8.650833e-05,nan,nan,nan
-4.05,8.666282e-05,nan,nan,nan
-4.1000000000000005,8.673355e-05,nan,nan,nan
-4.15,8.693135e-05,nan,nan,nan
-4.2,8.705883e-05,nan,nan,nan
-4.25,8.722799e-05,nan,nan,nan
-4.3,8.735684e-05,nan,nan,nan
-4.3500000000000005,8.752073e-05,nan,nan,nan
-4.4,8.767957e-05,nan,nan,nan
-4.45,8.782441e-05,nan,nan,nan
-4.5,8.800331e-05,nan,nan,nan
-4.55,8.808953e-05,nan,nan,nan
-4.6000000000000005,8.825275e-05,nan,nan,nan
-4.65,8.844941e-05,nan,nan,nan
-4.7,8.857748e-05,nan,nan,nan
-4.75,8.871588e-05,nan,nan,nan
-4.800000000000001,8.887943e-05,nan,nan,nan
-4.8500000000000005,8.906076e-05,nan,nan,nan
-4.9,8.918716e-05,nan,nan,nan
-4.95,8.934455e-05,nan,nan,nan
-5.0,8.949581e-05,nan,nan,nan
-4.95,8.927075e-05,nan,nan,nan
-4.9,8.87281e-05,nan,nan,nan
-4.8500000000000005,8.83045e-05,nan,nan,nan
