seq,time_hms,proc,chip,summary,source_file,file_idx,start_time
1,12:26:20,IVg,67.0,IVg chip 67  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #1,Alisson_08_sept/IVg2025-09-08_1.csv,1,1757345180.0971758
2,12:30:15,IVg,72.0,IVg chip 72  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #2,Alisson_08_sept/IVg2025-09-08_2.csv,2,1757345415.6467748
3,12:37:24,IVg,68.0,IVg chip 68  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #3,Alisson_08_sept/IVg2025-09-08_3.csv,3,1757345844.8101747
4,12:38:23,IVg,68.0,IVg chip 68  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #4,Alisson_08_sept/IVg2025-09-08_4.csv,4,1757345903.1788788
5,12:43:06,IVg,69.0,IVg chip 69  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #5,Alisson_08_sept/IVg2025-09-08_5.csv,5,1757346186.191259
6,12:44:27,IV,69.0,IV  chip 69  VG=0.0 V  VSD:-0.1→0.1 (step 0.01)  #1,Alisson_08_sept/IV2025-09-08_1.csv,1,1757346267.8836877
7,12:45:49,IVg,69.0,IVg chip 69  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #6,Alisson_08_sept/IVg2025-09-08_6.csv,6,1757346349.1239831
8,12:50:33,IVg,73.0,IVg chip 73  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #7,Alisson_08_sept/IVg2025-09-08_7.csv,7,1757346633.400781
9,12:53:54,IVg,74.0,IVg chip 74  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #8,Alisson_08_sept/IVg2025-09-08_8.csv,8,1757346834.7246556
10,12:54:55,IVg,74.0,IVg chip 74  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #9,Alisson_08_sept/IVg2025-09-08_9.csv,9,1757346895.0247686
11,13:00:47,IVg,75.0,IVg chip 75  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #10,Alisson_08_sept/IVg2025-09-08_10.csv,10,1757347247.5148237
12,13:05:07,IVg,76.0,IVg chip 76  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #11,Alisson_08_sept/IVg2025-09-08_11.csv,11,1757347507.4701648
13,13:08:17,IVg,76.0,IVg chip 76  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #12,Alisson_08_sept/IVg2025-09-08_12.csv,12,1757347697.092319
14,13:14:47,IVg,80.0,IVg chip 80  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #13,Alisson_08_sept/IVg2025-09-08_13.csv,13,1757348087.8589244
15,13:17:22,IVg,81.0,IVg chip 81  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #14,Alisson_08_sept/IVg2025-09-08_14.csv,14,1757348242.351445
16,13:22:56,IVg,100.0,IVg chip 100  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #15,Alisson_08_sept/IVg2025-09-08_15.csv,15,1757348576.97046
17,13:25:42,IVg,100.0,IVg chip 100  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #16,Alisson_08_sept/IVg2025-09-08_16.csv,16,1757348742.2767072
18,13:29:31,IVg,101.0,IVg chip 101  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #17,Alisson_08_sept/IVg2025-09-08_17.csv,17,1757348971.9427412
19,13:30:31,IVg,101.0,IVg chip 101  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #18,Alisson_08_sept/IVg2025-09-08_18.csv,18,1757349031.5773084
