#Procedure: <laser_setup.procedures.IV.IV>
#Parameters:
#	Irange: 0.0001 A
#	NPLC: 1
#	Burn-in time: 600 s
#	Chip group name: other
#	Chip number: 71
#	Information: test 71 muerto :(
#	Laser voltage: 0 V
#	Laser wavelength: 0
#	Procedure version: 2.0.1
#	Sample: other
#	Step time: 0 s
#	VG: 0 V
#	VSD end: 1 V
#	VSD start: -1 V
#	VSD step: 0.01 V
#Metadata:
#	Start time: 1757686834.374426
#Data:
Vsd (V),I (A),Plate T (degC),Ambient T (degC),Clock (ms)
0.0,9.304567e-10,nan,nan,nan
-0.0005,9.938345e-10,nan,nan,nan
-0.0105,9.47742e-10,nan,nan,nan
-0.0205,1.109069e-09,nan,nan,nan
-0.0305,1.132115e-09,nan,nan,nan
-0.0405,1.016882e-09,nan,nan,nan
-0.0505,7.057516e-10,nan,nan,nan
-0.0605,1.080261e-09,nan,nan,nan
-0.07050000000000001,1.097546e-09,nan,nan,nan
-0.0805,9.88074e-10,nan,nan,nan
-0.0905,8.84364e-10,nan,nan,nan
-0.1005,9.880733e-10,nan,nan,nan
-0.1105,1.005357e-09,nan,nan,nan
-0.1205,9.880728e-10,nan,nan,nan
-0.1305,9.938351e-10,nan,nan,nan
-0.1405,3.715751e-10,nan,nan,nan
-0.1505,9.189336e-10,nan,nan,nan
-0.1605,9.880726e-10,nan,nan,nan
-0.1705,9.131725e-10,nan,nan,nan
-0.1805,9.707891e-10,nan,nan,nan
-0.1905,7.115124e-10,nan,nan,nan
-0.2005,9.823121e-10,nan,nan,nan
-0.2105,1.086021e-09,nan,nan,nan
-0.2205,9.189338e-10,nan,nan,nan
-0.2305,9.419795e-10,nan,nan,nan
-0.2405,9.189324e-10,nan,nan,nan
-0.2505,9.131719e-10,nan,nan,nan
-0.2605,8.843632e-10,nan,nan,nan
-0.2705,1.114832e-09,nan,nan,nan
-0.2805,9.246949e-10,nan,nan,nan
-0.2905,1.011122e-09,nan,nan,nan
-0.3005,1.022645e-09,nan,nan,nan
-0.3105,7.345589e-10,nan,nan,nan
-0.3205,9.477413e-10,nan,nan,nan
-0.3305,9.13173e-10,nan,nan,nan
-0.3405,9.419797e-10,nan,nan,nan
-0.35050000000000003,9.131713e-10,nan,nan,nan
-0.3605,1.011122e-09,nan,nan,nan
-0.3705,8.728411e-10,nan,nan,nan
-0.3805,9.592646e-10,nan,nan,nan
-0.3905,8.497941e-10,nan,nan,nan
-0.4005,9.880742e-10,nan,nan,nan
-0.41050000000000003,8.901256e-10,nan,nan,nan
-0.4205,9.246953e-10,nan,nan,nan
-0.4305,1.091784e-09,nan,nan,nan
-0.4405,9.246958e-10,nan,nan,nan
-0.4505,7.921773e-10,nan,nan,nan
-0.4605,8.209862e-10,nan,nan,nan
-0.47050000000000003,9.074101e-10,nan,nan,nan
-0.4805,9.18933e-10,nan,nan,nan
-0.4905,8.84364e-10,nan,nan,nan
-0.5005,8.958885e-10,nan,nan,nan
-0.5105,4.580009e-10,nan,nan,nan
-0.5205,8.786011e-10,nan,nan,nan
-0.5305,9.304583e-10,nan,nan,nan
-0.5405,7.864168e-10,nan,nan,nan
-0.5505,1.535433e-09,nan,nan,nan
