#Procedure: <laser_setup.procedures.IVg.IVg>
#Parameters:
#	Irange: 0.001 A
#	NPLC: 1
#	Burn-in time: 0 s
#	Chip group name: Alisson
#	Chip number: 75
#	Information: monitoring
#	Laser voltage: 0 V
#	Laser wavelength: 455
#	Procedure version: 2.1.0
#	Sample: other
#	Step time: 0 s
#	VDS: 0.1 V
#	VG end: 5 V
#	VG start: -5 V
#	VG step: 0.05 V
#Metadata:
#	Start time: 1757710544.3641043
#Data:
Vg (V),I (A),Plate T (degC),Ambient T (degC),Clock (ms)
0.0,5.877722e-05,nan,nan,nan
-0.05,5.69354e-05,nan,nan,nan
-0.1,5.342806e-05,nan,nan,nan
-0.15000000000000002,4.964188e-05,nan,nan,nan
-0.2,4.539424e-05,nan,nan,nan
-0.25,4.104154e-05,nan,nan,nan
-0.30000000000000004,3.682191e-05,nan,nan,nan
-0.35000000000000003,3.276304e-05,nan,nan,nan
-0.4,3.009004e-05,nan,nan,nan
-0.45,2.814253e-05,nan,nan,nan
-0.5,2.75665e-05,nan,nan,nan
-0.55,2.831582e-05,nan,nan,nan
-0.6000000000000001,3.047701e-05,nan,nan,nan
-0.65,3.596427e-05,nan,nan,nan
-0.7000000000000001,3.8136e-05,nan,nan,nan
-0.75,4.296157e-05,nan,nan,nan
-0.8,4.747823e-05,nan,nan,nan
-0.8500000000000001,5.185069e-05,nan,nan,nan
-0.9,5.60128e-05,nan,nan,nan
-0.9500000000000001,5.990651e-05,nan,nan,nan
-1.0,6.366269e-05,nan,nan,nan
-1.05,6.703438e-05,nan,nan,nan
-1.1,7.013861e-05,nan,nan,nan
-1.1500000000000001,7.295266e-05,nan,nan,nan
-1.2000000000000002,7.578258e-05,nan,nan,nan
-1.25,7.84485e-05,nan,nan,nan
-1.3,8.063555e-05,nan,nan,nan
-1.35,8.28386e-05,nan,nan,nan
-1.4000000000000001,8.490697e-05,nan,nan,nan
-1.4500000000000002,8.693669e-05,nan,nan,nan
-1.5,8.889801e-05,nan,nan,nan
-1.55,9.071988e-05,nan,nan,nan
-1.6,9.239968e-05,nan,nan,nan
-1.6500000000000001,9.396623e-05,nan,nan,nan
-1.7000000000000002,9.545749e-05,nan,nan,nan
-1.75,9.693921e-05,nan,nan,nan
-1.8,9.824774e-05,nan,nan,nan
-1.85,0.0001004032,nan,nan,nan
-1.9000000000000001,0.0001007657,nan,nan,nan
-1.9500000000000002,0.0001019504,nan,nan,nan
-2.0,0.0001030907,nan,nan,nan
-2.0500000000000003,0.000104194,nan,nan,nan
-2.1,0.0001052308,nan,nan,nan
-2.15,0.0001062731,nan,nan,nan
-2.2,0.0001071755,nan,nan,nan
-2.25,0.0001081787,nan,nan,nan
-2.3000000000000003,0.000109138,nan,nan,nan
-2.35,0.0001099087,nan,nan,nan
-2.4000000000000004,0.0001107371,nan,nan,nan
-2.45,0.0001114894,nan,nan,nan
-2.5,0.0001122319,nan,nan,nan
-2.5500000000000003,0.0001129761,nan,nan,nan
-2.6,0.0001136371,nan,nan,nan
-2.6500000000000004,0.0001142523,nan,nan,nan
-2.7,0.0001148861,nan,nan,nan
-2.75,0.0001155479,nan,nan,nan
-2.8000000000000003,0.0001161142,nan,nan,nan
-2.85,0.0001166596,nan,nan,nan
-2.9000000000000004,0.0001171888,nan,nan,nan
-2.95,0.0001177118,nan,nan,nan
-3.0,0.0001183609,nan,nan,nan
-3.0500000000000003,0.0001191383,nan,nan,nan
-3.1,0.000119093,nan,nan,nan
-3.1500000000000004,0.0001195993,nan,nan,nan
-3.2,0.0001200823,nan,nan,nan
-3.25,0.0001205137,nan,nan,nan
-3.3000000000000003,0.0001209494,nan,nan,nan
-3.35,0.0001213774,nan,nan,nan
-3.4000000000000004,0.0001217633,nan,nan,nan
-3.45,0.0001222209,nan,nan,nan
-3.5,0.0001225388,nan,nan,nan
-3.5500000000000003,0.0001229145,nan,nan,nan
-3.6,0.0001233314,nan,nan,nan
-3.6500000000000004,0.0001237218,nan,nan,nan
-3.7,0.0001240826,nan,nan,nan
-3.75,0.0001244705,nan,nan,nan
-3.8000000000000003,0.0001248298,nan,nan,nan
-3.85,0.0001251311,nan,nan,nan
-3.9000000000000004,0.0001254849,nan,nan,nan
-3.95,0.0001259084,nan,nan,nan
-4.0,0.0001261042,nan,nan,nan
-4.05,0.00012642,nan,nan,nan
-4.1000000000000005,0.0001267693,nan,nan,nan
-4.15,0.0001270584,nan,nan,nan
-4.2,0.0001273722,nan,nan,nan
-4.25,0.00012789,nan,nan,nan
-4.3,0.0001277652,nan,nan,nan
-4.3500000000000005,0.0001281165,nan,nan,nan
-4.4,0.0001284626,nan,nan,nan
-4.45,0.0001287827,nan,nan,nan
-4.5,0.0001291445,nan,nan,nan
-4.55,0.0001294116,nan,nan,nan
-4.6000000000000005,0.0001297355,nan,nan,nan
-4.65,0.00013001,nan,nan,nan
-4.7,0.000130273,nan,nan,nan
-4.75,0.0001305473,nan,nan,nan
-4.800000000000001,0.0001308261,nan,nan,nan
-4.8500000000000005,0.0001311669,nan,nan,nan
-4.9,0.0001314843,nan,nan,nan
-4.95,0.0001317581,nan,nan,nan
-5.0,0.0001320647,nan,nan,nan
-4.95,0.0001317109,nan,nan,nan
-4.9,0.0001309221,nan,nan,nan
-4.8500000000000005,0.0001302271,nan,nan,nan
-4.800000000000001,0.00012963,nan,nan,nan
-4.750000000000001,0.0001290677,nan,nan,nan
-4.700000000000001,0.0001285494,nan,nan,nan
-4.650000000000001,0.0001280178,nan,nan,nan
-4.600000000000001,0.0001276066,nan,nan,nan
-4.550000000000002,0.0001272496,nan,nan,nan
-4.500000000000002,0.0001268143,nan,nan,nan
-4.450000000000002,0.000126311,nan,nan,nan
-4.400000000000002,0.0001257649,nan,nan,nan
-4.350000000000002,0.0001252612,nan,nan,nan
-4.3000000000000025,0.0001247747,nan,nan,nan
-4.250000000000003,0.0001242338,nan,nan,nan
-4.200000000000003,0.0001238255,nan,nan,nan
-4.150000000000003,0.0001232544,nan,nan,nan
-4.100000000000003,0.0001228144,nan,nan,nan
-4.050000000000003,0.0001223022,nan,nan,nan
-4.0000000000000036,0.0001218128,nan,nan,nan
-3.9500000000000037,0.000121256,nan,nan,nan
-3.900000000000004,0.000120786,nan,nan,nan
-3.850000000000004,0.0001202227,nan,nan,nan
-3.8000000000000043,0.0001196566,nan,nan,nan
-3.7500000000000044,0.0001190841,nan,nan,nan
-3.7000000000000046,0.0001185709,nan,nan,nan
-3.650000000000005,0.0001178331,nan,nan,nan
-3.600000000000005,0.0001171662,nan,nan,nan
-3.550000000000005,0.0001165886,nan,nan,nan
-3.5000000000000053,0.0001159274,nan,nan,nan
-3.4500000000000055,0.000115281,nan,nan,nan
-3.4000000000000057,0.0001146779,nan,nan,nan
-3.350000000000006,0.0001134517,nan,nan,nan
-3.300000000000006,0.0001134314,nan,nan,nan
-3.250000000000006,0.0001127081,nan,nan,nan
-3.2000000000000064,0.0001119591,nan,nan,nan
-3.1500000000000066,0.0001111399,nan,nan,nan
-3.1000000000000068,0.0001103879,nan,nan,nan
-3.050000000000007,0.0001095436,nan,nan,nan
-3.000000000000007,0.0001087809,nan,nan,nan
-2.9500000000000073,0.0001077608,nan,nan,nan
-2.9000000000000075,0.0001068939,nan,nan,nan
-2.8500000000000076,0.0001059991,nan,nan,nan
-2.800000000000008,0.0001050397,nan,nan,nan
-2.750000000000008,0.0001040495,nan,nan,nan
-2.700000000000008,0.0001030353,nan,nan,nan
-2.6500000000000083,0.0001020735,nan,nan,nan
-2.6000000000000085,0.0001009151,nan,nan,nan
-2.5500000000000087,9.964822e-05,nan,nan,nan
-2.500000000000009,9.861075e-05,nan,nan,nan
-2.450000000000009,9.726937e-05,nan,nan,nan
-2.4000000000000092,9.598735e-05,nan,nan,nan
-2.3500000000000094,9.467582e-05,nan,nan,nan
-2.3000000000000096,9.326251e-05,nan,nan,nan
-2.2500000000000098,9.185587e-05,nan,nan,nan
-2.20000000000001,9.02056e-05,nan,nan,nan
-2.15000000000001,8.851813e-05,nan,nan,nan
-2.1000000000000103,8.677693e-05,nan,nan,nan
-2.0500000000000105,8.49553e-05,nan,nan,nan
-2.0000000000000107,8.301382e-05,nan,nan,nan
-1.9500000000000108,8.100751e-05,nan,nan,nan
-1.900000000000011,7.876755e-05,nan,nan,nan
-1.8500000000000112,7.661827e-05,nan,nan,nan
-1.8000000000000114,7.440015e-05,nan,nan,nan
-1.7500000000000115,7.186192e-05,nan,nan,nan
-1.7000000000000117,6.931987e-05,nan,nan,nan
-1.650000000000012,6.649833e-05,nan,nan,nan
