#Procedure: <laser_setup.procedures.IVg.IVg>
#Parameters:
#	Irange: 0.001 A
#	NPLC: 1
#	Burn-in time: 0 s
#	Chip group name: Alisson
#	Chip number: 75
#	Information: light 
#	Laser voltage: 0 V
#	Laser wavelength: 455
#	Procedure version: 2.1.0
#	Sample: other
#	Step time: 0 s
#	VDS: 0.1 V
#	VG end: 5 V
#	VG start: -5 V
#	VG step: 0.05 V
#Metadata:
#	Start time: 1757692181.6269028
#Data:
Vg (V),I (A),Plate T (degC),Ambient T (degC),Clock (ms)
0.0,6.925156e-05,nan,nan,nan
-0.05,7.068033e-05,nan,nan,nan
-0.1,7.355592e-05,nan,nan,nan
-0.15000000000000002,7.612359e-05,nan,nan,nan
-0.2,7.887795e-05,nan,nan,nan
-0.25,8.140149e-05,nan,nan,nan
-0.30000000000000004,8.378837e-05,nan,nan,nan
-0.35000000000000003,8.614485e-05,nan,nan,nan
-0.4,8.819811e-05,nan,nan,nan
-0.45,9.026105e-05,nan,nan,nan
-0.5,9.221708e-05,nan,nan,nan
-0.55,9.403643e-05,nan,nan,nan
-0.6000000000000001,9.582184e-05,nan,nan,nan
-0.65,9.752555e-05,nan,nan,nan
-0.7000000000000001,9.912362e-05,nan,nan,nan
-0.75,0.000100825,nan,nan,nan
-0.8,0.0001023639,nan,nan,nan
-0.8500000000000001,0.000103805,nan,nan,nan
-0.9,0.0001052046,nan,nan,nan
-0.9500000000000001,0.0001066674,nan,nan,nan
-1.0,0.0001079184,nan,nan,nan
-1.05,0.0001090815,nan,nan,nan
-1.1,0.0001103788,nan,nan,nan
-1.1500000000000001,0.0001115335,nan,nan,nan
-1.2000000000000002,0.000112641,nan,nan,nan
-1.25,0.0001137778,nan,nan,nan
-1.3,0.000114838,nan,nan,nan
-1.35,0.0001158397,nan,nan,nan
-1.4000000000000001,0.0001168671,nan,nan,nan
-1.4500000000000002,0.0001178383,nan,nan,nan
-1.5,0.0001188376,nan,nan,nan
-1.55,0.0001197946,nan,nan,nan
-1.6,0.0001206428,nan,nan,nan
-1.6500000000000001,0.0001215088,nan,nan,nan
-1.7000000000000002,0.0001223224,nan,nan,nan
-1.75,0.0001230668,nan,nan,nan
-1.8,0.0001238466,nan,nan,nan
-1.85,0.0001246238,nan,nan,nan
-1.9000000000000001,0.0001253452,nan,nan,nan
-1.9500000000000002,0.0001260335,nan,nan,nan
-2.0,0.0001266489,nan,nan,nan
-2.0500000000000003,0.0001272977,nan,nan,nan
-2.1,0.0001279344,nan,nan,nan
-2.15,0.0001285738,nan,nan,nan
-2.2,0.0001290908,nan,nan,nan
-2.25,0.0001296799,nan,nan,nan
-2.3000000000000003,0.0001302165,nan,nan,nan
-2.35,0.0001306958,nan,nan,nan
-2.4000000000000004,0.0001311857,nan,nan,nan
-2.45,0.0001316635,nan,nan,nan
-2.5,0.0001320719,nan,nan,nan
-2.5500000000000003,0.0001325179,nan,nan,nan
-2.6,0.0001331796,nan,nan,nan
-2.6500000000000004,0.0001332106,nan,nan,nan
-2.7,0.0001335878,nan,nan,nan
-2.75,0.000134031,nan,nan,nan
-2.8000000000000003,0.0001343145,nan,nan,nan
-2.85,0.0001346428,nan,nan,nan
-2.9000000000000004,0.0001349686,nan,nan,nan
-2.95,0.0001353528,nan,nan,nan
-3.0,0.0001356194,nan,nan,nan
-3.0500000000000003,0.0001359291,nan,nan,nan
-3.1,0.0001361547,nan,nan,nan
-3.1500000000000004,0.0001364051,nan,nan,nan
-3.2,0.0001366731,nan,nan,nan
-3.25,0.000136901,nan,nan,nan
-3.3000000000000003,0.0001371314,nan,nan,nan
-3.35,0.0001373741,nan,nan,nan
