#Procedure: <laser_setup.procedures.It.It>
#Parameters:
#	Irange: 0.001 A
#	NPLC: 1
#	T step start time: 120 s
#	Chip group name: Alisson
#	Chip number: 75
#	Information: Light testing 565 mn
#	Initial (current) T: 0 C
#	Laser ON+OFF period: 120 s
#	Laser voltage: 1.57 V
#	Laser wavelength: 565
#	Procedure version: 2.2.0
#	Sample: other
#	Sampling time (excluding Keithley): 0 s
#	Target T: 25 C
#	VDS: 0.1 V
#	VG: -3 V
#Metadata:
#	Start time: 1757710810.3828828
#Data:
t (s),I (A),VL (V),Plate T (degC),Ambient T (degC),Clock (ms)
0.0,0.0001154788,0.0,nan,nan,nan
0.08381846,0.0001168086,0.0,nan,nan,nan
0.1674001,0.0001168767,0.0,nan,nan,nan
0.2512055,0.0001169178,0.0,nan,nan,nan
0.334728,0.0001169478,0.0,nan,nan,nan
0.4184419,0.0001169436,0.0,nan,nan,nan
0.502225,0.0001170139,0.0,nan,nan,nan
0.5859296,0.0001170413,0.0,nan,nan,nan
0.6695789,0.0001170428,0.0,nan,nan,nan
0.7539756,0.0001170237,0.0,nan,nan,nan
0.8375574,0.0001170547,0.0,nan,nan,nan
0.9212639,0.0001170672,0.0,nan,nan,nan
1.01333,0.0001170166,0.0,nan,nan,nan
1.096972,0.0001170129,0.0,nan,nan,nan
1.180476,0.0001169954,0.0,nan,nan,nan
1.264181,0.0001169858,0.0,nan,nan,nan
1.348157,0.0001170166,0.0,nan,nan,nan
1.431769,0.0001170046,0.0,nan,nan,nan
1.515143,0.0001169452,0.0,nan,nan,nan
1.598692,0.0001169632,0.0,nan,nan,nan
1.682386,0.0001169863,0.0,nan,nan,nan
1.765973,0.000116969,0.0,nan,nan,nan
1.849485,0.0001169558,0.0,nan,nan,nan
1.93309,0.0001169565,0.0,nan,nan,nan
2.016733,0.0001169216,0.0,nan,nan,nan
2.100431,0.0001169402,0.0,nan,nan,nan
2.183959,0.0001169092,0.0,nan,nan,nan
2.26758,0.0001169147,0.0,nan,nan,nan
2.351194,0.0001169443,0.0,nan,nan,nan
2.434887,0.0001169333,0.0,nan,nan,nan
2.5185,0.0001169105,0.0,nan,nan,nan
2.602104,0.0001169207,0.0,nan,nan,nan
2.685829,0.0001169142,0.0,nan,nan,nan
2.769684,0.000116904,0.0,nan,nan,nan
2.853436,0.000116887,0.0,nan,nan,nan
2.937066,0.0001168984,0.0,nan,nan,nan
3.020756,0.0001168894,0.0,nan,nan,nan
3.104498,0.0001169124,0.0,nan,nan,nan
3.189205,0.0001169091,0.0,nan,nan,nan
3.272933,0.0001169014,0.0,nan,nan,nan
3.356559,0.0001168797,0.0,nan,nan,nan
3.439971,0.0001169033,0.0,nan,nan,nan
3.523433,0.0001169092,0.0,nan,nan,nan
3.606918,0.0001169009,0.0,nan,nan,nan
3.690931,0.0001168873,0.0,nan,nan,nan
3.774609,0.0001169019,0.0,nan,nan,nan
3.858058,0.0001169063,0.0,nan,nan,nan
3.941848,0.000116901,0.0,nan,nan,nan
4.025317,0.0001168924,0.0,nan,nan,nan
4.109078,0.0001168941,0.0,nan,nan,nan
4.192669,0.0001168802,0.0,nan,nan,nan
4.276434,0.0001168623,0.0,nan,nan,nan
4.359844,0.0001168783,0.0,nan,nan,nan
4.443521,0.0001168795,0.0,nan,nan,nan
4.526917,0.0001168696,0.0,nan,nan,nan
4.610289,0.0001168722,0.0,nan,nan,nan
4.694049,0.0001168896,0.0,nan,nan,nan
4.77795,0.0001168886,0.0,nan,nan,nan
4.861709,0.0001168708,0.0,nan,nan,nan
4.945279,0.0001168673,0.0,nan,nan,nan
5.028804,0.0001168726,0.0,nan,nan,nan
5.11721,0.0001168966,0.0,nan,nan,nan
5.200824,0.0001168595,0.0,nan,nan,nan
5.284584,0.0001168691,0.0,nan,nan,nan
5.368182,0.000116856,0.0,nan,nan,nan
5.451779,0.0001168616,0.0,nan,nan,nan
5.535309,0.0001168811,0.0,nan,nan,nan
5.618738,0.0001168797,0.0,nan,nan,nan
5.702414,0.000116892,0.0,nan,nan,nan
5.785909,0.0001168776,0.0,nan,nan,nan
5.869583,0.0001169225,0.0,nan,nan,nan
5.953364,0.0001169101,0.0,nan,nan,nan
6.037918,0.0001169368,0.0,nan,nan,nan
6.12169,0.0001169469,0.0,nan,nan,nan
6.205973,0.000116915,0.0,nan,nan,nan
6.289666,0.0001169025,0.0,nan,nan,nan
6.373297,0.0001169429,0.0,nan,nan,nan
6.456651,0.0001169266,0.0,nan,nan,nan
6.540297,0.0001169306,0.0,nan,nan,nan
6.623844,0.0001169111,0.0,nan,nan,nan
6.707531,0.0001169411,0.0,nan,nan,nan
6.790937,0.0001169512,0.0,nan,nan,nan
6.874474,0.000116919,0.0,nan,nan,nan
6.957907,0.0001169498,0.0,nan,nan,nan
7.04178,0.0001168954,0.0,nan,nan,nan
7.155014,0.000116932,0.0,nan,nan,nan
7.238706,0.0001169216,0.0,nan,nan,nan
7.322417,0.0001169305,0.0,nan,nan,nan
7.405775,0.0001169413,0.0,nan,nan,nan
7.489404,0.0001169536,0.0,nan,nan,nan
7.572907,0.000116936,0.0,nan,nan,nan
7.656415,0.0001169811,0.0,nan,nan,nan
7.739909,0.0001169642,0.0,nan,nan,nan
7.823465,0.0001169895,0.0,nan,nan,nan
7.907036,0.0001170003,0.0,nan,nan,nan
7.990462,0.0001169902,0.0,nan,nan,nan
8.074042,0.0001169887,0.0,nan,nan,nan
8.157659,0.000116993,0.0,nan,nan,nan
8.241371,0.0001169859,0.0,nan,nan,nan
8.325154,0.0001169875,0.0,nan,nan,nan
8.408894,0.000116983,0.0,nan,nan,nan
8.492534,0.0001169938,0.0,nan,nan,nan
8.57626,0.0001169982,0.0,nan,nan,nan
8.660306,0.0001169758,0.0,nan,nan,nan
8.743787,0.0001169915,0.0,nan,nan,nan
8.827334,0.0001170113,0.0,nan,nan,nan
8.912157,0.0001169981,0.0,nan,nan,nan
8.996278,0.0001169559,0.0,nan,nan,nan
9.080258,0.0001169907,0.0,nan,nan,nan
9.164039,0.0001169889,0.0,nan,nan,nan
9.247477,0.0001169933,0.0,nan,nan,nan
9.330944,0.0001169958,0.0,nan,nan,nan
9.41466,0.0001169904,0.0,nan,nan,nan
9.498397,0.0001169929,0.0,nan,nan,nan
9.581872,0.0001170078,0.0,nan,nan,nan
9.665418,0.0001170009,0.0,nan,nan,nan
9.748801,0.0001170008,0.0,nan,nan,nan
9.832343,0.0001170103,0.0,nan,nan,nan
9.915901,0.0001170305,0.0,nan,nan,nan
9.999634,0.0001169832,0.0,nan,nan,nan
10.08307,0.000116974,0.0,nan,nan,nan
10.16691,0.0001169941,0.0,nan,nan,nan
10.25082,0.0001170185,0.0,nan,nan,nan
10.33428,0.0001170333,0.0,nan,nan,nan
10.41806,0.0001170384,0.0,nan,nan,nan
