#Procedure: <laser_setup.procedures.It.It>
#Parameters:
#	Irange: 0.001 A
#	NPLC: 1
#	T step start time: 120 s
#	Chip group name: Alisson
#	Chip number: 75
#	Information: Light testing 365 mn
#	Initial (current) T: 0 C
#	Laser ON+OFF period: 120 s
#	Laser voltage: 3.71 V
#	Laser wavelength: 365
#	Procedure version: 2.2.0
#	Sample: other
#	Sampling time (excluding Keithley): 0 s
#	Target T: 25 C
#	VDS: 0.1 V
#	VG: 3 V
#Metadata:
#	Start time: 1757702174.9235747
#Data:
t (s),I (A),VL (V),Plate T (degC),Ambient T (degC),Clock (ms)
0.0,0.0001404016,0.0,nan,nan,nan
0.08392662,0.0001401264,0.0,nan,nan,nan
0.1678025,0.0001398912,0.0,nan,nan,nan
0.2513026,0.0001397263,0.0,nan,nan,nan
0.3346909,0.0001395395,0.0,nan,nan,nan
0.4182009,0.000139362,0.0,nan,nan,nan
0.5018079,0.0001392187,0.0,nan,nan,nan
0.5854641,0.0001391291,0.0,nan,nan,nan
0.6691702,0.0001390178,0.0,nan,nan,nan
0.7528282,0.0001389359,0.0,nan,nan,nan
0.836248,0.0001388538,0.0,nan,nan,nan
0.9196492,0.0001387636,0.0,nan,nan,nan
1.003238,0.0001386874,0.0,nan,nan,nan
1.086788,0.000138622,0.0,nan,nan,nan
1.170667,0.0001386036,0.0,nan,nan,nan
1.254074,0.0001385409,0.0,nan,nan,nan
1.337454,0.0001384546,0.0,nan,nan,nan
1.421127,0.0001384312,0.0,nan,nan,nan
1.504807,0.0001383801,0.0,nan,nan,nan
1.588327,0.0001383266,0.0,nan,nan,nan
1.671806,0.0001383013,0.0,nan,nan,nan
1.755623,0.0001382954,0.0,nan,nan,nan
1.839155,0.0001383006,0.0,nan,nan,nan
1.943068,0.0001382496,0.0,nan,nan,nan
2.026803,0.0001382389,0.0,nan,nan,nan
2.110545,0.0001382216,0.0,nan,nan,nan
2.194616,0.0001381791,0.0,nan,nan,nan
2.278573,0.0001381855,0.0,nan,nan,nan
2.362215,0.0001381538,0.0,nan,nan,nan
2.445992,0.0001381311,0.0,nan,nan,nan
2.529788,0.0001381171,0.0,nan,nan,nan
2.613249,0.0001381066,0.0,nan,nan,nan
2.697045,0.0001380958,0.0,nan,nan,nan
2.780813,0.000138098,0.0,nan,nan,nan
2.864552,0.0001381064,0.0,nan,nan,nan
2.948372,0.0001381108,0.0,nan,nan,nan
3.032287,0.0001381032,0.0,nan,nan,nan
3.116057,0.0001380857,0.0,nan,nan,nan
3.19978,0.000138105,0.0,nan,nan,nan
3.283438,0.0001380891,0.0,nan,nan,nan
3.367285,0.0001381176,0.0,nan,nan,nan
3.450847,0.0001380746,0.0,nan,nan,nan
3.534452,0.0001381159,0.0,nan,nan,nan
3.618144,0.0001381006,0.0,nan,nan,nan
3.701968,0.0001380632,0.0,nan,nan,nan
3.785581,0.0001380845,0.0,nan,nan,nan
3.869446,0.0001380766,0.0,nan,nan,nan
3.953095,0.0001380523,0.0,nan,nan,nan
4.036743,0.0001380487,0.0,nan,nan,nan
4.120641,0.0001380438,0.0,nan,nan,nan
4.205559,0.0001380766,0.0,nan,nan,nan
4.289019,0.000138089,0.0,nan,nan,nan
