#Procedure: <laser_setup.procedures.LaserCalibration.LaserCalibration>
#Parameters:
#	N_avg: 2
#	Optical fiber: F1 (M92L02)
#	Information: max current calib
#	Laser wavelength: 565
#	Procedure version: 1.1.1
#	Step time: 2 s
#	Laser voltage end: 5 V
#	Laser voltage start: 0 V
#	Laser voltage step: 0.1 V
#Metadata:
#	Sensor model: S120VC
#	Start time: 1757695534.5964704
#Data:
VL (V),Power (W)
0.0,2.8561542e-09
0.1,8.906240225e-07
0.2,2.23790073e-06
0.30000000000000004,3.4893998850000003e-06
0.4,4.847184299999999e-06
0.5,6.16503348e-06
0.6000000000000001,7.42734801e-06
0.7000000000000001,8.685711235e-06
0.8,9.81615767e-06
0.9,1.10052588e-05
1.0,1.2197896e-05
1.1,1.33433182e-05
1.2000000000000002,1.448645205e-05
1.3,1.55925636e-05
1.4000000000000001,1.6668724100000002e-05
1.5,1.7781075250000002e-05
1.6,1.888237785e-05
1.7000000000000002,1.98973239e-05
1.8,2.0949863e-05
1.9000000000000001,2.19961348e-05
2.0,2.2912931850000002e-05
2.1,2.39195242e-05
2.2,2.49344712e-05
2.3000000000000003,2.592853615e-05
2.4000000000000004,2.68870972e-05
2.5,2.7876984899999998e-05
2.6,2.87185985e-05
2.7,2.96520984e-05
2.8000000000000003,3.06211041e-05
2.9000000000000004,3.15483376e-05
3.0,3.24734847e-05
3.1,3.338401255e-05
3.2,3.43091615e-05
3.3000000000000003,3.5209246600000004e-05
3.4000000000000004,3.6151102900000004e-05
3.5,3.70031539e-05
3.6,3.7919948200000004e-05
3.7,3.87218861e-05
3.8000000000000003,3.960735375e-05
3.9000000000000004,4.04594066e-05
4.0,4.1340701499999996e-05
4.1000000000000005,4.220528535e-05
4.2,4.30719629e-05
4.3,4.3846745e-05
4.4,4.47029743e-05
4.5,4.554667795e-05
4.6000000000000005,4.6356964950000005e-05
4.7,4.71944004e-05
4.800000000000001,4.802348305e-05
4.9,4.872726095e-05
5.0,4.9558435449999994e-05
