#Procedure: <laser_setup.procedures.It.It>
#Parameters:
#	Irange: 0.001 A
#	NPLC: 1
#	T step start time: 120 s
#	Chip group name: Alisson
#	Chip number: 68
#	Information: Light testing 850 mn
#	Initial (current) T: 0 C
#	Laser ON+OFF period: 120 s
#	Laser voltage: 2.21 V
#	Laser wavelength: 385
#	Procedure version: 2.2.0
#	Sample: other
#	Sampling time (excluding Keithley): 0 s
#	Target T: 25 C
#	VDS: 0.1 V
#	VG: -6.02 V
#Metadata:
#	Start time: 1757960408.6895308
#Data:
t (s),I (A),VL (V),Plate T (degC),Ambient T (degC),Clock (ms)
0.0,0.0001125033,0.0,nan,nan,nan
0.08359446,0.0001109057,0.0,nan,nan,nan
0.1671626,0.0001094072,0.0,nan,nan,nan
0.2507309,0.0001083722,0.0,nan,nan,nan
0.34946,0.0001071456,0.0,nan,nan,nan
0.4332097,0.0001060837,0.0,nan,nan,nan
0.5216948,0.0001051948,0.0,nan,nan,nan
0.6053334,0.0001044376,0.0,nan,nan,nan
0.6888101,0.0001037944,0.0,nan,nan,nan
0.7722871,0.0001032241,0.0,nan,nan,nan
0.8558381,0.0001026428,0.0,nan,nan,nan
0.9397862,0.0001020106,0.0,nan,nan,nan
1.023458,0.0001015273,0.0,nan,nan,nan
1.144335,0.0001008679,0.0,nan,nan,nan
1.22819,0.0001004372,0.0,nan,nan,nan
1.311564,0.0001001068,0.0,nan,nan,nan
1.395169,9.968671e-05,0.0,nan,nan,nan
1.478809,9.931372e-05,0.0,nan,nan,nan
1.596095,9.89033e-05,0.0,nan,nan,nan
1.679502,9.85864e-05,0.0,nan,nan,nan
1.763042,9.826531e-05,0.0,nan,nan,nan
1.846507,9.788499e-05,0.0,nan,nan,nan
2.033244,9.732151e-05,0.0,nan,nan,nan
2.116832,9.705179e-05,0.0,nan,nan,nan
2.201068,9.676394e-05,0.0,nan,nan,nan
2.284848,9.657363e-05,0.0,nan,nan,nan
2.369113,9.638424e-05,0.0,nan,nan,nan
2.452688,9.61983e-05,0.0,nan,nan,nan
2.536248,9.590405e-05,0.0,nan,nan,nan
2.61993,9.569697e-05,0.0,nan,nan,nan
2.703579,9.545275e-05,0.0,nan,nan,nan
2.796886,9.532698e-05,0.0,nan,nan,nan
2.880266,9.511458e-05,0.0,nan,nan,nan
2.978103,9.490435e-05,0.0,nan,nan,nan
3.062165,9.477603e-05,0.0,nan,nan,nan
3.145744,9.45932e-05,0.0,nan,nan,nan
3.252265,9.441322e-05,0.0,nan,nan,nan
3.335782,9.430521e-05,0.0,nan,nan,nan
3.420197,9.410558e-05,0.0,nan,nan,nan
3.503706,9.398787e-05,0.0,nan,nan,nan
3.588002,9.388019e-05,0.0,nan,nan,nan
3.671587,9.377444e-05,0.0,nan,nan,nan
3.755226,9.353447e-05,0.0,nan,nan,nan
3.848898,9.338729e-05,0.0,nan,nan,nan
3.932416,9.323744e-05,0.0,nan,nan,nan
4.02094,9.31205e-05,0.0,nan,nan,nan
4.104773,9.299629e-05,0.0,nan,nan,nan
4.188295,9.28977e-05,0.0,nan,nan,nan
4.271789,9.278308e-05,0.0,nan,nan,nan
4.355262,9.264578e-05,0.0,nan,nan,nan
4.438838,9.247789e-05,0.0,nan,nan,nan
4.52259,9.238904e-05,0.0,nan,nan,nan
4.639454,9.217852e-05,0.0,nan,nan,nan
4.723084,9.211778e-05,0.0,nan,nan,nan
4.807696,9.196966e-05,0.0,nan,nan,nan
4.891439,9.185632e-05,0.0,nan,nan,nan
4.974828,9.174257e-05,0.0,nan,nan,nan
5.058578,9.166839e-05,0.0,nan,nan,nan
5.142155,9.161052e-05,0.0,nan,nan,nan
5.248065,9.146369e-05,0.0,nan,nan,nan
5.331568,9.138443e-05,0.0,nan,nan,nan
5.415041,9.128025e-05,0.0,nan,nan,nan
5.499085,9.112387e-05,0.0,nan,nan,nan
5.582551,9.102077e-05,0.0,nan,nan,nan
5.666342,9.100263e-05,0.0,nan,nan,nan
5.749928,9.088252e-05,0.0,nan,nan,nan
5.845936,9.076244e-05,0.0,nan,nan,nan
5.929813,9.073366e-05,0.0,nan,nan,nan
6.017211,9.067562e-05,0.0,nan,nan,nan
6.100914,9.06047e-05,0.0,nan,nan,nan
6.187333,9.053549e-05,0.0,nan,nan,nan
