#Procedure: <laser_setup.procedures.LaserCalibration.LaserCalibration>
#Parameters:
#	N_avg: 2
#	Optical fiber: F1 (M92L02)
#	Information: max current
#	Laser wavelength: 455
#	Procedure version: 1.1.1
#	Step time: 2 s
#	Laser voltage end: 5 V
#	Laser voltage start: 0 V
#	Laser voltage step: 0.1 V
#Metadata:
#	Sensor model: S120VC
#	Start time: 1757958722.5841124
#Data:
VL (V),Power (W)
0.0,4.406129905e-09
0.1,5.371742605e-09
0.2,3.7395766150000004e-07
0.30000000000000004,8.317995535e-07
0.4,1.367111965e-06
0.5,1.910074955e-06
0.6000000000000001,2.3724927599999997e-06
0.7000000000000001,2.8903321e-06
0.8,3.392861005e-06
0.9,3.91292269e-06
1.0,4.457185015e-06
1.1,4.990087745e-06
1.2000000000000002,5.531633635000001e-06
1.3,6.056633765e-06
1.4000000000000001,6.5668180000000005e-06
1.5,7.10268455e-06
1.6,7.629413855000001e-06
1.7000000000000002,8.13762199e-06
1.8,8.66138771e-06
1.9000000000000001,9.18293154e-06
2.0,9.644715194999999e-06
2.1,1.015563975e-05
2.2,1.0669281000000001e-05
2.3000000000000003,1.11797117e-05
2.4000000000000004,1.166693025e-05
2.5,1.216797725e-05
2.6,1.26151908e-05
2.7,1.31090774e-05
2.8000000000000003,1.360938315e-05
2.9000000000000004,1.410450385e-05
3.0,1.46129596e-05
3.1,1.509696725e-05
3.2,1.560097825e-05
3.3000000000000003,1.60948639e-05
3.4000000000000004,1.6586527599999998e-05
3.5,1.7049545e-05
3.6,1.7541703549999997e-05
3.7,1.799212715e-05
3.8000000000000003,1.846378745e-05
3.9000000000000004,1.893470745e-05
4.0,1.94066151e-05
4.1000000000000005,1.98926e-05
4.2,2.03753716e-05
4.3,2.080653485e-05
4.4,2.12875784e-05
4.5,2.17683773e-05
4.6000000000000005,2.22472181e-05
4.7,2.2738147e-05
4.800000000000001,2.3201804650000002e-05
4.9,2.361090995e-05
5.0,2.407952525e-05
