seq,time_hms,proc,chip,summary,source_file,file_idx,start_time,gap_s,elapsed_s
1,11:28:58,IVg,68.0,IVg chip 68  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #1,raw_data/Alisson_22_sept/IVg2025-09-22_1.csv,1,1758551338.2167318,,0.0
2,11:35:10,LaserCalibration,,LaserCalibration λ=365.0 nm  #1,raw_data/Alisson_22_sept/LaserCalibration2025-09-22_1.csv,1,1758551710.681514,372.4647822380066,372.4647822380066
3,11:49:25,IVg,68.0,IVg chip 68  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #2,raw_data/Alisson_22_sept/IVg2025-09-22_2.csv,2,1758552565.5751812,854.8936672210693,1227.358449459076
4,11:52:06,It,68.0,It  chip 68  VG=-5.46 V  VDS=0.1 V  VL=0.89 V  λ=365.0 nm  period=240.0 s  #1,raw_data/Alisson_22_sept/It2025-09-22_1.csv,1,1758552726.3084004,160.73321914672852,1388.0916686058044
5,11:58:09,It,68.0,It  chip 68  VG=-5.46 V  VDS=0.1 V  VL=2.77 V  λ=365.0 nm  period=240.0 s  #2,raw_data/Alisson_22_sept/It2025-09-22_2.csv,2,1758553089.590393,363.2819926738739,1751.3736612796783
6,12:04:09,It,68.0,It  chip 68  VG=-5.46 V  VDS=0.1 V  VL=4.76 V  λ=365.0 nm  period=240.0 s  #3,raw_data/Alisson_22_sept/It2025-09-22_3.csv,3,1758553449.777962,360.18756890296936,2111.5612301826477
7,12:10:10,It,68.0,It  chip 68  VG=-5.46 V  VDS=0.1 V  VL=0.89 V  λ=365.0 nm  period=240.0 s  #4,raw_data/Alisson_22_sept/It2025-09-22_4.csv,4,1758553810.0310464,360.25308442115784,2471.8143146038055
8,12:16:10,It,68.0,It  chip 68  VG=-5.46 V  VDS=0.1 V  VL=2.77 V  λ=365.0 nm  period=240.0 s  #5,raw_data/Alisson_22_sept/It2025-09-22_5.csv,5,1758554170.2701118,360.23906540870667,2832.053380012512
9,12:22:10,It,68.0,It  chip 68  VG=-5.46 V  VDS=0.1 V  VL=4.76 V  λ=365.0 nm  period=240.0 s  #6,raw_data/Alisson_22_sept/It2025-09-22_6.csv,6,1758554530.500497,360.2303853034973,3192.2837653160095
10,12:39:29,It,68.0,It  chip 68  VG=-5.46 V  VDS=0.1 V  VL=0.89 V  λ=365.0 nm  period=240.0 s  #7,raw_data/Alisson_22_sept/It2025-09-22_7.csv,7,1758555569.4987633,1038.9982662200928,4231.282031536102
