#Procedure: <laser_setup.procedures.IV.IV>
#Parameters:
#	Irange: 1e-08 A
#	NPLC: 1
#	Burn-in time: 600 s
#	Chip group name: other
#	Chip number: 1
#	Information: Scratch - Source
#	Laser voltage: 0 V
#	Laser wavelength: 0
#	Procedure version: 2.0.1
#	Sample: other
#	Step time: 0 s
#	VG: 0 V
#	VSD end: 2 V
#	VSD start: -2 V
#	VSD step: 0.05 V
#Metadata:
#	Start time: 1757446150.6100307
#Data:
Vsd (V),I (A),Plate T (degC),Ambient T (degC),Clock (ms)
0.0,-1.498423e-12,nan,nan,nan
-0.0005,1.351826e-11,nan,nan,nan
-0.0505,-3.533001e-10,nan,nan,nan
-0.1005,-1.922593e-10,nan,nan,nan
-0.15050000000000002,-2.003357e-10,nan,nan,nan
-0.2005,-1.686287e-10,nan,nan,nan
-0.2505,-3.711645e-10,nan,nan,nan
-0.30050000000000004,-1.931292e-10,nan,nan,nan
-0.35050000000000003,-1.963379e-10,nan,nan,nan
-0.4005,-1.548836e-10,nan,nan,nan
-0.4505,-1.725402e-10,nan,nan,nan
-0.5005,-2.194269e-10,nan,nan,nan
-0.5505,-1.521586e-10,nan,nan,nan
-0.6005,-1.956351e-10,nan,nan,nan
-0.6505,-2.193175e-10,nan,nan,nan
-0.7005,-2.23857e-10,nan,nan,nan
-0.7505,-1.663707e-10,nan,nan,nan
-0.8005,-2.014476e-10,nan,nan,nan
-0.8505,-1.558228e-10,nan,nan,nan
-0.9005,-1.625052e-10,nan,nan,nan
-0.9505,-2.138219e-10,nan,nan,nan
-1.0005,-1.464328e-10,nan,nan,nan
-1.0505,-1.710714e-10,nan,nan,nan
-1.1005,-2.273597e-10,nan,nan,nan
-1.1505,-1.666529e-10,nan,nan,nan
-1.2005000000000001,-2.162069e-10,nan,nan,nan
-1.2505,-2.229355e-10,nan,nan,nan
-1.3005,-1.602529e-10,nan,nan,nan
-1.3505,-2.252629e-10,nan,nan,nan
-1.4005,-1.406952e-10,nan,nan,nan
-1.4505000000000001,-1.786584e-10,nan,nan,nan
-1.5005,-2.265819e-10,nan,nan,nan
-1.5505,-1.642048e-10,nan,nan,nan
-1.6005,-2.21622e-10,nan,nan,nan
-1.6505,-1.571652e-10,nan,nan,nan
-1.7005000000000001,-1.643143e-10,nan,nan,nan
-1.7505,-2.221061e-10,nan,nan,nan
-1.8005,-1.541234e-10,nan,nan,nan
-1.8505,-1.805538e-10,nan,nan,nan
-1.9005,-2.291401e-10,nan,nan,nan
-1.9505000000000001,-1.740038e-10,nan,nan,nan
-2.0,-2.076984e-10,nan,nan,nan
-1.95,1.415916e-10,nan,nan,nan
-1.9,2.088627e-10,nan,nan,nan
-1.8499999999999999,1.536071e-10,nan,nan,nan
-1.7999999999999998,1.617113e-10,nan,nan,nan
-1.7499999999999998,1.814104e-10,nan,nan,nan
-1.6999999999999997,2.051183e-10,nan,nan,nan
-1.6499999999999997,1.558245e-10,nan,nan,nan
-1.5999999999999996,1.993066e-10,nan,nan,nan
-1.5499999999999996,2.0983e-10,nan,nan,nan
-1.4999999999999996,1.557612e-10,nan,nan,nan
-1.4499999999999995,2.170761e-10,nan,nan,nan
-1.3999999999999995,2.026415e-10,nan,nan,nan
-1.3499999999999994,1.6049e-10,nan,nan,nan
-1.2999999999999994,2.032925e-10,nan,nan,nan
-1.2499999999999993,1.580189e-10,nan,nan,nan
-1.1999999999999993,1.739741e-10,nan,nan,nan
-1.1499999999999992,1.982352e-10,nan,nan,nan
-1.0999999999999992,1.712323e-10,nan,nan,nan
-1.0499999999999992,2.052852e-10,nan,nan,nan
-0.9999999999999991,1.643318e-10,nan,nan,nan
-0.9499999999999991,1.896239e-10,nan,nan,nan
-0.899999999999999,1.958101e-10,nan,nan,nan
-0.849999999999999,1.757251e-10,nan,nan,nan
-0.7999999999999989,1.829077e-10,nan,nan,nan
-0.7499999999999989,1.971866e-10,nan,nan,nan
-0.6999999999999988,1.634678e-10,nan,nan,nan
-0.6499999999999988,1.787951e-10,nan,nan,nan
-0.5999999999999988,2.03298e-10,nan,nan,nan
-0.5499999999999987,1.74475e-10,nan,nan,nan
-0.49999999999999867,1.748091e-10,nan,nan,nan
-0.4499999999999986,2.042829e-10,nan,nan,nan
-0.3999999999999986,1.685307e-10,nan,nan,nan
-0.34999999999999853,1.803732e-10,nan,nan,nan
-0.2999999999999985,2.186078e-10,nan,nan,nan
-0.24999999999999845,1.568724e-10,nan,nan,nan
-0.1999999999999984,4.383047e-10,nan,nan,nan
-0.14999999999999836,1.663936e-10,nan,nan,nan
-0.09999999999999831,1.956428e-10,nan,nan,nan
-0.04999999999999827,1.311887e-10,nan,nan,nan
-0.0005,4.272971e-10,nan,nan,nan
0.0005,-1.33136e-12,nan,nan,nan
0.0505,3.272178e-10,nan,nan,nan
