#Procedure: <laser_setup.procedures.IV.IV>
#Parameters:
#	Irange: 0.001 A
#	NPLC: 1
#	Burn-in time: 600 s
#	Chip group name: other
#	Chip number: 2
#	Information: Servian Graphene
#	Laser voltage: 0 V
#	Laser wavelength: 0
#	Procedure version: 2.0.1
#	Sample: other
#	Step time: 0 s
#	VG: 0 V
#	VSD end: 1 V
#	VSD start: -1 V
#	VSD step: 0.05 V
#Metadata:
#	Start time: 1757443364.6924756
#Data:
Vsd (V),I (A),Plate T (degC),Ambient T (degC),Clock (ms)
0.0,-2.676448e-08,nan,nan,nan
-0.0005,-1.626744e-06,nan,nan,nan
-0.0505,-0.0001622585,nan,nan,nan
-0.1005,-0.0003229667,nan,nan,nan
-0.15050000000000002,-0.0004837335,nan,nan,nan
-0.2005,-0.0006445643,nan,nan,nan
-0.2505,-0.0008054187,nan,nan,nan
-0.30050000000000004,-0.0009665587,nan,nan,nan
-0.35050000000000003,-0.001049992,nan,nan,nan
-0.4005,-0.001049992,nan,nan,nan
-0.4505,-0.001049992,nan,nan,nan
-0.5005,-0.001049992,nan,nan,nan
-0.5505,-0.001049991,nan,nan,nan
-0.6005,-0.001049991,nan,nan,nan
-0.6505,-0.001049991,nan,nan,nan
-0.7005,-0.001049991,nan,nan,nan
-0.7505,-0.00104999,nan,nan,nan
-0.8005,-0.00104999,nan,nan,nan
-0.8505,-0.00104999,nan,nan,nan
-0.9005,-0.00104999,nan,nan,nan
-0.9505,-0.00104999,nan,nan,nan
-1.0,-0.001049991,nan,nan,nan
-0.95,-0.00104999,nan,nan,nan
-0.8999999999999999,-0.00104999,nan,nan,nan
-0.8499999999999999,-0.001049991,nan,nan,nan
-0.7999999999999998,-0.001049991,nan,nan,nan
-0.7499999999999998,-0.00104999,nan,nan,nan
-0.6999999999999997,-0.00104999,nan,nan,nan
-0.6499999999999997,-0.00104999,nan,nan,nan
-0.5999999999999996,-0.001049991,nan,nan,nan
-0.5499999999999996,-0.001049991,nan,nan,nan
-0.49999999999999956,-0.001049992,nan,nan,nan
-0.4499999999999995,-0.001049991,nan,nan,nan
-0.39999999999999947,-0.001049991,nan,nan,nan
-0.3499999999999994,-0.001049992,nan,nan,nan
-0.2999999999999994,-0.0009648739,nan,nan,nan
-0.24999999999999933,-0.0008038821,nan,nan,nan
-0.1999999999999993,-0.0006429455,nan,nan,nan
-0.14999999999999925,-0.0004821343,nan,nan,nan
-0.0999999999999992,-0.0003213741,nan,nan,nan
-0.049999999999999156,-0.0001606471,nan,nan,nan
-0.0005,-1.630546e-06,nan,nan,nan
0.0005,1.58083e-06,nan,nan,nan
0.0505,0.0001622964,nan,nan,nan
0.1005,0.000322966,nan,nan,nan
0.15050000000000002,0.0004837077,nan,nan,nan
0.2005,0.0006445603,nan,nan,nan
0.2505,0.0008055111,nan,nan,nan
0.30050000000000004,0.0009664041,nan,nan,nan
0.35050000000000003,0.001050032,nan,nan,nan
0.4005,0.001050031,nan,nan,nan
0.4505,0.00105003,nan,nan,nan
0.5005,0.00105003,nan,nan,nan
0.5505,0.001050029,nan,nan,nan
0.6005,0.001050029,nan,nan,nan
0.6505,0.001050028,nan,nan,nan
0.7005,0.001050026,nan,nan,nan
0.7505,0.001050025,nan,nan,nan
0.8005,0.001050025,nan,nan,nan
0.8505,0.001050023,nan,nan,nan
0.9005,0.001050024,nan,nan,nan
0.9505,0.001050026,nan,nan,nan
1.0,0.001050023,nan,nan,nan
0.95,0.001050023,nan,nan,nan
0.8999999999999999,0.001050024,nan,nan,nan
0.8499999999999999,0.001050025,nan,nan,nan
0.7999999999999998,0.001050027,nan,nan,nan
0.7499999999999998,0.001050025,nan,nan,nan
0.6999999999999997,0.001050027,nan,nan,nan
0.6499999999999997,0.001050028,nan,nan,nan
0.5999999999999996,0.001050028,nan,nan,nan
0.5499999999999996,0.001050028,nan,nan,nan
0.49999999999999956,0.001050028,nan,nan,nan
0.4499999999999995,0.00105003,nan,nan,nan
0.39999999999999947,0.00105003,nan,nan,nan
0.3499999999999994,0.001050032,nan,nan,nan
0.2999999999999994,0.000964971,nan,nan,nan
0.24999999999999933,0.0008039799,nan,nan,nan
0.1999999999999993,0.0006430253,nan,nan,nan
0.14999999999999925,0.0004821916,nan,nan,nan
0.0999999999999992,0.0003214253,nan,nan,nan
0.049999999999999156,0.000160686,nan,nan,nan
0.0005,1.582962e-06,nan,nan,nan
-0.0495,-0.0001590431,nan,nan,nan
