#Procedure: <laser_setup.procedures.IV.IV>
#Parameters:
#	Irange: 0.01 A
#	NPLC: 1
#	Burn-in time: 600 s
#	Chip group name: other
#	Chip number: 1
#	Information: Servian top
#	Laser voltage: 0 V
#	Laser wavelength: 0
#	Procedure version: 2.0.1
#	Sample: other
#	Step time: 0 s
#	VG: 0 V
#	VSD end: 1 V
#	VSD start: -1 V
#	VSD step: 0.05 V
#Metadata:
#	Start time: 1757445617.784208
#Data:
Vsd (V),I (A),Plate T (degC),Ambient T (degC),Clock (ms)
0.0,1.240785e-07,nan,nan,nan
-0.0005,1.142924e-07,nan,nan,nan
-0.0505,-1.234479e-06,nan,nan,nan
-0.1005,-2.578649e-06,nan,nan,nan
-0.15050000000000002,-3.92627e-06,nan,nan,nan
-0.2005,-5.274469e-06,nan,nan,nan
-0.2505,-6.626122e-06,nan,nan,nan
-0.30050000000000004,-7.974323e-06,nan,nan,nan
-0.35050000000000003,-9.315613e-06,nan,nan,nan
-0.4005,-1.066612e-05,nan,nan,nan
-0.4505,-1.20172e-05,nan,nan,nan
-0.5005,-1.335907e-05,nan,nan,nan
-0.5505,-1.471188e-05,nan,nan,nan
-0.6005,-1.606064e-05,nan,nan,nan
-0.6505,-1.74094e-05,nan,nan,nan
-0.7005,-1.875646e-05,nan,nan,nan
-0.7505,-2.009775e-05,nan,nan,nan
-0.8005,-2.144251e-05,nan,nan,nan
-0.8505,-2.279245e-05,nan,nan,nan
-0.9005,-2.414179e-05,nan,nan,nan
-0.9505,-2.548884e-05,nan,nan,nan
-1.0,-2.68146e-05,nan,nan,nan
-0.95,-2.547618e-05,nan,nan,nan
-0.8999999999999999,-2.412682e-05,nan,nan,nan
-0.8499999999999999,-2.278093e-05,nan,nan,nan
-0.7999999999999998,-2.143905e-05,nan,nan,nan
-0.7499999999999998,-2.009432e-05,nan,nan,nan
-0.6999999999999997,-1.874957e-05,nan,nan,nan
-0.6499999999999997,-1.739733e-05,nan,nan,nan
-0.5999999999999996,-1.604798e-05,nan,nan,nan
-0.5499999999999996,-1.47015e-05,nan,nan,nan
-0.49999999999999956,-1.335388e-05,nan,nan,nan
-0.4499999999999995,-1.200798e-05,nan,nan,nan
-0.39999999999999947,-1.065748e-05,nan,nan,nan
-0.3499999999999994,-9.308707e-06,nan,nan,nan
-0.2999999999999994,-7.963389e-06,nan,nan,nan
-0.24999999999999933,-6.615179e-06,nan,nan,nan
-0.1999999999999993,-5.275043e-06,nan,nan,nan
-0.14999999999999925,-3.923968e-06,nan,nan,nan
-0.0999999999999992,-2.570588e-06,nan,nan,nan
-0.049999999999999156,-1.221815e-06,nan,nan,nan
-0.0005,1.119897e-07,nan,nan,nan
0.0005,1.401968e-07,nan,nan,nan
0.0505,1.492414e-06,nan,nan,nan
0.1005,2.84578e-06,nan,nan,nan
0.15050000000000002,4.195693e-06,nan,nan,nan
0.2005,5.548482e-06,nan,nan,nan
0.2505,6.901276e-06,nan,nan,nan
0.30050000000000004,8.254641e-06,nan,nan,nan
0.35050000000000003,9.606855e-06,nan,nan,nan
0.4005,1.096483e-05,nan,nan,nan
0.4505,1.232107e-05,nan,nan,nan
0.5005,1.367385e-05,nan,nan,nan
0.5505,1.503183e-05,nan,nan,nan
0.6005,1.638346e-05,nan,nan,nan
0.6505,1.774142e-05,nan,nan,nan
0.7005,1.909077e-05,nan,nan,nan
0.7505,2.044471e-05,nan,nan,nan
0.8005,2.180439e-05,nan,nan,nan
0.8505,2.315546e-05,nan,nan,nan
0.9005,2.450824e-05,nan,nan,nan
0.9505,2.586334e-05,nan,nan,nan
1.0,2.720635e-05,nan,nan,nan
0.95,2.58593e-05,nan,nan,nan
0.8999999999999999,2.450019e-05,nan,nan,nan
0.8499999999999999,2.31474e-05,nan,nan,nan
0.7999999999999998,2.179462e-05,nan,nan,nan
0.7499999999999998,2.043204e-05,nan,nan,nan
0.6999999999999997,1.907638e-05,nan,nan,nan
0.6499999999999997,1.753993e-05,nan,nan,nan
0.5999999999999996,1.628675e-05,nan,nan,nan
0.5499999999999996,1.494663e-05,nan,nan,nan
0.49999999999999956,1.357427e-05,nan,nan,nan
0.4499999999999995,1.213513e-05,nan,nan,nan
0.39999999999999947,1.07927e-05,nan,nan,nan
0.3499999999999994,9.456608e-06,nan,nan,nan
0.2999999999999994,8.098062e-06,nan,nan,nan
0.24999999999999933,6.780387e-06,nan,nan,nan
0.1999999999999993,5.448896e-06,nan,nan,nan
0.14999999999999925,4.109344e-06,nan,nan,nan
0.0999999999999992,2.785912e-06,nan,nan,nan
0.049999999999999156,1.455571e-06,nan,nan,nan
0.0005,1.390456e-07,nan,nan,nan
-0.0495,-1.1867e-06,nan,nan,nan
