#Procedure: <laser_setup.procedures.IV.IV>
#Parameters:
#	Irange: 0.01 A
#	NPLC: 1
#	Burn-in time: 600 s
#	Chip group name: other
#	Chip number: 1
#	Information: Scratch - Source
#	Laser voltage: 0 V
#	Laser wavelength: 0
#	Procedure version: 2.0.1
#	Sample: other
#	Step time: 0 s
#	VG: 0 V
#	VSD end: 1 V
#	VSD start: -1 V
#	VSD step: 0.05 V
#Metadata:
#	Start time: 1757445970.691204
#Data:
Vsd (V),I (A),Plate T (degC),Ambient T (degC),Clock (ms)
0.0,1.23502e-07,nan,nan,nan
-0.0005,1.263802e-07,nan,nan,nan
-0.0505,1.263802e-07,nan,nan,nan
-0.1005,1.229263e-07,nan,nan,nan
-0.15050000000000002,1.23502e-07,nan,nan,nan
-0.2005,1.217751e-07,nan,nan,nan
-0.2505,1.229265e-07,nan,nan,nan
-0.30050000000000004,1.229264e-07,nan,nan,nan
-0.35050000000000003,1.211994e-07,nan,nan,nan
-0.4005,1.183213e-07,nan,nan,nan
-0.4505,1.206238e-07,nan,nan,nan
-0.5005,1.177456e-07,nan,nan,nan
-0.5505,1.194725e-07,nan,nan,nan
-0.6005,1.188969e-07,nan,nan,nan
-0.6505,1.177455e-07,nan,nan,nan
-0.7005,1.148673e-07,nan,nan,nan
-0.7505,1.171698e-07,nan,nan,nan
-0.8005,1.165944e-07,nan,nan,nan
-0.8505,1.160188e-07,nan,nan,nan
-0.9005,1.183213e-07,nan,nan,nan
-0.9505,1.165945e-07,nan,nan,nan
-1.0,1.142919e-07,nan,nan,nan
-0.95,1.160189e-07,nan,nan,nan
-0.8999999999999999,1.171702e-07,nan,nan,nan
-0.8499999999999999,1.160188e-07,nan,nan,nan
-0.7999999999999998,1.200482e-07,nan,nan,nan
-0.7499999999999998,1.223509e-07,nan,nan,nan
-0.6999999999999997,1.211995e-07,nan,nan,nan
-0.6499999999999997,1.1717e-07,nan,nan,nan
-0.5999999999999996,1.20624e-07,nan,nan,nan
-0.5499999999999996,1.194724e-07,nan,nan,nan
-0.49999999999999956,1.211994e-07,nan,nan,nan
-0.4499999999999995,1.223508e-07,nan,nan,nan
-0.39999999999999947,1.21775e-07,nan,nan,nan
-0.3499999999999994,1.229264e-07,nan,nan,nan
-0.2999999999999994,1.235021e-07,nan,nan,nan
-0.24999999999999933,1.26956e-07,nan,nan,nan
-0.1999999999999993,1.240776e-07,nan,nan,nan
-0.14999999999999925,1.229264e-07,nan,nan,nan
-0.0999999999999992,1.263803e-07,nan,nan,nan
-0.049999999999999156,1.269559e-07,nan,nan,nan
-0.0005,1.263801e-07,nan,nan,nan
0.0005,1.286826e-07,nan,nan,nan
0.0505,1.275314e-07,nan,nan,nan
0.1005,1.292586e-07,nan,nan,nan
0.15050000000000002,1.304097e-07,nan,nan,nan
0.2005,1.304097e-07,nan,nan,nan
0.2505,1.292583e-07,nan,nan,nan
0.30050000000000004,1.286827e-07,nan,nan,nan
0.35050000000000003,1.309854e-07,nan,nan,nan
0.4005,1.327122e-07,nan,nan,nan
0.4505,1.327121e-07,nan,nan,nan
0.5005,1.338636e-07,nan,nan,nan
0.5505,1.321366e-07,nan,nan,nan
0.6005,1.344391e-07,nan,nan,nan
0.6505,1.327121e-07,nan,nan,nan
0.7005,1.350148e-07,nan,nan,nan
0.7505,1.355905e-07,nan,nan,nan
0.8005,1.34439e-07,nan,nan,nan
0.8505,1.361659e-07,nan,nan,nan
0.9005,1.350146e-07,nan,nan,nan
0.9505,1.390443e-07,nan,nan,nan
1.0,1.367416e-07,nan,nan,nan
0.95,1.338633e-07,nan,nan,nan
0.8999999999999999,1.355902e-07,nan,nan,nan
0.8499999999999999,1.338635e-07,nan,nan,nan
0.7999999999999998,1.361661e-07,nan,nan,nan
0.7499999999999998,1.327122e-07,nan,nan,nan
0.6999999999999997,1.321365e-07,nan,nan,nan
0.6499999999999997,1.315609e-07,nan,nan,nan
0.5999999999999996,1.327122e-07,nan,nan,nan
0.5499999999999996,1.315609e-07,nan,nan,nan
0.49999999999999956,1.321366e-07,nan,nan,nan
0.4499999999999995,1.31561e-07,nan,nan,nan
0.39999999999999947,1.321365e-07,nan,nan,nan
0.3499999999999994,1.292583e-07,nan,nan,nan
0.2999999999999994,1.304097e-07,nan,nan,nan
0.24999999999999933,1.286826e-07,nan,nan,nan
0.1999999999999993,1.292585e-07,nan,nan,nan
0.14999999999999925,1.275316e-07,nan,nan,nan
0.0999999999999992,1.275316e-07,nan,nan,nan
0.049999999999999156,1.240776e-07,nan,nan,nan
0.0005,1.269559e-07,nan,nan,nan
-0.0495,1.240777e-07,nan,nan,nan
