seq,date,time_hms,proc,summary,source_file,file_idx,start_time,day_folder
1,2025-09-08,12:30:15,IVg,IVg Alisson72  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #2,raw_data/Alisson_08_sept/IVg2025-09-08_2.csv,2,1757345415.6467748,Alisson_08_sept
2,2025-09-22,16:51:19,IVg,IVg Alisson72  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #12,raw_data/Alisson_22_sept/IVg2025-09-22_12.csv,12,1758570679.4699981,Alisson_22_sept
3,2025-09-22,17:12:56,IVg,IVg Alisson72  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #13,raw_data/Alisson_22_sept/IVg2025-09-22_13.csv,13,1758571976.7727933,Alisson_22_sept
4,2025-09-22,17:14:43,It,💡 It  Alisson72  VG=-5.12 V  VDS=0.1 V  VL=1.33 V  λ=850.0 nm  period=120.0 s  #19,raw_data/Alisson_22_sept/It2025-09-22_19.csv,19,1758572083.7175047,Alisson_22_sept
5,2025-09-22,17:17:52,It,💡 It  Alisson72  VG=-5.12 V  VDS=0.1 V  VL=2.64 V  λ=850.0 nm  period=120.0 s  #20,raw_data/Alisson_22_sept/It2025-09-22_20.csv,20,1758572272.0956964,Alisson_22_sept
6,2025-09-22,17:21:00,It,💡 It  Alisson72  VG=-5.12 V  VDS=0.1 V  VL=3.98 V  λ=850.0 nm  period=120.0 s  #21,raw_data/Alisson_22_sept/It2025-09-22_21.csv,21,1758572460.6696181,Alisson_22_sept
7,2025-09-22,19:50:38,IVg,IVg Alisson72  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #14,raw_data/Alisson_22_sept/IVg2025-09-22_14.csv,14,1758581438.7875533,Alisson_22_sept
8,2025-09-23,09:34:02,IVg,IVg Alisson72  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #1,raw_data/Alisson_23_sept/IVg2025-09-23_1.csv,1,1758630842.2394657,Alisson_23_sept
9,2025-09-23,09:54:47,IVg,IVg Alisson72  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #2,raw_data/Alisson_23_sept/IVg2025-09-23_2.csv,2,1758632087.7965221,Alisson_23_sept
10,2025-09-23,09:55:55,It,💡 It  Alisson72  VG=-5.19 V  VDS=0.1 V  VL=1.4 V  λ=850.0 nm  period=120.0 s  #1,raw_data/Alisson_23_sept/It2025-09-23_1.csv,1,1758632155.2821116,Alisson_23_sept
11,2025-09-23,09:59:30,It,💡 It  Alisson72  VG=-2.62 V  VDS=0.1 V  VL=1.4 V  λ=850.0 nm  period=120.0 s  #2,raw_data/Alisson_23_sept/It2025-09-23_2.csv,2,1758632370.7227604,Alisson_23_sept
12,2025-09-23,10:02:37,It,💡 It  Alisson72  VG=-0.62 V  VDS=0.1 V  VL=1.4 V  λ=850.0 nm  period=120.0 s  #3,raw_data/Alisson_23_sept/It2025-09-23_3.csv,3,1758632557.6580405,Alisson_23_sept
13,2025-09-23,10:06:11,It,💡 It  Alisson72  VG=1.38 V  VDS=0.1 V  VL=1.4 V  λ=850.0 nm  period=120.0 s  #4,raw_data/Alisson_23_sept/It2025-09-23_4.csv,4,1758632771.9842806,Alisson_23_sept
14,2025-09-23,10:10:24,IVg,IVg Alisson72  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #3,raw_data/Alisson_23_sept/IVg2025-09-23_3.csv,3,1758633024.1524997,Alisson_23_sept
15,2025-09-23,10:22:17,IVg,IVg Alisson72  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #4,raw_data/Alisson_23_sept/IVg2025-09-23_4.csv,4,1758633737.1495233,Alisson_23_sept
16,2025-09-23,10:23:23,It,💡 It  Alisson72  VG=-2.62 V  VDS=0.1 V  VL=4.53 V  λ=680.0 nm  period=120.0 s  #5,raw_data/Alisson_23_sept/It2025-09-23_5.csv,5,1758633803.1951244,Alisson_23_sept
17,2025-09-23,10:29:35,It,💡 It  Alisson72  VG=1.38 V  VDS=0.1 V  VL=4.53 V  λ=680.0 nm  period=120.0 s  #7,raw_data/Alisson_23_sept/It2025-09-23_7.csv,7,1758634175.9112415,Alisson_23_sept
18,2025-09-23,10:32:41,It,💡 It  Alisson72  VG=-0.62 V  VDS=0.1 V  VL=4.53 V  λ=680.0 nm  period=120.0 s  #6,raw_data/Alisson_23_sept/It2025-09-23_6.csv,6,1758634361.890278,Alisson_23_sept
19,2025-09-23,10:36:37,IVg,IVg Alisson72  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #5,raw_data/Alisson_23_sept/IVg2025-09-23_5.csv,5,1758634597.3001387,Alisson_23_sept
20,2025-09-23,10:41:50,It,💡 It  Alisson72  VG=-2.62 V  VDS=0.1 V  VL=2.31 V  λ=625.0 nm  period=120.0 s  #8,raw_data/Alisson_23_sept/It2025-09-23_8.csv,8,1758634910.2777004,Alisson_23_sept
21,2025-09-23,10:44:57,It,💡 It  Alisson72  VG=-0.62 V  VDS=0.1 V  VL=2.31 V  λ=625.0 nm  period=120.0 s  #9,raw_data/Alisson_23_sept/It2025-09-23_9.csv,9,1758635097.2233062,Alisson_23_sept
22,2025-09-23,10:48:03,It,💡 It  Alisson72  VG=1.38 V  VDS=0.1 V  VL=2.31 V  λ=625.0 nm  period=120.0 s  #10,raw_data/Alisson_23_sept/It2025-09-23_10.csv,10,1758635283.3475049,Alisson_23_sept
23,2025-09-23,10:51:20,IVg,IVg Alisson72  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #6,raw_data/Alisson_23_sept/IVg2025-09-23_6.csv,6,1758635480.308816,Alisson_23_sept
24,2025-09-23,10:55:48,It,💡 It  Alisson72  VG=-2.62 V  VDS=0.1 V  VL=3.23 V  λ=590.0 nm  period=120.0 s  #11,raw_data/Alisson_23_sept/It2025-09-23_11.csv,11,1758635748.3815773,Alisson_23_sept
25,2025-09-23,10:59:08,IVg,IVg Alisson72  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #7,raw_data/Alisson_23_sept/IVg2025-09-23_7.csv,7,1758635948.9125323,Alisson_23_sept
26,2025-09-23,11:02:21,It,💡 It  Alisson72  VG=-2.62 V  VDS=0.1 V  VL=0.77 V  λ=565.0 nm  period=120.0 s  #12,raw_data/Alisson_23_sept/It2025-09-23_12.csv,12,1758636141.8027709,Alisson_23_sept
27,2025-09-23,11:05:44,IVg,IVg Alisson72  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #8,raw_data/Alisson_23_sept/IVg2025-09-23_8.csv,8,1758636344.2496617,Alisson_23_sept
28,2025-09-23,11:09:33,It,💡 It  Alisson72  VG=-2.62 V  VDS=0.1 V  VL=1.7 V  λ=505.0 nm  period=120.0 s  #13,raw_data/Alisson_23_sept/It2025-09-23_13.csv,13,1758636573.0749269,Alisson_23_sept
29,2025-09-23,11:13:05,IVg,IVg Alisson72  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #9,raw_data/Alisson_23_sept/IVg2025-09-23_9.csv,9,1758636785.8015227,Alisson_23_sept
