procedure_full,proc,start_time,start_dt,source_file,Irange,NPLC,Burn-in time,Chip group name,Chip number,Information,Laser voltage,Laser wavelength,Procedure version,Sample,Step time,VG,VSD end,VSD start,VSD step,Start time,file_idx,VDS,VG end,VG start,VG step,T step start time,Initial (current) T,Laser ON+OFF period,Sampling time (excluding Keithley),Target T
laser_setup.procedures.IVg.IVg,IVg,1757016983.8000882,2025-09-04T16:16:23.800088,IVg2025-09-04_1.csv,0.0001 A,1,60 s,Alisson,79,first measurement,0 V,0,2.1.0,D,0 s,,,,,1757016983.8000882,1,0.1 V,5 V,-5 V,0.2 V,,,,,
laser_setup.procedures.IVg.IVg,IVg,1757017007.7187634,2025-09-04T16:16:47.718763,IVg2025-09-04_2.csv,0.001 A,1,60 s,Alisson,79,first measurement,0 V,0,2.1.0,D,0 s,,,,,1757017007.7187634,2,0.1 V,5 V,-5 V,0.2 V,,,,,
laser_setup.procedures.IVg.IVg,IVg,1757017030.9639273,2025-09-04T16:17:10.963927,IVg2025-09-04_3.csv,0.001 A,1,60 s,Alisson,79,first measurement,0 V,0,2.1.0,D,0 s,,,,,1757017030.9639273,3,0.1 V,5 V,-5 V,0.1 V,,,,,
laser_setup.procedures.IVg.IVg,IVg,1757017091.8928013,2025-09-04T16:18:11.892801,IVg2025-09-04_4.csv,0.001 A,1,60 s,Alisson,79,first measurement,0 V,0,2.1.0,D,0 s,,,,,1757017091.8928013,4,0.1 V,10 V,-10 V,0.1 V,,,,,
laser_setup.procedures.IVg.IVg,IVg,1757017148.2920744,2025-09-04T16:19:08.292074,IVg2025-09-04_5.csv,0.001 A,1,60 s,Alisson,79,first measurement,0 V,0,2.1.0,D,0 s,,,,,1757017148.2920744,5,0.1 V,15 V,-15 V,0.1 V,,,,,
laser_setup.procedures.IVg.IVg,IVg,1757017247.0962374,2025-09-04T16:20:47.096237,IVg2025-09-04_6.csv,0.001 A,1,60 s,Alisson,79,first measurement,0 V,0,2.1.0,D,0 s,,,,,1757017247.0962374,6,0.1 V,20 V,-20 V,0.1 V,,,,,
laser_setup.procedures.IVg.IVg,IVg,1757017751.0947533,2025-09-04T16:29:11.094753,IVg2025-09-04_7.csv,0.001 A,1,60 s,Alisson,79,after collimating,0 V,0,2.1.0,D,0 s,,,,,1757017751.0947533,7,0.1 V,20 V,-20 V,0.1 V,,,,,
laser_setup.procedures.IVg.IVg,IVg,1757017893.0041947,2025-09-04T16:31:33.004195,IVg2025-09-04_8.csv,0.001 A,1,0 s,Alisson,79,without light,0 V,455,2.1.0,D,0 s,,,,,1757017893.0041947,8,0.1 V,20 V,-20 V,0.1 V,,,,,
laser_setup.procedures.IVg.IVg,IVg,1757018036.509018,2025-09-04T16:33:56.509018,IVg2025-09-04_9.csv,0.001 A,1,0 s,Alisson,79,with light,0.2 V,455,2.1.0,D,0 s,,,,,1757018036.509018,9,0.1 V,20 V,-20 V,0.1 V,,,,,
laser_setup.procedures.IVg.IVg,IVg,1757018144.19423,2025-09-04T16:35:44.194230,IVg2025-09-04_10.csv,0.001 A,1,0 s,Alisson,79,after light,0 V,455,2.1.0,D,0 s,,,,,1757018144.19423,10,0.1 V,20 V,-20 V,0.1 V,,,,,
