procedure_full,proc,start_time,start_dt,source_file,Irange,NPLC,Burn-in time,Chip group name,Chip number,Information,Laser voltage,Laser wavelength,Procedure version,Sample,Step time,VDS,VG end,VG start,VG step,Start time,file_idx,T step start time,Initial (current) T,Laser ON+OFF period,Sampling time (excluding Keithley),Target T,VG,N_avg,Optical fiber,Laser voltage end,Laser voltage start,Laser voltage step,Sensor model
laser_setup.procedures.IVg.IVg,IVg,1757091187.6061382,2025-09-05T12:53:07.606138,IVg2025-09-05_1.csv,0.001 A,1,0 s,Alisson,71,test biotite,0 V,455,2.1.0,other,0 s,0.1 V,5 V,-5 V,0.05 V,1757091187.6061382,1,,,,,,,,,,,,
laser_setup.procedures.IVg.IVg,IVg,1757091305.8255506,2025-09-05T12:55:05.825551,IVg2025-09-05_2.csv,0.001 A,1,0 s,Alisson,71,dark - biotite,0 V,455,2.1.0,other,0 s,0.1 V,5 V,-5 V,0.05 V,1757091305.8255506,2,,,,,,,,,,,,
laser_setup.procedures.IVg.IVg,IVg,1757091478.5485325,2025-09-05T12:57:58.548532,IVg2025-09-05_3.csv,0.001 A,1,0 s,Alisson,71,dark - biotite,0 V,455,2.1.0,other,0 s,0.1 V,5 V,-5 V,0.05 V,1757091478.5485325,3,,,,,,,,,,,,
laser_setup.procedures.IVg.IVg,IVg,1757091946.0995927,2025-09-05T13:05:46.099593,IVg2025-09-05_4.csv,0.001 A,1,0 s,Alisson,71,after plugging the led - biotite,0 V,455,2.1.0,other,0 s,0.1 V,5 V,-5 V,0.05 V,1757091946.0995927,4,,,,,,,,,,,,
laser_setup.procedures.It.It,It,1757092164.0184526,2025-09-05T13:09:24.018453,It2025-09-05_1.csv,0.001 A,1,,Alisson,71,455 -  biotite,1 V,455,2.2.0,other,,0.1 V,,,,1757092164.0184526,1,120 s,0 C,120 s,0 s,25 C,-5 V,,,,,,
laser_setup.procedures.It.It,It,1757092353.0123117,2025-09-05T13:12:33.012312,It2025-09-05_2.csv,0.001 A,1,,Alisson,71,455 -  biotite,2 V,455,2.2.0,other,,0.1 V,,,,1757092353.0123117,2,120 s,0 C,120 s,0 s,25 C,-5 V,,,,,,
laser_setup.procedures.It.It,It,1757092542.658285,2025-09-05T13:15:42.658285,It2025-09-05_3.csv,0.001 A,1,,Alisson,71,455 -  biotite,3 V,455,2.2.0,other,,0.1 V,,,,1757092542.658285,3,120 s,0 C,120 s,0 s,25 C,-5 V,,,,,,
laser_setup.procedures.It.It,It,1757092731.3531482,2025-09-05T13:18:51.353148,It2025-09-05_4.csv,0.001 A,1,,Alisson,71,455 -  biotite,4 V,455,2.2.0,other,,0.1 V,,,,1757092731.3531482,4,120 s,0 C,120 s,0 s,25 C,-5 V,,,,,,
laser_setup.procedures.It.It,It,1757092919.621063,2025-09-05T13:21:59.621063,It2025-09-05_5.csv,0.001 A,1,,Alisson,71,455 -  biotite,5 V,455,2.2.0,other,,0.1 V,,,,1757092919.621063,5,120 s,0 C,120 s,0 s,25 C,-5 V,,,,,,
laser_setup.procedures.It.It,It,1757093108.0241983,2025-09-05T13:25:08.024198,It2025-09-05_6.csv,0.001 A,1,,Alisson,71,455 -  biotite,1 V,455,2.2.0,other,,0.1 V,,,,1757093108.0241983,6,120 s,0 C,120 s,0 s,25 C,-3 V,,,,,,
laser_setup.procedures.It.It,It,1757093295.041799,2025-09-05T13:28:15.041799,It2025-09-05_7.csv,0.001 A,1,,Alisson,71,455 -  biotite,2 V,455,2.2.0,other,,0.1 V,,,,1757093295.041799,7,120 s,0 C,120 s,0 s,25 C,-3 V,,,,,,
laser_setup.procedures.It.It,It,1757093482.2192397,2025-09-05T13:31:22.219240,It2025-09-05_8.csv,0.001 A,1,,Alisson,71,455 -  biotite,3 V,455,2.2.0,other,,0.1 V,,,,1757093482.2192397,8,120 s,0 C,120 s,0 s,25 C,-3 V,,,,,,
laser_setup.procedures.It.It,It,1757093669.2249944,2025-09-05T13:34:29.224994,It2025-09-05_9.csv,0.001 A,1,,Alisson,71,455 -  biotite,4 V,455,2.2.0,other,,0.1 V,,,,1757093669.2249944,9,120 s,0 C,120 s,0 s,25 C,-3 V,,,,,,
laser_setup.procedures.It.It,It,1757093856.3335834,2025-09-05T13:37:36.333583,It2025-09-05_10.csv,0.001 A,1,,Alisson,71,455 -  biotite,5 V,455,2.2.0,other,,0.1 V,,,,1757093856.3335834,10,120 s,0 C,120 s,0 s,25 C,-3 V,,,,,,
laser_setup.procedures.It.It,It,1757094043.2951381,2025-09-05T13:40:43.295138,It2025-09-05_11.csv,0.001 A,1,,Alisson,71,455 -  biotite,1 V,455,2.2.0,other,,0.1 V,,,,1757094043.2951381,11,120 s,0 C,120 s,0 s,25 C,3 V,,,,,,
