procedure_full,proc,start_time,start_dt,source_file,Irange,NPLC,Burn-in time,Chip group name,Chip number,Information,Laser voltage,Laser wavelength,Procedure version,Sample,Step time,VG,VSD end,VSD start,VSD step,Start time,file_idx,VDS,VG end,VG start,VG step
laser_setup.procedures.IVg.IVg,IVg,1757345180.0971758,2025-09-08T12:26:20.097176,IVg2025-09-08_1.csv,0.001 A,1,0 s,Alisson,67,hbn bit - top,0 V,455,2.1.0,other,0 s,,,,,1757345180.0971758,1,0.1 V,5 V,-5 V,0.05 V
laser_setup.procedures.IVg.IVg,IVg,1757345415.6467748,2025-09-08T12:30:15.646775,IVg2025-09-08_2.csv,0.001 A,1,0 s,Alisson,72,hbn bit - top,0 V,455,2.1.0,other,0 s,,,,,1757345415.6467748,2,0.1 V,5 V,-5 V,0.05 V
laser_setup.procedures.IVg.IVg,IVg,1757345844.8101747,2025-09-08T12:37:24.810175,IVg2025-09-08_3.csv,0.001 A,1,0 s,Alisson,68,hbn - top - bio - bot,0 V,455,2.1.0,other,0 s,,,,,1757345844.8101747,3,0.1 V,5 V,-5 V,0.05 V
laser_setup.procedures.IVg.IVg,IVg,1757345903.1788788,2025-09-08T12:38:23.178879,IVg2025-09-08_4.csv,0.001 A,1,0 s,Alisson,68,hbn - top - bio - bot,0 V,455,2.1.0,other,0 s,,,,,1757345903.1788788,4,0.1 V,5 V,-5 V,0.05 V
laser_setup.procedures.IVg.IVg,IVg,1757346186.191259,2025-09-08T12:43:06.191259,IVg2025-09-08_5.csv,0.001 A,1,0 s,Alisson,69,hbn - top - bio - bot,0 V,455,2.1.0,other,0 s,,,,,1757346186.191259,5,0.1 V,5 V,-5 V,0.05 V
laser_setup.procedures.IV.IV,IV,1757346267.8836877,2025-09-08T12:44:27.883688,IV2025-09-08_1.csv,0.0001 A,1,600 s,Alisson,69,test no light,0 V,0,2.0.1,other,0 s,0 V,0.1 V,-0.1 V,0.01 V,1757346267.8836877,1,,,,
laser_setup.procedures.IVg.IVg,IVg,1757346349.1239831,2025-09-08T12:45:49.123983,IVg2025-09-08_6.csv,0.001 A,1,0 s,Alisson,69,hbn - top - bio - bot,0 V,455,2.1.0,other,0 s,,,,,1757346349.1239831,6,0.1 V,5 V,-5 V,0.05 V
laser_setup.procedures.IVg.IVg,IVg,1757346633.400781,2025-09-08T12:50:33.400781,IVg2025-09-08_7.csv,0.001 A,1,0 s,Alisson,73,hbn - top - bio - bot,0 V,455,2.1.0,other,0 s,,,,,1757346633.400781,7,0.1 V,5 V,-5 V,0.05 V
laser_setup.procedures.IVg.IVg,IVg,1757346834.7246556,2025-09-08T12:53:54.724656,IVg2025-09-08_8.csv,0.001 A,1,0 s,Alisson,74,hbn - top - bio - bot,0 V,455,2.1.0,other,0 s,,,,,1757346834.7246556,8,0.1 V,5 V,-5 V,0.05 V
laser_setup.procedures.IVg.IVg,IVg,1757346895.0247686,2025-09-08T12:54:55.024769,IVg2025-09-08_9.csv,0.001 A,1,0 s,Alisson,74,hbn - top - bio - bot,0 V,455,2.1.0,other,0 s,,,,,1757346895.0247686,9,0.1 V,5 V,-5 V,0.05 V
laser_setup.procedures.IVg.IVg,IVg,1757347247.5148237,2025-09-08T13:00:47.514824,IVg2025-09-08_10.csv,0.001 A,1,0 s,Alisson,75,hbn - top - bio - bot,0 V,455,2.1.0,other,0 s,,,,,1757347247.5148237,10,0.1 V,5 V,-5 V,0.05 V
laser_setup.procedures.IVg.IVg,IVg,1757347507.4701648,2025-09-08T13:05:07.470165,IVg2025-09-08_11.csv,0.001 A,1,0 s,Alisson,76,hbn - top - bio - bot - DS2,0 V,455,2.1.0,other,0 s,,,,,1757347507.4701648,11,0.1 V,5 V,-5 V,0.05 V
laser_setup.procedures.IVg.IVg,IVg,1757347697.092319,2025-09-08T13:08:17.092319,IVg2025-09-08_12.csv,0.001 A,1,0 s,Alisson,76,hbn - top - bio - bot - S1D,0 V,455,2.1.0,other,0 s,,,,,1757347697.092319,12,0.1 V,5 V,-5 V,0.05 V
laser_setup.procedures.IVg.IVg,IVg,1757348087.8589244,2025-09-08T13:14:47.858924,IVg2025-09-08_13.csv,0.001 A,1,0 s,Alisson,80,hbn - top - bio - bot,0 V,455,2.1.0,other,0 s,,,,,1757348087.8589244,13,0.1 V,5 V,-5 V,0.05 V
laser_setup.procedures.IVg.IVg,IVg,1757348242.351445,2025-09-08T13:17:22.351445,IVg2025-09-08_14.csv,0.001 A,1,0 s,Alisson,81,hbn - top - bio - bot,0 V,455,2.1.0,other,0 s,,,,,1757348242.351445,14,0.1 V,5 V,-5 V,0.05 V
laser_setup.procedures.IVg.IVg,IVg,1757348576.97046,2025-09-08T13:22:56.970460,IVg2025-09-08_15.csv,0.001 A,1,0 s,Alisson,100,hbn - top - bio - bot,0 V,455,2.1.0,other,0 s,,,,,1757348576.97046,15,0.1 V,5 V,-5 V,0.05 V
laser_setup.procedures.IVg.IVg,IVg,1757348742.2767072,2025-09-08T13:25:42.276707,IVg2025-09-08_16.csv,0.001 A,1,0 s,Alisson,100,hbn - top - bio - bot,0 V,455,2.1.0,other,0 s,,,,,1757348742.2767072,16,0.1 V,5 V,-5 V,0.05 V
laser_setup.procedures.IVg.IVg,IVg,1757348971.9427412,2025-09-08T13:29:31.942741,IVg2025-09-08_17.csv,0.001 A,1,0 s,Alisson,101,hbn - top - bio - bot,0 V,455,2.1.0,other,0 s,,,,,1757348971.9427412,17,0.1 V,5 V,-5 V,0.05 V
laser_setup.procedures.IVg.IVg,IVg,1757349031.5773084,2025-09-08T13:30:31.577308,IVg2025-09-08_18.csv,0.001 A,1,0 s,Alisson,101,hbn - top - bio - bot,0 V,455,2.1.0,other,0 s,,,,,1757349031.5773084,18,0.1 V,5 V,-5 V,0.05 V
