procedure_full,proc,start_time,start_dt,source_file,file_idx,Irange,NPLC,Burn-in time,Chip group name,Chip number,Information,Laser voltage,Laser wavelength,Procedure version,Sample,Step time,VG,VSD end,VSD start,VSD step,Start time,VDS,VG end,VG start,VG step,T step start time,Initial (current) T,Laser ON+OFF period,Sampling time (excluding Keithley),Target T,N_avg,Optical fiber,Laser voltage end,Laser voltage start,Laser voltage step,Sensor model
laser_setup.procedures.IVg.IVg,IVg,1757686497.4707847,2025-09-12T11:14:57.470785,IVg2025-09-12_1.csv,1,0.001 A,1,0 s,Alisson,71,hbn - top - bio - bot,0 V,455,2.1.0,other,0 s,,,,,1757686497.4707847,0.1 V,5 V,-5 V,0.05 V,,,,,,,,,,,
laser_setup.procedures.IVg.IVg,IVg,1757686585.381315,2025-09-12T11:16:25.381315,IVg2025-09-12_2.csv,2,0.001 A,1,0 s,Alisson,71,hbn - top - bio - bot,0 V,455,2.1.0,other,0 s,,,,,1757686585.381315,0.1 V,5 V,-5 V,0.05 V,,,,,,,,,,,
laser_setup.procedures.IVg.IVg,IVg,1757686615.0106933,2025-09-12T11:16:55.010693,IVg2025-09-12_3.csv,3,0.001 A,1,0 s,Alisson,71,hbn - top - bio - bot,0 V,455,2.1.0,other,0 s,,,,,1757686615.0106933,0.1 V,5 V,-5 V,0.05 V,,,,,,,,,,,
laser_setup.procedures.IV.IV,IV,1757686798.9217222,2025-09-12T11:19:58.921722,IV2025-09-12_1.csv,1,0.0001 A,1,600 s,other,71,test 71 muerto :(,0 V,0,2.0.1,other,0 s,0 V,1 V,-1 V,0.01 V,1757686798.9217222,,,,,,,,,,,,,,,
laser_setup.procedures.IV.IV,IV,1757686834.374426,2025-09-12T11:20:34.374426,IV2025-09-12_2.csv,2,0.0001 A,1,600 s,other,71,test 71 muerto :(,0 V,0,2.0.1,other,0 s,0 V,1 V,-1 V,0.01 V,1757686834.374426,,,,,,,,,,,,,,,
laser_setup.procedures.IVg.IVg,IVg,1757692181.6269028,2025-09-12T12:49:41.626903,IVg2025-09-12_4.csv,4,0.001 A,1,0 s,Alisson,75,light,0 V,455,2.1.0,other,0 s,,,,,1757692181.6269028,0.1 V,5 V,-5 V,0.05 V,,,,,,,,,,,
laser_setup.procedures.LaserCalibration.LaserCalibration,LaserCalibration,1757694629.4063692,2025-09-12T13:30:29.406369,LaserCalibration2025-09-12_1.csv,1,,,,,,365 max current calib,,365,1.1.1,,2 s,,,,,1757694629.4063692,,,,,,,,,,2,F1 (M92L02),5 V,0 V,0.1 V,S120VC
laser_setup.procedures.LaserCalibration.LaserCalibration,LaserCalibration,1757695148.3566844,2025-09-12T13:39:08.356684,LaserCalibration2025-09-12_2.csv,2,,,,,,max current calib,,455,1.1.1,,2 s,,,,,1757695148.3566844,,,,,,,,,,2,F1 (M92L02),5 V,0 V,0.1 V,S120VC
laser_setup.procedures.LaserCalibration.LaserCalibration,LaserCalibration,1757695534.5964704,2025-09-12T13:45:34.596470,LaserCalibration2025-09-12_3.csv,3,,,,,,max current calib,,565,1.1.1,,2 s,,,,,1757695534.5964704,,,,,,,,,,2,F1 (M92L02),5 V,0 V,0.1 V,S120VC
laser_setup.procedures.LaserCalibration.LaserCalibration,LaserCalibration,1757695826.8354511,2025-09-12T13:50:26.835451,LaserCalibration2025-09-12_4.csv,4,,,,,,max current calib,,625,1.1.1,,2 s,,,,,1757695826.8354511,,,,,,,,,,2,F1 (M92L02),5 V,0 V,0.1 V,S120VC
