#Procedure: <laser_setup.procedures.IV.IV>
#Parameters:
#	Irange: 0.0001 A
#	NPLC: 1
#	Burn-in time: 600 s
#	Chip group name: Alisson
#	Chip number: 79
#	Information: iv test
#	Laser voltage: 0 V
#	Laser wavelength: 0
#	Procedure version: 2.0.1
#	Sample: D
#	Step time: 0 s
#	VG: 0 V
#	VSD end: 0.1 V
#	VSD start: -0.1 V
#	VSD step: 0.01 V
#Metadata:
#	Start time: 1757018821.6358175
#Data:
Vsd (V),I (A),Plate T (degC),Ambient T (degC),Clock (ms)
0.0,-2.794773e-10,nan,nan,nan
-0.0005,-3.366957e-08,nan,nan,nan
-0.0105,-7.034769e-07,nan,nan,nan
-0.0205,-1.370871e-06,nan,nan,nan
-0.0305,-2.03577e-06,nan,nan,nan
-0.0405,-2.71732e-06,nan,nan,nan
-0.0505,-3.389599e-06,nan,nan,nan
-0.0605,-4.070447e-06,nan,nan,nan
-0.07050000000000001,-4.748459e-06,nan,nan,nan
-0.0805,-5.437471e-06,nan,nan,nan
-0.0905,-6.103019e-06,nan,nan,nan
-0.1,-6.774243e-06,nan,nan,nan
-0.09000000000000001,-6.098022e-06,nan,nan,nan
-0.08000000000000002,-5.421581e-06,nan,nan,nan
-0.07000000000000002,-4.718273e-06,nan,nan,nan
-0.060000000000000026,-4.037074e-06,nan,nan,nan
-0.05000000000000003,-3.352376e-06,nan,nan,nan
-0.040000000000000036,-2.688562e-06,nan,nan,nan
-0.03000000000000004,-2.013717e-06,nan,nan,nan
-0.020000000000000046,-1.338656e-06,nan,nan,nan
-0.01000000000000005,-6.716427e-07,nan,nan,nan
-0.0005,-3.410173e-08,nan,nan,nan
0.0005,3.300659e-08,nan,nan,nan
0.0105,7.027093e-07,nan,nan,nan
0.0205,1.374982e-06,nan,nan,nan
0.0305,2.048662e-06,nan,nan,nan
0.0405,2.709687e-06,nan,nan,nan
0.0505,3.392671e-06,nan,nan,nan
0.0605,4.079641e-06,nan,nan,nan
0.07050000000000001,4.781908e-06,nan,nan,nan
0.0805,5.463149e-06,nan,nan,nan
0.0905,6.149604e-06,nan,nan,nan
0.1,6.814953e-06,nan,nan,nan
0.09000000000000001,6.105767e-06,nan,nan,nan
0.08000000000000002,5.414977e-06,nan,nan,nan
0.07000000000000002,4.749864e-06,nan,nan,nan
0.060000000000000026,4.055994e-06,nan,nan,nan
0.05000000000000003,3.370844e-06,nan,nan,nan
0.040000000000000036,2.696555e-06,nan,nan,nan
0.03000000000000004,2.020469e-06,nan,nan,nan
0.020000000000000046,1.3457e-06,nan,nan,nan
0.01000000000000005,6.731858e-07,nan,nan,nan
0.0005,3.403796e-08,nan,nan,nan
-0.0095,-6.395946e-07,nan,nan,nan
