#Procedure: <laser_setup.procedures.IVg.IVg>
#Parameters:
#	Irange: 0.0001 A
#	NPLC: 1
#	Burn-in time: 60 s
#	Chip group name: Alisson
#	Chip number: 79
#	Information: other gate pad
#	Laser voltage: 0 V
#	Laser wavelength: 0
#	Procedure version: 2.1.0
#	Sample: D
#	Step time: 0 s
#	VDS: 0.1 V
#	VG end: 5 V
#	VG start: -5 V
#	VG step: 0.1 V
#Metadata:
#	Start time: 1757019150.0011165
#Data:
Vg (V),I (A),Plate T (degC),Ambient T (degC),Clock (ms)
0.0,6.525949e-06,nan,nan,nan
-0.1,6.620632e-06,nan,nan,nan
-0.2,6.843673e-06,nan,nan,nan
-0.30000000000000004,7.045642e-06,nan,nan,nan
-0.4,7.236477e-06,nan,nan,nan
-0.5,7.422567e-06,nan,nan,nan
-0.6000000000000001,7.666681e-06,nan,nan,nan
-0.7000000000000001,7.797592e-06,nan,nan,nan
-0.8,8.05435e-06,nan,nan,nan
-0.9,8.175476e-06,nan,nan,nan
-1.0,8.32957e-06,nan,nan,nan
-1.1,8.448599e-06,nan,nan,nan
-1.2000000000000002,8.606088e-06,nan,nan,nan
-1.3,8.778237e-06,nan,nan,nan
-1.4000000000000001,8.914148e-06,nan,nan,nan
-1.5,9.035716e-06,nan,nan,nan
-1.6,9.189258e-06,nan,nan,nan
-1.7000000000000002,9.35958e-06,nan,nan,nan
-1.8,9.42695e-06,nan,nan,nan
-1.9000000000000001,9.590201e-06,nan,nan,nan
-2.0,9.711077e-06,nan,nan,nan
-2.1,9.787623e-06,nan,nan,nan
-2.2,9.944681e-06,nan,nan,nan
-2.3000000000000003,1.002721e-05,nan,nan,nan
-2.4000000000000004,1.017595e-05,nan,nan,nan
-2.5,1.016553e-05,nan,nan,nan
-2.6,1.029694e-05,nan,nan,nan
-2.7,1.036345e-05,nan,nan,nan
-2.8000000000000003,1.046496e-05,nan,nan,nan
-2.9000000000000004,1.054896e-05,nan,nan,nan
-3.0,1.065065e-05,nan,nan,nan
