#Procedure: <laser_setup.procedures.IVg.IVg>
#Parameters:
#	Irange: 0.001 A
#	NPLC: 1
#	Burn-in time: 0 s
#	Chip group name: Alisson
#	Chip number: 71
#	Information: test biotite
#	Laser voltage: 0 V
#	Laser wavelength: 455
#	Procedure version: 2.1.0
#	Sample: other
#	Step time: 0 s
#	VDS: 0.1 V
#	VG end: 5 V
#	VG start: -5 V
#	VG step: 0.05 V
#Metadata:
#	Start time: 1757026017.7744179
#Data:
Vg (V),I (A),Plate T (degC),Ambient T (degC),Clock (ms)
0.0,2.654306e-05,nan,nan,nan
-0.05,2.619041e-05,nan,nan,nan
-0.1,2.55894e-05,nan,nan,nan
-0.15000000000000002,2.491393e-05,nan,nan,nan
-0.2,2.42387e-05,nan,nan,nan
-0.25,2.358115e-05,nan,nan,nan
-0.30000000000000004,2.283108e-05,nan,nan,nan
-0.35000000000000003,2.209281e-05,nan,nan,nan
-0.4,2.135542e-05,nan,nan,nan
-0.45,2.055016e-05,nan,nan,nan
-0.5,1.980492e-05,nan,nan,nan
-0.55,1.900236e-05,nan,nan,nan
-0.6000000000000001,1.815323e-05,nan,nan,nan
-0.65,1.735333e-05,nan,nan,nan
-0.7000000000000001,1.650953e-05,nan,nan,nan
-0.75,1.571738e-05,nan,nan,nan
-0.8,1.491201e-05,nan,nan,nan
-0.8500000000000001,1.415485e-05,nan,nan,nan
-0.9,1.349282e-05,nan,nan,nan
-0.9500000000000001,1.281885e-05,nan,nan,nan
-1.0,1.233651e-05,nan,nan,nan
-1.05,1.171094e-05,nan,nan,nan
-1.1,1.14787e-05,nan,nan,nan
-1.1500000000000001,1.117755e-05,nan,nan,nan
-1.2000000000000002,1.09146e-05,nan,nan,nan
-1.25,1.067942e-05,nan,nan,nan
-1.3,1.046302e-05,nan,nan,nan
-1.35,1.027013e-05,nan,nan,nan
-1.4000000000000001,1.006331e-05,nan,nan,nan
-1.4500000000000002,9.900428e-06,nan,nan,nan
-1.5,9.787335e-06,nan,nan,nan
-1.55,9.794476e-06,nan,nan,nan
-1.6,9.949163e-06,nan,nan,nan
-1.6500000000000001,1.025792e-05,nan,nan,nan
-1.7000000000000002,1.076078e-05,nan,nan,nan
-1.75,1.142673e-05,nan,nan,nan
-1.8,1.219483e-05,nan,nan,nan
-1.85,1.307166e-05,nan,nan,nan
-1.9000000000000001,1.385781e-05,nan,nan,nan
-1.9500000000000002,1.467216e-05,nan,nan,nan
-2.0,1.548671e-05,nan,nan,nan
-2.0500000000000003,1.617888e-05,nan,nan,nan
-2.1,1.692891e-05,nan,nan,nan
-2.15,1.76171e-05,nan,nan,nan
-2.2,1.82278e-05,nan,nan,nan
-2.25,1.917555e-05,nan,nan,nan
-2.3000000000000003,1.945314e-05,nan,nan,nan
-2.35,2.001203e-05,nan,nan,nan
-2.4000000000000004,2.065173e-05,nan,nan,nan
-2.45,2.117648e-05,nan,nan,nan
-2.5,2.168815e-05,nan,nan,nan
-2.5500000000000003,2.226607e-05,nan,nan,nan
-2.6,2.270244e-05,nan,nan,nan
-2.6500000000000004,2.308999e-05,nan,nan,nan
-2.7,2.359175e-05,nan,nan,nan
-2.75,2.398697e-05,nan,nan,nan
-2.8000000000000003,2.45642e-05,nan,nan,nan
-2.85,2.494353e-05,nan,nan,nan
-2.9000000000000004,2.525299e-05,nan,nan,nan
-2.95,2.573044e-05,nan,nan,nan
-3.0,2.621394e-05,nan,nan,nan
-3.0500000000000003,2.665883e-05,nan,nan,nan
-3.1,2.694667e-05,nan,nan,nan
-3.1500000000000004,2.730987e-05,nan,nan,nan
-3.2,2.768774e-05,nan,nan,nan
-3.25,2.810265e-05,nan,nan,nan
-3.3000000000000003,2.847879e-05,nan,nan,nan
-3.35,2.884002e-05,nan,nan,nan
-3.4000000000000004,2.914826e-05,nan,nan,nan
-3.45,2.966039e-05,nan,nan,nan
-3.5,2.98599e-05,nan,nan,nan
-3.5500000000000003,3.008315e-05,nan,nan,nan
-3.6,3.037272e-05,nan,nan,nan
-3.6500000000000004,3.07747e-05,nan,nan,nan
-3.7,3.10486e-05,nan,nan,nan
-3.75,3.125894e-05,nan,nan,nan
-3.8000000000000003,3.160738e-05,nan,nan,nan
-3.85,3.182993e-05,nan,nan,nan
-3.9000000000000004,3.2207e-05,nan,nan,nan
-3.95,3.245544e-05,nan,nan,nan
-4.0,3.272617e-05,nan,nan,nan
-4.05,3.292865e-05,nan,nan,nan
-4.1000000000000005,3.318832e-05,nan,nan,nan
-4.15,3.340192e-05,nan,nan,nan
-4.2,3.376168e-05,nan,nan,nan
-4.25,3.390605e-05,nan,nan,nan
-4.3,3.417551e-05,nan,nan,nan
-4.3500000000000005,3.432789e-05,nan,nan,nan
-4.4,3.456896e-05,nan,nan,nan
-4.45,3.480771e-05,nan,nan,nan
-4.5,3.507382e-05,nan,nan,nan
-4.55,3.532451e-05,nan,nan,nan
-4.6000000000000005,3.55609e-05,nan,nan,nan
-4.65,3.590416e-05,nan,nan,nan
-4.7,3.601802e-05,nan,nan,nan
-4.75,3.623215e-05,nan,nan,nan
-4.800000000000001,3.644246e-05,nan,nan,nan
-4.8500000000000005,3.658317e-05,nan,nan,nan
-4.9,3.677669e-05,nan,nan,nan
-4.95,3.699616e-05,nan,nan,nan
-5.0,3.709208e-05,nan,nan,nan
-4.95,3.702255e-05,nan,nan,nan
-4.9,3.653881e-05,nan,nan,nan
-4.8500000000000005,3.609449e-05,nan,nan,nan
-4.800000000000001,3.57019e-05,nan,nan,nan
-4.750000000000001,3.525835e-05,nan,nan,nan
-4.700000000000001,3.484048e-05,nan,nan,nan
-4.650000000000001,3.454543e-05,nan,nan,nan
-4.600000000000001,3.414201e-05,nan,nan,nan
-4.550000000000002,3.3768e-05,nan,nan,nan
-4.500000000000002,3.342601e-05,nan,nan,nan
-4.450000000000002,3.317392e-05,nan,nan,nan
-4.400000000000002,3.274933e-05,nan,nan,nan
-4.350000000000002,3.234015e-05,nan,nan,nan
-4.3000000000000025,3.192329e-05,nan,nan,nan
-4.250000000000003,3.160046e-05,nan,nan,nan
-4.200000000000003,3.121791e-05,nan,nan,nan
-4.150000000000003,3.063435e-05,nan,nan,nan
-4.100000000000003,3.055999e-05,nan,nan,nan
-4.050000000000003,3.019017e-05,nan,nan,nan
-4.0000000000000036,2.984155e-05,nan,nan,nan
-3.9500000000000037,2.947059e-05,nan,nan,nan
-3.900000000000004,2.906956e-05,nan,nan,nan
-3.850000000000004,2.873695e-05,nan,nan,nan
-3.8000000000000043,2.82799e-05,nan,nan,nan
-3.7500000000000044,2.787914e-05,nan,nan,nan
-3.7000000000000046,2.761146e-05,nan,nan,nan
-3.650000000000005,2.712013e-05,nan,nan,nan
-3.600000000000005,2.662511e-05,nan,nan,nan
-3.550000000000005,2.626681e-05,nan,nan,nan
-3.5000000000000053,2.589498e-05,nan,nan,nan
-3.4500000000000055,2.54847e-05,nan,nan,nan
-3.4000000000000057,2.497821e-05,nan,nan,nan
-3.350000000000006,2.45483e-05,nan,nan,nan
-3.300000000000006,2.405381e-05,nan,nan,nan
-3.250000000000006,2.364343e-05,nan,nan,nan
-3.2000000000000064,2.323819e-05,nan,nan,nan
-3.1500000000000066,2.273543e-05,nan,nan,nan
-3.1000000000000068,2.225711e-05,nan,nan,nan
-3.050000000000007,2.177527e-05,nan,nan,nan
-3.000000000000007,2.127051e-05,nan,nan,nan
-2.9500000000000073,2.081744e-05,nan,nan,nan
-2.9000000000000075,2.023201e-05,nan,nan,nan
-2.8500000000000076,1.972945e-05,nan,nan,nan
-2.800000000000008,1.921819e-05,nan,nan,nan
-2.750000000000008,1.860022e-05,nan,nan,nan
-2.700000000000008,1.807219e-05,nan,nan,nan
-2.6500000000000083,1.741751e-05,nan,nan,nan
-2.6000000000000085,1.685174e-05,nan,nan,nan
-2.5500000000000087,1.626991e-05,nan,nan,nan
-2.500000000000009,1.572109e-05,nan,nan,nan
-2.450000000000009,1.513845e-05,nan,nan,nan
-2.4000000000000092,1.457232e-05,nan,nan,nan
-2.3500000000000094,1.410525e-05,nan,nan,nan
-2.3000000000000096,1.369268e-05,nan,nan,nan
-2.2500000000000098,1.331214e-05,nan,nan,nan
-2.20000000000001,1.301664e-05,nan,nan,nan
-2.15000000000001,1.277962e-05,nan,nan,nan
-2.1000000000000103,1.263691e-05,nan,nan,nan
-2.0500000000000105,1.25794e-05,nan,nan,nan
-2.0000000000000107,1.2548e-05,nan,nan,nan
-1.9500000000000108,1.255141e-05,nan,nan,nan
-1.900000000000011,1.252923e-05,nan,nan,nan
-1.8500000000000112,1.256535e-05,nan,nan,nan
-1.8000000000000114,1.262071e-05,nan,nan,nan
-1.7500000000000115,1.276643e-05,nan,nan,nan
-1.7000000000000117,1.277599e-05,nan,nan,nan
-1.650000000000012,1.288978e-05,nan,nan,nan
-1.600000000000012,1.296358e-05,nan,nan,nan
-1.5500000000000123,1.308601e-05,nan,nan,nan
-1.5000000000000124,1.315394e-05,nan,nan,nan
-1.4500000000000126,1.32237e-05,nan,nan,nan
-1.4000000000000128,1.333651e-05,nan,nan,nan
-1.350000000000013,1.342534e-05,nan,nan,nan
-1.3000000000000131,1.353229e-05,nan,nan,nan
-1.2500000000000133,1.363847e-05,nan,nan,nan
-1.2000000000000135,1.371756e-05,nan,nan,nan
-1.1500000000000137,1.375622e-05,nan,nan,nan
-1.1000000000000139,1.37772e-05,nan,nan,nan
-1.050000000000014,1.385093e-05,nan,nan,nan
-1.0000000000000142,1.387721e-05,nan,nan,nan
-0.9500000000000144,1.391402e-05,nan,nan,nan
-0.9000000000000146,1.394688e-05,nan,nan,nan
-0.8500000000000147,1.401722e-05,nan,nan,nan
-0.8000000000000149,1.408744e-05,nan,nan,nan
-0.7500000000000151,1.423556e-05,nan,nan,nan
-0.7000000000000153,1.439228e-05,nan,nan,nan
-0.6500000000000155,1.461007e-05,nan,nan,nan
-0.6000000000000156,1.491882e-05,nan,nan,nan
-0.5500000000000158,1.521817e-05,nan,nan,nan
-0.500000000000016,1.5619e-05,nan,nan,nan
-0.45000000000001616,1.606942e-05,nan,nan,nan
-0.40000000000001634,1.662073e-05,nan,nan,nan
-0.3500000000000165,1.722493e-05,nan,nan,nan
-0.3000000000000167,1.792061e-05,nan,nan,nan
-0.2500000000000169,1.860033e-05,nan,nan,nan
-0.20000000000001705,1.93584e-05,nan,nan,nan
-0.15000000000001723,2.004695e-05,nan,nan,nan
-0.10000000000001741,2.085487e-05,nan,nan,nan
-0.050000000000017586,2.170609e-05,nan,nan,nan
-1.7763568394002505e-14,2.233865e-05,nan,nan,nan
