#Procedure: <laser_setup.procedures.It.It>
#Parameters:
#	Irange: 0.001 A
#	NPLC: 1
#	T step start time: 120 s
#	Chip group name: Alisson
#	Chip number: 71
#	Information: test biotite
#	Initial (current) T: 0 C
#	Laser ON+OFF period: 120 s
#	Laser voltage: 4 V
#	Laser wavelength: 455
#	Procedure version: 2.2.0
#	Sample: other
#	Sampling time (excluding Keithley): 0 s
#	Target T: 25 C
#	VDS: 0.1 V
#	VG: -2 V
#Metadata:
#	Start time: 1757026593.8072443
#Data:
t (s),I (A),VL (V),Plate T (degC),Ambient T (degC),Clock (ms)
0.0,1.307397e-05,0.0,nan,nan,nan
0.08482162,1.332429e-05,0.0,nan,nan,nan
0.1683788,1.338408e-05,0.0,nan,nan,nan
0.2518016,1.336531e-05,0.0,nan,nan,nan
0.3353656,1.345462e-05,0.0,nan,nan,nan
0.4188358,1.352299e-05,0.0,nan,nan,nan
0.5022153,1.35881e-05,0.0,nan,nan,nan
0.5858374,1.369497e-05,0.0,nan,nan,nan
0.6692268,1.37523e-05,0.0,nan,nan,nan
0.7527436,1.383908e-05,0.0,nan,nan,nan
0.8361489,1.394715e-05,0.0,nan,nan,nan
0.9196077,1.400823e-05,0.0,nan,nan,nan
1.003255,1.413596e-05,0.0,nan,nan,nan
1.086856,1.417116e-05,0.0,nan,nan,nan
1.170503,1.425562e-05,0.0,nan,nan,nan
1.253881,1.438168e-05,0.0,nan,nan,nan
1.337461,1.450018e-05,0.0,nan,nan,nan
1.420957,1.453165e-05,0.0,nan,nan,nan
1.504423,1.462111e-05,0.0,nan,nan,nan
1.587881,1.46944e-05,0.0,nan,nan,nan
1.671489,1.479787e-05,0.0,nan,nan,nan
1.755103,1.487588e-05,0.0,nan,nan,nan
1.838561,1.49471e-05,0.0,nan,nan,nan
1.92211,1.50092e-05,0.0,nan,nan,nan
2.00569,1.509625e-05,0.0,nan,nan,nan
2.089457,1.516125e-05,0.0,nan,nan,nan
2.173443,1.523805e-05,0.0,nan,nan,nan
2.257008,1.526974e-05,0.0,nan,nan,nan
2.340548,1.53092e-05,0.0,nan,nan,nan
2.440655,1.540013e-05,0.0,nan,nan,nan
2.524578,1.546552e-05,0.0,nan,nan,nan
2.607996,1.551545e-05,0.0,nan,nan,nan
2.691687,1.563132e-05,0.0,nan,nan,nan
2.775374,1.568542e-05,0.0,nan,nan,nan
2.859024,1.571716e-05,0.0,nan,nan,nan
2.942471,1.573294e-05,0.0,nan,nan,nan
3.025978,1.580271e-05,0.0,nan,nan,nan
3.109636,1.590405e-05,0.0,nan,nan,nan
3.193117,1.592273e-05,0.0,nan,nan,nan
3.276715,1.595545e-05,0.0,nan,nan,nan
3.360146,1.595949e-05,0.0,nan,nan,nan
3.443948,1.596923e-05,0.0,nan,nan,nan
3.527695,1.602798e-05,0.0,nan,nan,nan
3.611139,1.612229e-05,0.0,nan,nan,nan
3.694787,1.613906e-05,0.0,nan,nan,nan
3.778311,1.619028e-05,0.0,nan,nan,nan
3.861981,1.619732e-05,0.0,nan,nan,nan
3.945473,1.62158e-05,0.0,nan,nan,nan
4.029202,1.6243e-05,0.0,nan,nan,nan
4.113171,1.627238e-05,0.0,nan,nan,nan
4.196828,1.628939e-05,0.0,nan,nan,nan
4.280266,1.631623e-05,0.0,nan,nan,nan
4.363695,1.633045e-05,0.0,nan,nan,nan
4.477484,1.635414e-05,0.0,nan,nan,nan
4.56101,1.637719e-05,0.0,nan,nan,nan
4.644407,1.641404e-05,0.0,nan,nan,nan
4.727755,1.646982e-05,0.0,nan,nan,nan
4.811251,1.648526e-05,0.0,nan,nan,nan
4.894701,1.648405e-05,0.0,nan,nan,nan
4.978128,1.644412e-05,0.0,nan,nan,nan
5.061824,1.645923e-05,0.0,nan,nan,nan
5.145404,1.653177e-05,0.0,nan,nan,nan
5.229035,1.655987e-05,0.0,nan,nan,nan
5.312738,1.658706e-05,0.0,nan,nan,nan
5.39646,1.658747e-05,0.0,nan,nan,nan
5.480045,1.659997e-05,0.0,nan,nan,nan
5.563679,1.655925e-05,0.0,nan,nan,nan
5.647109,1.65918e-05,0.0,nan,nan,nan
5.730545,1.664999e-05,0.0,nan,nan,nan
5.814225,1.662303e-05,0.0,nan,nan,nan
5.897758,1.661029e-05,0.0,nan,nan,nan
5.981291,1.665747e-05,0.0,nan,nan,nan
6.068269,1.671295e-05,0.0,nan,nan,nan
6.151881,1.671382e-05,0.0,nan,nan,nan
6.23536,1.678941e-05,0.0,nan,nan,nan
6.318997,1.67999e-05,0.0,nan,nan,nan
6.402532,1.683309e-05,0.0,nan,nan,nan
6.485998,1.682168e-05,0.0,nan,nan,nan
6.569353,1.683729e-05,0.0,nan,nan,nan
6.652977,1.682219e-05,0.0,nan,nan,nan
6.736603,1.684092e-05,0.0,nan,nan,nan
6.822185,1.684674e-05,0.0,nan,nan,nan
6.905786,1.689208e-05,0.0,nan,nan,nan
6.989241,1.691022e-05,0.0,nan,nan,nan
7.072722,1.688597e-05,0.0,nan,nan,nan
7.156237,1.687917e-05,0.0,nan,nan,nan
7.239907,1.692861e-05,0.0,nan,nan,nan
