#Procedure: <laser_setup.procedures.It.It>
#Parameters:
#	Irange: 0.001 A
#	NPLC: 1
#	T step start time: 120 s
#	Chip group name: Alisson
#	Chip number: 71
#	Information: 455 -  biotite
#	Initial (current) T: 0 C
#	Laser ON+OFF period: 120 s
#	Laser voltage: 1 V
#	Laser wavelength: 455
#	Procedure version: 2.2.0
#	Sample: other
#	Sampling time (excluding Keithley): 0 s
#	Target T: 25 C
#	VDS: 0.1 V
#	VG: -5 V
#Metadata:
#	Start time: 1757092164.0184526
#Data:
t (s),I (A),VL (V),Plate T (degC),Ambient T (degC),Clock (ms)
0.0,4.310943e-05,0.0,nan,nan,nan
0.08382346,4.285952e-05,0.0,nan,nan,nan
0.1675388,4.268662e-05,0.0,nan,nan,nan
0.2519609,4.254724e-05,0.0,nan,nan,nan
0.3354029,4.250836e-05,0.0,nan,nan,nan
0.4192077,4.239473e-05,0.0,nan,nan,nan
0.5027531,4.226234e-05,0.0,nan,nan,nan
0.5862779,4.218299e-05,0.0,nan,nan,nan
0.6698366,4.211694e-05,0.0,nan,nan,nan
0.7533667,4.205512e-05,0.0,nan,nan,nan
0.8368282,4.199128e-05,0.0,nan,nan,nan
0.9204132,4.189654e-05,0.0,nan,nan,nan
1.003908,4.187347e-05,0.0,nan,nan,nan
1.087324,4.181854e-05,0.0,nan,nan,nan
1.170768,4.180607e-05,0.0,nan,nan,nan
1.25421,4.170597e-05,0.0,nan,nan,nan
1.337632,4.170226e-05,0.0,nan,nan,nan
1.421164,4.161734e-05,0.0,nan,nan,nan
1.504736,4.1526e-05,0.0,nan,nan,nan
1.588154,4.159739e-05,0.0,nan,nan,nan
1.671571,4.151117e-05,0.0,nan,nan,nan
1.755124,4.147909e-05,0.0,nan,nan,nan
1.838506,4.144686e-05,0.0,nan,nan,nan
1.922161,4.147327e-05,0.0,nan,nan,nan
2.005841,4.15117e-05,0.0,nan,nan,nan
2.089447,4.146034e-05,0.0,nan,nan,nan
2.17315,4.14968e-05,0.0,nan,nan,nan
2.256547,4.158176e-05,0.0,nan,nan,nan
2.340026,4.155588e-05,0.0,nan,nan,nan
2.423408,4.151509e-05,0.0,nan,nan,nan
2.506926,4.149782e-05,0.0,nan,nan,nan
2.590473,4.15148e-05,0.0,nan,nan,nan
2.674061,4.154602e-05,0.0,nan,nan,nan
2.757468,4.14874e-05,0.0,nan,nan,nan
2.840978,4.143425e-05,0.0,nan,nan,nan
2.924522,4.14637e-05,0.0,nan,nan,nan
3.00801,4.142511e-05,0.0,nan,nan,nan
3.091517,4.140321e-05,0.0,nan,nan,nan
3.174899,4.13637e-05,0.0,nan,nan,nan
3.258389,4.133351e-05,0.0,nan,nan,nan
3.341819,4.129973e-05,0.0,nan,nan,nan
3.425473,4.131965e-05,0.0,nan,nan,nan
3.509095,4.129815e-05,0.0,nan,nan,nan
3.592557,4.128013e-05,0.0,nan,nan,nan
3.67613,4.128131e-05,0.0,nan,nan,nan
3.759879,4.133548e-05,0.0,nan,nan,nan
3.843413,4.13182e-05,0.0,nan,nan,nan
3.927104,4.135267e-05,0.0,nan,nan,nan
4.011808,4.128664e-05,0.0,nan,nan,nan
4.095396,4.125332e-05,0.0,nan,nan,nan
4.179,4.133428e-05,0.0,nan,nan,nan
4.262403,4.131598e-05,0.0,nan,nan,nan
4.346007,4.138056e-05,0.0,nan,nan,nan
4.429294,4.131326e-05,0.0,nan,nan,nan
4.512683,4.131546e-05,0.0,nan,nan,nan
4.596066,4.128702e-05,0.0,nan,nan,nan
4.679696,4.132365e-05,0.0,nan,nan,nan
4.763076,4.134253e-05,0.0,nan,nan,nan
