Irange,NPLC,Burn-in time,Chip group name,Chip number,Information,Laser voltage,Laser wavelength,Procedure version,Sample,Step time,VDS,VG end,VG start,VG step,Laser toggle,source_file,VG,VSD end,VSD start,VSD step
0.001,1.0,0.0,Alisson,68.0,hbn - top - bio - bot,0.0,455.0,2.1.0,other,0.0,0.1,5.0,-5.0,0.05,false,Alisson_08_sept/IVg2025-09-08_3.csv,,,,
0.001,1.0,0.0,Alisson,72.0,hbn bit - top,0.0,455.0,2.1.0,other,0.0,0.1,5.0,-5.0,0.05,false,Alisson_08_sept/IVg2025-09-08_2.csv,,,,
0.001,1.0,0.0,Alisson,67.0,hbn bit - top,0.0,455.0,2.1.0,other,0.0,0.1,5.0,-5.0,0.05,false,Alisson_08_sept/IVg2025-09-08_1.csv,,,,
0.001,1.0,0.0,Alisson,69.0,hbn - top - bio - bot,0.0,455.0,2.1.0,other,0.0,0.1,5.0,-5.0,0.05,false,Alisson_08_sept/IVg2025-09-08_5.csv,,,,
0.001,1.0,0.0,Alisson,68.0,hbn - top - bio - bot,0.0,455.0,2.1.0,other,0.0,0.1,5.0,-5.0,0.05,false,Alisson_08_sept/IVg2025-09-08_4.csv,,,,
0.001,1.0,0.0,Alisson,69.0,hbn - top - bio - bot,0.0,455.0,2.1.0,other,0.0,0.1,5.0,-5.0,0.05,false,Alisson_08_sept/IVg2025-09-08_6.csv,,,,
0.001,1.0,0.0,Alisson,73.0,hbn - top - bio - bot,0.0,455.0,2.1.0,other,0.0,0.1,5.0,-5.0,0.05,false,Alisson_08_sept/IVg2025-09-08_7.csv,,,,
0.001,1.0,0.0,Alisson,101.0,hbn - top - bio - bot,0.0,455.0,2.1.0,other,0.0,0.1,5.0,-5.0,0.05,false,Alisson_08_sept/IVg2025-09-08_18.csv,,,,
0.001,1.0,0.0,Alisson,75.0,hbn - top - bio - bot,0.0,455.0,2.1.0,other,0.0,0.1,5.0,-5.0,0.05,false,Alisson_08_sept/IVg2025-09-08_10.csv,,,,
0.001,1.0,0.0,Alisson,76.0,hbn - top - bio - bot - DS2,0.0,455.0,2.1.0,other,0.0,0.1,5.0,-5.0,0.05,false,Alisson_08_sept/IVg2025-09-08_11.csv,,,,
0.001,1.0,0.0,Alisson,80.0,hbn - top - bio - bot,0.0,455.0,2.1.0,other,0.0,0.1,5.0,-5.0,0.05,false,Alisson_08_sept/IVg2025-09-08_13.csv,,,,
0.001,1.0,0.0,Alisson,76.0,hbn - top - bio - bot - S1D,0.0,455.0,2.1.0,other,0.0,0.1,5.0,-5.0,0.05,false,Alisson_08_sept/IVg2025-09-08_12.csv,,,,
0.001,1.0,0.0,Alisson,100.0,hbn - top - bio - bot,0.0,455.0,2.1.0,other,0.0,0.1,5.0,-5.0,0.05,false,Alisson_08_sept/IVg2025-09-08_16.csv,,,,
0.0001,1.0,600.0,Alisson,69.0,test no light,0.0,0.0,2.0.1,other,0.0,,,,,false,Alisson_08_sept/IV2025-09-08_1.csv,0.0,0.1,-0.1,0.01
0.001,1.0,0.0,Alisson,101.0,hbn - top - bio - bot,0.0,455.0,2.1.0,other,0.0,0.1,5.0,-5.0,0.05,false,Alisson_08_sept/IVg2025-09-08_17.csv,,,,
0.001,1.0,0.0,Alisson,100.0,hbn - top - bio - bot,0.0,455.0,2.1.0,other,0.0,0.1,5.0,-5.0,0.05,false,Alisson_08_sept/IVg2025-09-08_15.csv,,,,
0.001,1.0,0.0,Alisson,81.0,hbn - top - bio - bot,0.0,455.0,2.1.0,other,0.0,0.1,5.0,-5.0,0.05,false,Alisson_08_sept/IVg2025-09-08_14.csv,,,,
0.001,1.0,0.0,Alisson,74.0,hbn - top - bio - bot,0.0,455.0,2.1.0,other,0.0,0.1,5.0,-5.0,0.05,false,Alisson_08_sept/IVg2025-09-08_9.csv,,,,
0.001,1.0,0.0,Alisson,74.0,hbn - top - bio - bot,0.0,455.0,2.1.0,other,0.0,0.1,5.0,-5.0,0.05,false,Alisson_08_sept/IVg2025-09-08_8.csv,,,,
