#Procedure: <laser_setup.procedures.IVg.IVg>
#Parameters:
#	Irange: 0.001 A
#	NPLC: 1
#	Burn-in time: 0 s
#	Chip group name: Alisson
#	Chip number: 75
#	Information: hbn - top - bio - bot
#	Laser voltage: 0 V
#	Laser wavelength: 455
#	Procedure version: 2.1.0
#	Sample: other
#	Step time: 0 s
#	VDS: 0.1 V
#	VG end: 5 V
#	VG start: -5 V
#	VG step: 0.05 V
#Metadata:
#	Start time: 1757347247.5148237
#Data:
Vg (V),I (A),Plate T (degC),Ambient T (degC),Clock (ms)
0.0,9.199327e-05,nan,nan,nan
-0.05,9.270268e-05,nan,nan,nan
-0.1,9.434579e-05,nan,nan,nan
-0.15000000000000002,9.59352e-05,nan,nan,nan
-0.2,9.751083e-05,nan,nan,nan
-0.25,9.907607e-05,nan,nan,nan
-0.30000000000000004,0.0001005217,nan,nan,nan
-0.35000000000000003,0.0001019566,nan,nan,nan
-0.4,0.0001032326,nan,nan,nan
-0.45,0.0001045196,nan,nan,nan
-0.5,0.0001057992,nan,nan,nan
-0.55,0.0001070227,nan,nan,nan
-0.6000000000000001,0.0001081955,nan,nan,nan
-0.65,0.000109375,nan,nan,nan
-0.7000000000000001,0.0001104725,nan,nan,nan
-0.75,0.0001115447,nan,nan,nan
-0.8,0.0001126548,nan,nan,nan
-0.8500000000000001,0.0001136337,nan,nan,nan
-0.9,0.0001146057,nan,nan,nan
-0.9500000000000001,0.0001155667,nan,nan,nan
-1.0,0.000116509,nan,nan,nan
-1.05,0.0001173811,nan,nan,nan
-1.1,0.0001182644,nan,nan,nan
-1.1500000000000001,0.0001190533,nan,nan,nan
-1.2000000000000002,0.0001199221,nan,nan,nan
-1.25,0.000120707,nan,nan,nan
-1.3,0.0001214867,nan,nan,nan
-1.35,0.000122161,nan,nan,nan
-1.4000000000000001,0.0001229013,nan,nan,nan
-1.4500000000000002,0.0001235936,nan,nan,nan
-1.5,0.0001243119,nan,nan,nan
-1.55,0.0001250041,nan,nan,nan
-1.6,0.0001258421,nan,nan,nan
-1.6500000000000001,0.0001260621,nan,nan,nan
-1.7000000000000002,0.000126647,nan,nan,nan
-1.75,0.0001272217,nan,nan,nan
-1.8,0.0001277771,nan,nan,nan
-1.85,0.0001283774,nan,nan,nan
-1.9000000000000001,0.0001288628,nan,nan,nan
-1.9500000000000002,0.0001293776,nan,nan,nan
-2.0,0.0001298329,nan,nan,nan
-2.0500000000000003,0.0001303455,nan,nan,nan
-2.1,0.0001307491,nan,nan,nan
-2.15,0.0001311943,nan,nan,nan
-2.2,0.0001315935,nan,nan,nan
-2.25,0.0001320208,nan,nan,nan
-2.3000000000000003,0.0001324239,nan,nan,nan
-2.35,0.0001327911,nan,nan,nan
-2.4000000000000004,0.0001331663,nan,nan,nan
-2.45,0.0001334868,nan,nan,nan
-2.5,0.0001337971,nan,nan,nan
-2.5500000000000003,0.0001341465,nan,nan,nan
-2.6,0.0001344336,nan,nan,nan
-2.6500000000000004,0.0001347231,nan,nan,nan
-2.7,0.0001350034,nan,nan,nan
-2.75,0.0001352764,nan,nan,nan
-2.8000000000000003,0.0001357308,nan,nan,nan
-2.85,0.0001356754,nan,nan,nan
-2.9000000000000004,0.000135951,nan,nan,nan
-2.95,0.0001361694,nan,nan,nan
-3.0,0.00013642,nan,nan,nan
-3.0500000000000003,0.0001366756,nan,nan,nan
-3.1,0.0001368935,nan,nan,nan
-3.1500000000000004,0.0001370948,nan,nan,nan
-3.2,0.0001372955,nan,nan,nan
-3.25,0.0001374938,nan,nan,nan
-3.3000000000000003,0.0001377158,nan,nan,nan
-3.35,0.0001379135,nan,nan,nan
-3.4000000000000004,0.0001380905,nan,nan,nan
-3.45,0.0001383103,nan,nan,nan
-3.5,0.0001384717,nan,nan,nan
-3.5500000000000003,0.0001386364,nan,nan,nan
-3.6,0.0001388451,nan,nan,nan
-3.6500000000000004,0.0001390072,nan,nan,nan
-3.7,0.000139228,nan,nan,nan
-3.75,0.0001394315,nan,nan,nan
-3.8000000000000003,0.0001395854,nan,nan,nan
-3.85,0.0001397352,nan,nan,nan
-3.9000000000000004,0.0001399051,nan,nan,nan
-3.95,0.0001400816,nan,nan,nan
-4.0,0.0001403539,nan,nan,nan
-4.05,0.0001402764,nan,nan,nan
-4.1000000000000005,0.0001404647,nan,nan,nan
-4.15,0.0001406268,nan,nan,nan
-4.2,0.0001408041,nan,nan,nan
-4.25,0.0001409809,nan,nan,nan
-4.3,0.000141168,nan,nan,nan
-4.3500000000000005,0.0001413312,nan,nan,nan
-4.4,0.0001414758,nan,nan,nan
-4.45,0.0001416591,nan,nan,nan
-4.5,0.0001418649,nan,nan,nan
-4.55,0.0001420592,nan,nan,nan
-4.6000000000000005,0.0001422065,nan,nan,nan
-4.65,0.0001423492,nan,nan,nan
-4.7,0.0001425342,nan,nan,nan
-4.75,0.0001426696,nan,nan,nan
-4.800000000000001,0.000142849,nan,nan,nan
-4.8500000000000005,0.000143044,nan,nan,nan
-4.9,0.0001431959,nan,nan,nan
-4.95,0.0001433574,nan,nan,nan
-5.0,0.0001435264,nan,nan,nan
-4.95,0.0001433078,nan,nan,nan
-4.9,0.0001427225,nan,nan,nan
-4.8500000000000005,0.0001422364,nan,nan,nan
-4.800000000000001,0.0001418169,nan,nan,nan
-4.750000000000001,0.0001414108,nan,nan,nan
-4.700000000000001,0.0001410425,nan,nan,nan
-4.650000000000001,0.0001406923,nan,nan,nan
-4.600000000000001,0.0001403986,nan,nan,nan
-4.550000000000002,0.0001400586,nan,nan,nan
-4.500000000000002,0.0001397527,nan,nan,nan
-4.450000000000002,0.0001394296,nan,nan,nan
-4.400000000000002,0.0001391029,nan,nan,nan
-4.350000000000002,0.0001387796,nan,nan,nan
-4.3000000000000025,0.0001384509,nan,nan,nan
-4.250000000000003,0.0001381405,nan,nan,nan
