#Procedure: <laser_setup.procedures.IVg.IVg>
#Parameters:
#	Irange: 0.001 A
#	NPLC: 1
#	Burn-in time: 0 s
#	Chip group name: Alisson
#	Chip number: 80
#	Information: hbn - top - bio - bot 
#	Laser voltage: 0 V
#	Laser wavelength: 455
#	Procedure version: 2.1.0
#	Sample: other
#	Step time: 0 s
#	VDS: 0.1 V
#	VG end: 5 V
#	VG start: -5 V
#	VG step: 0.05 V
#Metadata:
#	Start time: 1757348087.8589244
#Data:
Vg (V),I (A),Plate T (degC),Ambient T (degC),Clock (ms)
0.0,3.136218e-05,nan,nan,nan
-0.05,3.242293e-05,nan,nan,nan
-0.1,3.445312e-05,nan,nan,nan
-0.15000000000000002,3.688179e-05,nan,nan,nan
-0.2,3.947725e-05,nan,nan,nan
-0.25,4.210708e-05,nan,nan,nan
-0.30000000000000004,4.461468e-05,nan,nan,nan
-0.35000000000000003,4.719872e-05,nan,nan,nan
-0.4,4.96038e-05,nan,nan,nan
-0.45,5.188382e-05,nan,nan,nan
-0.5,5.409671e-05,nan,nan,nan
-0.55,5.618256e-05,nan,nan,nan
-0.6000000000000001,5.938634e-05,nan,nan,nan
-0.65,6.02132e-05,nan,nan,nan
-0.7000000000000001,6.193258e-05,nan,nan,nan
-0.75,6.379511e-05,nan,nan,nan
-0.8,6.551784e-05,nan,nan,nan
-0.8500000000000001,6.710181e-05,nan,nan,nan
-0.9,6.857716e-05,nan,nan,nan
-0.9500000000000001,7.003756e-05,nan,nan,nan
-1.0,7.13352e-05,nan,nan,nan
-1.05,7.267202e-05,nan,nan,nan
-1.1,7.391821e-05,nan,nan,nan
-1.1500000000000001,7.512312e-05,nan,nan,nan
-1.2000000000000002,7.632881e-05,nan,nan,nan
-1.25,7.751527e-05,nan,nan,nan
-1.3,7.854111e-05,nan,nan,nan
-1.35,7.961723e-05,nan,nan,nan
-1.4000000000000001,8.05864e-05,nan,nan,nan
-1.4500000000000002,8.155825e-05,nan,nan,nan
-1.5,8.259602e-05,nan,nan,nan
-1.55,8.357682e-05,nan,nan,nan
-1.6,8.445132e-05,nan,nan,nan
-1.6500000000000001,8.535649e-05,nan,nan,nan
-1.7000000000000002,8.623707e-05,nan,nan,nan
-1.75,8.710256e-05,nan,nan,nan
-1.8,8.83826e-05,nan,nan,nan
-1.85,8.869554e-05,nan,nan,nan
-1.9000000000000001,8.949286e-05,nan,nan,nan
-1.9500000000000002,9.028176e-05,nan,nan,nan
-2.0,9.099928e-05,nan,nan,nan
-2.0500000000000003,9.176139e-05,nan,nan,nan
-2.1,9.248964e-05,nan,nan,nan
-2.15,9.329437e-05,nan,nan,nan
-2.2,9.395186e-05,nan,nan,nan
-2.25,9.465892e-05,nan,nan,nan
-2.3000000000000003,9.543787e-05,nan,nan,nan
-2.35,9.608798e-05,nan,nan,nan
-2.4000000000000004,9.679081e-05,nan,nan,nan
-2.45,9.747539e-05,nan,nan,nan
-2.5,9.812764e-05,nan,nan,nan
-2.5500000000000003,9.878774e-05,nan,nan,nan
-2.6,9.945252e-05,nan,nan,nan
-2.6500000000000004,0.0001000288,nan,nan,nan
-2.7,0.0001006571,nan,nan,nan
-2.75,0.0001012909,nan,nan,nan
-2.8000000000000003,0.0001019094,nan,nan,nan
-2.85,0.000102514,nan,nan,nan
-2.9000000000000004,0.0001030785,nan,nan,nan
-2.95,0.000103575,nan,nan,nan
-3.0,0.0001047076,nan,nan,nan
-3.0500000000000003,0.0001049086,nan,nan,nan
-3.1,0.0001054381,nan,nan,nan
-3.1500000000000004,0.0001059978,nan,nan,nan
-3.2,0.000106609,nan,nan,nan
-3.25,0.0001071602,nan,nan,nan
-3.3000000000000003,0.0001077444,nan,nan,nan
-3.35,0.0001083142,nan,nan,nan
-3.4000000000000004,0.0001088537,nan,nan,nan
-3.45,0.0001093994,nan,nan,nan
-3.5,0.0001099143,nan,nan,nan
-3.5500000000000003,0.0001104923,nan,nan,nan
-3.6,0.0001109848,nan,nan,nan
-3.6500000000000004,0.000111591,nan,nan,nan
-3.7,0.0001120833,nan,nan,nan
-3.75,0.0001126946,nan,nan,nan
-3.8000000000000003,0.0001132587,nan,nan,nan
-3.85,0.0001138179,nan,nan,nan
-3.9000000000000004,0.0001144087,nan,nan,nan
-3.95,0.0001149037,nan,nan,nan
-4.0,0.0001154318,nan,nan,nan
-4.05,0.0001159211,nan,nan,nan
-4.1000000000000005,0.0001164887,nan,nan,nan
-4.15,0.0001169846,nan,nan,nan
-4.2,0.0001177989,nan,nan,nan
-4.25,0.0001180452,nan,nan,nan
-4.3,0.0001184688,nan,nan,nan
-4.3500000000000005,0.0001190432,nan,nan,nan
-4.4,0.000119568,nan,nan,nan
-4.45,0.0001200721,nan,nan,nan
-4.5,0.0001205866,nan,nan,nan
-4.55,0.0001211398,nan,nan,nan
-4.6000000000000005,0.0001216535,nan,nan,nan
-4.65,0.0001221048,nan,nan,nan
-4.7,0.000122614,nan,nan,nan
-4.75,0.0001230906,nan,nan,nan
-4.800000000000001,0.0001235741,nan,nan,nan
-4.8500000000000005,0.000124125,nan,nan,nan
-4.9,0.0001246193,nan,nan,nan
-4.95,0.0001251198,nan,nan,nan
-5.0,0.0001255644,nan,nan,nan
-4.95,0.0001256917,nan,nan,nan
-4.9,0.0001252121,nan,nan,nan
-4.8500000000000005,0.000124695,nan,nan,nan
-4.800000000000001,0.0001242289,nan,nan,nan
-4.750000000000001,0.0001237346,nan,nan,nan
-4.700000000000001,0.0001232671,nan,nan,nan
-4.650000000000001,0.0001227242,nan,nan,nan
-4.600000000000001,0.0001221928,nan,nan,nan
-4.550000000000002,0.0001216577,nan,nan,nan
-4.500000000000002,0.0001212027,nan,nan,nan
-4.450000000000002,0.0001206867,nan,nan,nan
-4.400000000000002,0.0001201708,nan,nan,nan
-4.350000000000002,0.0001196531,nan,nan,nan
-4.3000000000000025,0.0001191456,nan,nan,nan
-4.250000000000003,0.0001186208,nan,nan,nan
-4.200000000000003,0.0001181182,nan,nan,nan
-4.150000000000003,0.000117634,nan,nan,nan
-4.100000000000003,0.0001171708,nan,nan,nan
-4.050000000000003,0.0001166247,nan,nan,nan
-4.0000000000000036,0.0001161327,nan,nan,nan
-3.9500000000000037,0.0001156319,nan,nan,nan
-3.900000000000004,0.0001150885,nan,nan,nan
-3.850000000000004,0.0001145703,nan,nan,nan
-3.8000000000000043,0.0001141139,nan,nan,nan
-3.7500000000000044,0.0001135339,nan,nan,nan
-3.7000000000000046,0.0001130208,nan,nan,nan
-3.650000000000005,0.0001123814,nan,nan,nan
-3.600000000000005,0.0001118181,nan,nan,nan
-3.550000000000005,0.0001112879,nan,nan,nan
-3.5000000000000053,0.0001107728,nan,nan,nan
-3.4500000000000055,0.0001102472,nan,nan,nan
-3.4000000000000057,0.000109313,nan,nan,nan
-3.350000000000006,0.0001090164,nan,nan,nan
-3.300000000000006,0.0001084646,nan,nan,nan
-3.250000000000006,0.0001079388,nan,nan,nan
-3.2000000000000064,0.0001073234,nan,nan,nan
-3.1500000000000066,0.000106832,nan,nan,nan
-3.1000000000000068,0.0001062664,nan,nan,nan
-3.050000000000007,0.0001056225,nan,nan,nan
-3.000000000000007,0.0001051106,nan,nan,nan
-2.9500000000000073,0.0001045011,nan,nan,nan
-2.9000000000000075,0.000103888,nan,nan,nan
-2.8500000000000076,0.0001033099,nan,nan,nan
-2.800000000000008,0.0001027243,nan,nan,nan
-2.750000000000008,0.000102099,nan,nan,nan
-2.700000000000008,0.0001014866,nan,nan,nan
-2.6500000000000083,0.0001008835,nan,nan,nan
-2.6000000000000085,0.0001002519,nan,nan,nan
-2.5500000000000087,9.966235e-05,nan,nan,nan
-2.500000000000009,9.896905e-05,nan,nan,nan
-2.450000000000009,9.830862e-05,nan,nan,nan
-2.4000000000000092,9.764172e-05,nan,nan,nan
-2.3500000000000094,9.703108e-05,nan,nan,nan
-2.3000000000000096,9.637586e-05,nan,nan,nan
-2.2500000000000098,9.56732e-05,nan,nan,nan
-2.20000000000001,9.448602e-05,nan,nan,nan
-2.15000000000001,9.41795e-05,nan,nan,nan
-2.1000000000000103,9.353573e-05,nan,nan,nan
-2.0500000000000105,9.282235e-05,nan,nan,nan
-2.0000000000000107,9.201525e-05,nan,nan,nan
-1.9500000000000108,9.131759e-05,nan,nan,nan
-1.900000000000011,9.053975e-05,nan,nan,nan
-1.8500000000000112,8.97472e-05,nan,nan,nan
-1.8000000000000114,8.898645e-05,nan,nan,nan
-1.7500000000000115,8.818896e-05,nan,nan,nan
-1.7000000000000117,8.73707e-05,nan,nan,nan
-1.650000000000012,8.654608e-05,nan,nan,nan
