#Procedure: <laser_setup.procedures.IVg.IVg>
#Parameters:
#	Irange: 0.001 A
#	NPLC: 1
#	Burn-in time: 0 s
#	Chip group name: Alisson
#	Chip number: 72
#	Information: hbn bit - top
#	Laser voltage: 0 V
#	Laser wavelength: 455
#	Procedure version: 2.1.0
#	Sample: other
#	Step time: 0 s
#	VDS: 0.1 V
#	VG end: 5 V
#	VG start: -5 V
#	VG step: 0.05 V
#Metadata:
#	Start time: 1757345415.6467748
#Data:
Vg (V),I (A),Plate T (degC),Ambient T (degC),Clock (ms)
0.0,1.661255e-05,nan,nan,nan
-0.05,1.622812e-05,nan,nan,nan
-0.1,1.547835e-05,nan,nan,nan
-0.15000000000000002,1.520131e-05,nan,nan,nan
-0.2,1.549637e-05,nan,nan,nan
-0.25,1.640096e-05,nan,nan,nan
-0.30000000000000004,1.772767e-05,nan,nan,nan
-0.35000000000000003,1.928899e-05,nan,nan,nan
-0.4,2.093738e-05,nan,nan,nan
-0.45,2.250321e-05,nan,nan,nan
-0.5,2.39633e-05,nan,nan,nan
-0.55,2.538628e-05,nan,nan,nan
-0.6000000000000001,2.659808e-05,nan,nan,nan
-0.65,2.774199e-05,nan,nan,nan
-0.7000000000000001,2.872475e-05,nan,nan,nan
-0.75,2.965574e-05,nan,nan,nan
-0.8,3.048312e-05,nan,nan,nan
-0.8500000000000001,3.120168e-05,nan,nan,nan
-0.9,3.182604e-05,nan,nan,nan
-0.9500000000000001,3.242202e-05,nan,nan,nan
-1.0,3.292844e-05,nan,nan,nan
-1.05,3.33892e-05,nan,nan,nan
-1.1,3.38195e-05,nan,nan,nan
-1.1500000000000001,3.438723e-05,nan,nan,nan
-1.2000000000000002,3.45377e-05,nan,nan,nan
-1.25,3.485668e-05,nan,nan,nan
-1.3,3.511272e-05,nan,nan,nan
-1.35,3.537958e-05,nan,nan,nan
-1.4000000000000001,3.561051e-05,nan,nan,nan
-1.4500000000000002,3.585264e-05,nan,nan,nan
-1.5,3.602916e-05,nan,nan,nan
-1.55,3.624043e-05,nan,nan,nan
-1.6,3.63759e-05,nan,nan,nan
-1.6500000000000001,3.653533e-05,nan,nan,nan
-1.7000000000000002,3.667427e-05,nan,nan,nan
-1.75,3.679635e-05,nan,nan,nan
-1.8,3.689147e-05,nan,nan,nan
-1.85,3.698431e-05,nan,nan,nan
-1.9000000000000001,3.70733e-05,nan,nan,nan
-1.9500000000000002,3.715723e-05,nan,nan,nan
-2.0,3.722776e-05,nan,nan,nan
-2.0500000000000003,3.729933e-05,nan,nan,nan
-2.1,3.732656e-05,nan,nan,nan
-2.15,3.737251e-05,nan,nan,nan
-2.2,3.739906e-05,nan,nan,nan
-2.25,3.743386e-05,nan,nan,nan
-2.3000000000000003,3.745806e-05,nan,nan,nan
-2.35,3.748005e-05,nan,nan,nan
-2.4000000000000004,3.749913e-05,nan,nan,nan
-2.45,3.749952e-05,nan,nan,nan
-2.5,3.749241e-05,nan,nan,nan
-2.5500000000000003,3.749402e-05,nan,nan,nan
-2.6,3.747945e-05,nan,nan,nan
-2.6500000000000004,3.746832e-05,nan,nan,nan
-2.7,3.743738e-05,nan,nan,nan
-2.75,3.740406e-05,nan,nan,nan
-2.8000000000000003,3.738846e-05,nan,nan,nan
-2.85,3.735819e-05,nan,nan,nan
-2.9000000000000004,3.731849e-05,nan,nan,nan
-2.95,3.726279e-05,nan,nan,nan
-3.0,3.72305e-05,nan,nan,nan
-3.0500000000000003,3.717395e-05,nan,nan,nan
-3.1,3.712067e-05,nan,nan,nan
-3.1500000000000004,3.706681e-05,nan,nan,nan
-3.2,3.702702e-05,nan,nan,nan
-3.25,3.696675e-05,nan,nan,nan
-3.3000000000000003,3.689056e-05,nan,nan,nan
-3.35,3.683186e-05,nan,nan,nan
-3.4000000000000004,3.675422e-05,nan,nan,nan
-3.45,3.666064e-05,nan,nan,nan
-3.5,3.660781e-05,nan,nan,nan
-3.5500000000000003,3.648736e-05,nan,nan,nan
-3.6,3.644397e-05,nan,nan,nan
-3.6500000000000004,3.637301e-05,nan,nan,nan
-3.7,3.627482e-05,nan,nan,nan
-3.75,3.617842e-05,nan,nan,nan
-3.8000000000000003,3.606599e-05,nan,nan,nan
-3.85,3.598152e-05,nan,nan,nan
