seq,time_hms,proc,chip,summary,source_file,file_idx,start_time
1,11:14:57,IVg,71.0,IVg chip 71  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #1,Alisson_12_sept/IVg2025-09-12_1.csv,1,1757686497.4707847
2,11:16:25,IVg,71.0,IVg chip 71  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #2,Alisson_12_sept/IVg2025-09-12_2.csv,2,1757686585.381315
3,11:16:55,IVg,71.0,IVg chip 71  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #3,Alisson_12_sept/IVg2025-09-12_3.csv,3,1757686615.0106933
4,11:19:58,IV,71.0,IV  chip 71  VG=0.0 V  VSD:-1.0→1.0 (step 0.01)  #1,Alisson_12_sept/IV2025-09-12_1.csv,1,1757686798.9217222
5,11:20:34,IV,71.0,IV  chip 71  VG=0.0 V  VSD:-1.0→1.0 (step 0.01)  #2,Alisson_12_sept/IV2025-09-12_2.csv,2,1757686834.374426
6,12:49:41,IVg,75.0,IVg chip 75  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #4,Alisson_12_sept/IVg2025-09-12_4.csv,4,1757692181.6269028
7,13:30:29,LaserCalibration,,LaserCalibration λ=365.0 nm  #1,Alisson_12_sept/LaserCalibration2025-09-12_1.csv,1,1757694629.4063692
8,13:39:08,LaserCalibration,,LaserCalibration λ=455.0 nm  #2,Alisson_12_sept/LaserCalibration2025-09-12_2.csv,2,1757695148.3566844
9,13:45:34,LaserCalibration,,LaserCalibration λ=565.0 nm  #3,Alisson_12_sept/LaserCalibration2025-09-12_3.csv,3,1757695534.5964704
10,13:50:26,LaserCalibration,,LaserCalibration λ=625.0 nm  #4,Alisson_12_sept/LaserCalibration2025-09-12_4.csv,4,1757695826.8354511
11,14:30:40,LaserCalibration,,LaserCalibration λ=365.0 nm  #5,Alisson_12_sept/LaserCalibration2025-09-12_5.csv,5,1757698240.6736202
12,14:45:42,IVg,75.0,IVg chip 75  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #5,Alisson_12_sept/IVg2025-09-12_5.csv,5,1757699142.1032941
13,14:54:38,IVg,75.0,IVg chip 75  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #6,Alisson_12_sept/IVg2025-09-12_6.csv,6,1757699678.8075054
14,14:56:03,It,75.0,It  chip 75  VG=-3.0 V  VDS=0.1 V  VL=0.88 V  λ=365.0 nm  period=120.0 s  #1,Alisson_12_sept/It2025-09-12_1.csv,1,1757699763.1361477
15,14:59:10,It,75.0,It  chip 75  VG=-3.0 V  VDS=0.1 V  VL=1.78 V  λ=365.0 nm  period=120.0 s  #2,Alisson_12_sept/It2025-09-12_2.csv,2,1757699950.694987
16,15:02:17,It,75.0,It  chip 75  VG=-3.0 V  VDS=0.1 V  VL=2.74 V  λ=365.0 nm  period=120.0 s  #3,Alisson_12_sept/It2025-09-12_3.csv,3,1757700137.8766737
17,15:05:25,It,75.0,It  chip 75  VG=-3.0 V  VDS=0.1 V  VL=3.71 V  λ=365.0 nm  period=120.0 s  #4,Alisson_12_sept/It2025-09-12_4.csv,4,1757700325.0110948
18,15:08:32,It,75.0,It  chip 75  VG=-3.0 V  VDS=0.1 V  VL=4.71 V  λ=365.0 nm  period=120.0 s  #5,Alisson_12_sept/It2025-09-12_5.csv,5,1757700512.2396557
19,15:25:19,IVg,75.0,IVg chip 75  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #7,Alisson_12_sept/IVg2025-09-12_7.csv,7,1757701519.3396559
20,15:26:53,It,75.0,It  chip 75  VG=3.0 V  VDS=0.1 V  VL=0.88 V  λ=365.0 nm  period=120.0 s  #6,Alisson_12_sept/It2025-09-12_6.csv,6,1757701613.701309
21,15:30:00,It,75.0,It  chip 75  VG=3.0 V  VDS=0.1 V  VL=1.78 V  λ=365.0 nm  period=120.0 s  #7,Alisson_12_sept/It2025-09-12_7.csv,7,1757701800.696954
22,15:33:07,It,75.0,It  chip 75  VG=3.0 V  VDS=0.1 V  VL=2.74 V  λ=365.0 nm  period=120.0 s  #8,Alisson_12_sept/It2025-09-12_8.csv,8,1757701987.8982081
23,15:36:14,It,75.0,It  chip 75  VG=3.0 V  VDS=0.1 V  VL=3.71 V  λ=365.0 nm  period=120.0 s  #9,Alisson_12_sept/It2025-09-12_9.csv,9,1757702174.9235747
24,15:39:22,It,75.0,It  chip 75  VG=3.0 V  VDS=0.1 V  VL=4.71 V  λ=365.0 nm  period=120.0 s  #10,Alisson_12_sept/It2025-09-12_10.csv,10,1757702362.0178366
25,16:18:01,IVg,75.0,IVg chip 75  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #8,Alisson_12_sept/IVg2025-09-12_8.csv,8,1757704681.6921594
26,16:25:30,LaserCalibration,,LaserCalibration λ=455.0 nm  #6,Alisson_12_sept/LaserCalibration2025-09-12_6.csv,6,1757705130.7832413
27,16:31:24,IVg,75.0,IVg chip 75  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #9,Alisson_12_sept/IVg2025-09-12_9.csv,9,1757705484.3053443
28,16:32:50,It,75.0,It  chip 75  VG=-3.0 V  VDS=0.1 V  VL=0.9 V  λ=455.0 nm  period=120.0 s  #11,Alisson_12_sept/It2025-09-12_11.csv,11,1757705570.6602063
29,16:35:57,It,75.0,It  chip 75  VG=-3.0 V  VDS=0.1 V  VL=1.71 V  λ=455.0 nm  period=120.0 s  #12,Alisson_12_sept/It2025-09-12_12.csv,12,1757705757.7563446
30,16:39:04,It,75.0,It  chip 75  VG=-3.0 V  VDS=0.1 V  VL=2.59 V  λ=455.0 nm  period=120.0 s  #13,Alisson_12_sept/It2025-09-12_13.csv,13,1757705944.9500418
31,16:42:12,It,75.0,It  chip 75  VG=-3.0 V  VDS=0.1 V  VL=3.47 V  λ=455.0 nm  period=120.0 s  #14,Alisson_12_sept/It2025-09-12_14.csv,14,1757706132.0334725
32,16:45:19,It,75.0,It  chip 75  VG=-3.0 V  VDS=0.1 V  VL=4.42 V  λ=455.0 nm  period=120.0 s  #15,Alisson_12_sept/It2025-09-12_15.csv,15,1757706319.5429077
