#Procedure: <laser_setup.procedures.IVg.IVg>
#Parameters:
#	Irange: 0.001 A
#	NPLC: 1
#	Burn-in time: 0 s
#	Chip group name: Alisson
#	Chip number: 75
#	Information: monitoring
#	Laser voltage: 0 V
#	Laser wavelength: 455
#	Procedure version: 2.1.0
#	Sample: other
#	Step time: 0 s
#	VDS: 0.1 V
#	VG end: 5 V
#	VG start: -5 V
#	VG step: 0.05 V
#Metadata:
#	Start time: 1757704681.6921594
#Data:
Vg (V),I (A),Plate T (degC),Ambient T (degC),Clock (ms)
0.0,7.260206e-05,nan,nan,nan
-0.05,7.126183e-05,nan,nan,nan
-0.1,6.840393e-05,nan,nan,nan
-0.15000000000000002,6.554304e-05,nan,nan,nan
-0.2,6.213089e-05,nan,nan,nan
-0.25,5.839497e-05,nan,nan,nan
-0.30000000000000004,5.445529e-05,nan,nan,nan
-0.35000000000000003,4.996749e-05,nan,nan,nan
-0.4,4.564714e-05,nan,nan,nan
-0.45,4.09237e-05,nan,nan,nan
-0.5,3.644346e-05,nan,nan,nan
-0.55,3.245987e-05,nan,nan,nan
-0.6000000000000001,2.924769e-05,nan,nan,nan
-0.65,2.740578e-05,nan,nan,nan
-0.7000000000000001,2.706893e-05,nan,nan,nan
-0.75,2.826889e-05,nan,nan,nan
-0.8,3.06575e-05,nan,nan,nan
-0.8500000000000001,3.405909e-05,nan,nan,nan
-0.9,3.81902e-05,nan,nan,nan
-0.9500000000000001,4.265402e-05,nan,nan,nan
-1.0,4.682394e-05,nan,nan,nan
-1.05,5.089457e-05,nan,nan,nan
-1.1,5.676639e-05,nan,nan,nan
-1.1500000000000001,5.832059e-05,nan,nan,nan
-1.2000000000000002,6.171341e-05,nan,nan,nan
-1.25,6.473053e-05,nan,nan,nan
-1.3,6.738135e-05,nan,nan,nan
-1.35,6.988133e-05,nan,nan,nan
-1.4000000000000001,7.231699e-05,nan,nan,nan
-1.4500000000000002,7.457432e-05,nan,nan,nan
-1.5,7.690443e-05,nan,nan,nan
-1.55,7.895886e-05,nan,nan,nan
-1.6,8.072337e-05,nan,nan,nan
-1.6500000000000001,8.24341e-05,nan,nan,nan
-1.7000000000000002,8.41552e-05,nan,nan,nan
-1.75,8.5598e-05,nan,nan,nan
-1.8,8.698489e-05,nan,nan,nan
-1.85,8.849007e-05,nan,nan,nan
-1.9000000000000001,8.963734e-05,nan,nan,nan
-1.9500000000000002,9.077196e-05,nan,nan,nan
-2.0,9.197684e-05,nan,nan,nan
-2.0500000000000003,9.312299e-05,nan,nan,nan
-2.1,9.411926e-05,nan,nan,nan
-2.15,9.519964e-05,nan,nan,nan
-2.2,9.605457e-05,nan,nan,nan
-2.25,9.708336e-05,nan,nan,nan
-2.3000000000000003,9.784462e-05,nan,nan,nan
-2.35,9.872274e-05,nan,nan,nan
-2.4000000000000004,9.954444e-05,nan,nan,nan
-2.45,0.0001003298,nan,nan,nan
-2.5,0.0001010313,nan,nan,nan
-2.5500000000000003,0.0001018142,nan,nan,nan
-2.6,0.000102512,nan,nan,nan
-2.6500000000000004,0.0001031718,nan,nan,nan
-2.7,0.0001038607,nan,nan,nan
-2.75,0.0001045156,nan,nan,nan
-2.8000000000000003,0.0001050936,nan,nan,nan
-2.85,0.0001057104,nan,nan,nan
-2.9000000000000004,0.0001062845,nan,nan,nan
-2.95,0.0001067947,nan,nan,nan
-3.0,0.0001074449,nan,nan,nan
-3.0500000000000003,0.0001080989,nan,nan,nan
-3.1,0.0001085225,nan,nan,nan
-3.1500000000000004,0.0001090151,nan,nan,nan
-3.2,0.0001095489,nan,nan,nan
-3.25,0.0001101736,nan,nan,nan
-3.3000000000000003,0.0001105506,nan,nan,nan
-3.35,0.0001110671,nan,nan,nan
-3.4000000000000004,0.0001115092,nan,nan,nan
-3.45,0.0001120088,nan,nan,nan
-3.5,0.0001128846,nan,nan,nan
-3.5500000000000003,0.0001127957,nan,nan,nan
-3.6,0.0001132311,nan,nan,nan
-3.6500000000000004,0.0001137681,nan,nan,nan
-3.7,0.0001142767,nan,nan,nan
-3.75,0.0001147407,nan,nan,nan
-3.8000000000000003,0.0001151902,nan,nan,nan
-3.85,0.0001156201,nan,nan,nan
-3.9000000000000004,0.0001160561,nan,nan,nan
-3.95,0.0001164885,nan,nan,nan
-4.0,0.0001169152,nan,nan,nan
-4.05,0.0001173362,nan,nan,nan
-4.1000000000000005,0.0001177165,nan,nan,nan
-4.15,0.0001181572,nan,nan,nan
-4.2,0.0001185519,nan,nan,nan
-4.25,0.0001189667,nan,nan,nan
-4.3,0.0001193903,nan,nan,nan
-4.3500000000000005,0.0001198,nan,nan,nan
-4.4,0.0001202128,nan,nan,nan
-4.45,0.0001205984,nan,nan,nan
-4.5,0.0001210278,nan,nan,nan
-4.55,0.0001214214,nan,nan,nan
-4.6000000000000005,0.0001218145,nan,nan,nan
-4.65,0.0001221797,nan,nan,nan
-4.7,0.0001224849,nan,nan,nan
