#Procedure: <laser_setup.procedures.It.It>
#Parameters:
#	Irange: 0.001 A
#	NPLC: 1
#	T step start time: 120 s
#	Chip group name: Alisson
#	Chip number: 75
#	Information: Light testing 455 mn
#	Initial (current) T: 0 C
#	Laser ON+OFF period: 120 s
#	Laser voltage: 2.59 V
#	Laser wavelength: 455
#	Procedure version: 2.2.0
#	Sample: other
#	Sampling time (excluding Keithley): 0 s
#	Target T: 25 C
#	VDS: 0.1 V
#	VG: -3 V
#Metadata:
#	Start time: 1757705944.9500418
#Data:
t (s),I (A),VL (V),Plate T (degC),Ambient T (degC),Clock (ms)
0.0,0.0001107477,0.0,nan,nan,nan
0.0844006,0.0001122047,0.0,nan,nan,nan
0.1677657,0.0001122072,0.0,nan,nan,nan
0.2511191,0.0001122304,0.0,nan,nan,nan
0.3345776,0.0001121938,0.0,nan,nan,nan
0.4180652,0.0001121918,0.0,nan,nan,nan
0.5014505,0.0001121879,0.0,nan,nan,nan
0.5848155,0.0001121623,0.0,nan,nan,nan
0.6681267,0.0001121507,0.0,nan,nan,nan
0.751571,0.0001121182,0.0,nan,nan,nan
0.8353179,0.0001120937,0.0,nan,nan,nan
0.9190539,0.0001120173,0.0,nan,nan,nan
1.002436,0.0001119901,0.0,nan,nan,nan
1.086232,0.0001119986,0.0,nan,nan,nan
1.170241,0.0001119873,0.0,nan,nan,nan
1.25379,0.000111932,0.0,nan,nan,nan
1.337269,0.0001119356,0.0,nan,nan,nan
1.420826,0.0001119225,0.0,nan,nan,nan
1.50431,0.0001118992,0.0,nan,nan,nan
1.589291,0.0001118882,0.0,nan,nan,nan
1.672729,0.0001118496,0.0,nan,nan,nan
1.756514,0.0001118877,0.0,nan,nan,nan
1.871207,0.0001118278,0.0,nan,nan,nan
1.954535,0.0001118091,0.0,nan,nan,nan
2.037954,0.0001117744,0.0,nan,nan,nan
2.121403,0.0001117413,0.0,nan,nan,nan
2.205681,0.0001117316,0.0,nan,nan,nan
2.289403,0.0001116991,0.0,nan,nan,nan
2.373688,0.0001117267,0.0,nan,nan,nan
2.457879,0.0001116922,0.0,nan,nan,nan
2.541276,0.0001117021,0.0,nan,nan,nan
2.625124,0.000111675,0.0,nan,nan,nan
2.709132,0.0001116625,0.0,nan,nan,nan
2.793128,0.0001116554,0.0,nan,nan,nan
2.876887,0.0001116348,0.0,nan,nan,nan
2.960738,0.0001116455,0.0,nan,nan,nan
3.044381,0.000111641,0.0,nan,nan,nan
3.128178,0.0001116466,0.0,nan,nan,nan
3.212882,0.0001116189,0.0,nan,nan,nan
3.296511,0.0001116213,0.0,nan,nan,nan
3.380008,0.000111647,0.0,nan,nan,nan
