#Procedure: <laser_setup.procedures.It.It>
#Parameters:
#	Irange: 0.001 A
#	NPLC: 1
#	T step start time: 120 s
#	Chip group name: Alisson
#	Chip number: 75
#	Information: Light testing 455 mn
#	Initial (current) T: 0 C
#	Laser ON+OFF period: 120 s
#	Laser voltage: 1.71 V
#	Laser wavelength: 455
#	Procedure version: 2.2.0
#	Sample: other
#	Sampling time (excluding Keithley): 0 s
#	Target T: 25 C
#	VDS: 0.1 V
#	VG: 3 V
#Metadata:
#	Start time: 1757707178.8432488
#Data:
t (s),I (A),VL (V),Plate T (degC),Ambient T (degC),Clock (ms)
0.0,0.000136943,0.0,nan,nan,nan
0.08365622,0.0001367614,0.0,nan,nan,nan
0.1670839,0.0001365619,0.0,nan,nan,nan
0.2505311,0.0001364615,0.0,nan,nan,nan
0.3339567,0.0001363473,0.0,nan,nan,nan
0.417502,0.0001362285,0.0,nan,nan,nan
0.5011916,0.0001361474,0.0,nan,nan,nan
0.5845953,0.0001360836,0.0,nan,nan,nan
0.6680293,0.0001360057,0.0,nan,nan,nan
0.7517267,0.0001359592,0.0,nan,nan,nan
0.8353187,0.0001359085,0.0,nan,nan,nan
0.9193878,0.0001358663,0.0,nan,nan,nan
1.003029,0.000135796,0.0,nan,nan,nan
1.086364,0.0001357503,0.0,nan,nan,nan
1.169853,0.0001357325,0.0,nan,nan,nan
1.253086,0.0001356844,0.0,nan,nan,nan
1.336592,0.0001356364,0.0,nan,nan,nan
1.420278,0.0001356312,0.0,nan,nan,nan
1.503775,0.0001355555,0.0,nan,nan,nan
1.587203,0.0001355458,0.0,nan,nan,nan
1.670598,0.0001355286,0.0,nan,nan,nan
1.753962,0.00013549,0.0,nan,nan,nan
1.837477,0.0001354986,0.0,nan,nan,nan
1.921158,0.0001354815,0.0,nan,nan,nan
2.004784,0.0001354827,0.0,nan,nan,nan
2.088314,0.0001354656,0.0,nan,nan,nan
2.172063,0.0001354174,0.0,nan,nan,nan
2.255841,0.0001353879,0.0,nan,nan,nan
2.339897,0.0001353707,0.0,nan,nan,nan
2.423384,0.0001353555,0.0,nan,nan,nan
2.507071,0.0001353914,0.0,nan,nan,nan
2.590746,0.0001353719,0.0,nan,nan,nan
2.674276,0.0001353593,0.0,nan,nan,nan
2.758014,0.0001353818,0.0,nan,nan,nan
2.841463,0.0001353724,0.0,nan,nan,nan
2.925155,0.0001353544,0.0,nan,nan,nan
3.008639,0.0001353412,0.0,nan,nan,nan
3.101616,0.0001353666,0.0,nan,nan,nan
3.185098,0.0001353852,0.0,nan,nan,nan
3.268547,0.0001353719,0.0,nan,nan,nan
3.351951,0.000135354,0.0,nan,nan,nan
3.435814,0.0001353697,0.0,nan,nan,nan
3.519197,0.0001353376,0.0,nan,nan,nan
3.602903,0.0001353838,0.0,nan,nan,nan
3.686434,0.0001353637,0.0,nan,nan,nan
3.769952,0.0001353662,0.0,nan,nan,nan
3.853565,0.000135359,0.0,nan,nan,nan
3.936964,0.0001354132,0.0,nan,nan,nan
4.020399,0.0001353885,0.0,nan,nan,nan
4.103884,0.0001353864,0.0,nan,nan,nan
4.187441,0.0001353929,0.0,nan,nan,nan
4.271153,0.0001353671,0.0,nan,nan,nan
4.354539,0.000135392,0.0,nan,nan,nan
4.438155,0.0001353802,0.0,nan,nan,nan
4.521667,0.0001354131,0.0,nan,nan,nan
4.605252,0.0001353945,0.0,nan,nan,nan
4.688891,0.0001353997,0.0,nan,nan,nan
4.772616,0.0001353879,0.0,nan,nan,nan
4.856459,0.0001354044,0.0,nan,nan,nan
4.940187,0.0001353841,0.0,nan,nan,nan
5.023701,0.0001353751,0.0,nan,nan,nan
5.107065,0.0001353531,0.0,nan,nan,nan
5.190782,0.0001353612,0.0,nan,nan,nan
5.274511,0.0001354165,0.0,nan,nan,nan
5.357914,0.0001353846,0.0,nan,nan,nan
5.441339,0.0001353975,0.0,nan,nan,nan
5.524716,0.0001353977,0.0,nan,nan,nan
5.608149,0.0001353714,0.0,nan,nan,nan
5.6915,0.0001353677,0.0,nan,nan,nan
5.774929,0.000135382,0.0,nan,nan,nan
5.858413,0.0001353727,0.0,nan,nan,nan
5.942422,0.0001353848,0.0,nan,nan,nan
6.025789,0.0001354104,0.0,nan,nan,nan
6.109172,0.0001354183,0.0,nan,nan,nan
6.192575,0.000135442,0.0,nan,nan,nan
6.276018,0.000135423,0.0,nan,nan,nan
6.359424,0.0001354339,0.0,nan,nan,nan
6.442818,0.0001354203,0.0,nan,nan,nan
6.526484,0.0001354171,0.0,nan,nan,nan
6.609918,0.0001354475,0.0,nan,nan,nan
6.693395,0.0001354321,0.0,nan,nan,nan
6.776876,0.0001354492,0.0,nan,nan,nan
6.86152,0.0001354211,0.0,nan,nan,nan
6.944867,0.0001354682,0.0,nan,nan,nan
7.028352,0.0001354767,0.0,nan,nan,nan
7.111671,0.0001354662,0.0,nan,nan,nan
7.204881,0.0001354513,0.0,nan,nan,nan
7.288373,0.0001354615,0.0,nan,nan,nan
7.371749,0.0001354725,0.0,nan,nan,nan
7.455124,0.0001354677,0.0,nan,nan,nan
7.538748,0.0001354424,0.0,nan,nan,nan
7.622371,0.0001354538,0.0,nan,nan,nan
7.70647,0.0001354705,0.0,nan,nan,nan
7.789904,0.0001354703,0.0,nan,nan,nan
7.873361,0.0001354789,0.0,nan,nan,nan
7.956842,0.0001354812,0.0,nan,nan,nan
8.040836,0.0001354918,0.0,nan,nan,nan
8.124558,0.0001354798,0.0,nan,nan,nan
