#Procedure: <laser_setup.procedures.LaserCalibration.LaserCalibration>
#Parameters:
#	N_avg: 2
#	Optical fiber: F1 (M92L02)
#	Information: Pa medir luz
#	Laser wavelength: 365
#	Procedure version: 1.1.1
#	Step time: 2 s
#	Laser voltage end: 5 V
#	Laser voltage start: 0 V
#	Laser voltage step: 0.1 V
#Metadata:
#	Sensor model: S120VC
#	Start time: 1757698240.6736202
#Data:
VL (V),Power (W)
0.0,5.067657845e-09
0.1,4.73390685e-07
0.2,1.1828041150000001e-06
0.30000000000000004,1.85571321e-06
0.4,2.60797651e-06
0.5,3.331922015e-06
0.6000000000000001,4.044103665e-06
0.7000000000000001,4.769379075e-06
0.8,5.421181185e-06
0.9,6.111174575e-06
1.0,6.809534625e-06
1.1,7.502074595e-06
1.2000000000000002,8.18333865e-06
1.3,8.850418454999999e-06
1.4000000000000001,9.500037325000001e-06
1.5,1.01638425e-05
1.6,1.083128565e-05
1.7000000000000002,1.14652653e-05
1.8,1.2129070500000001e-05
1.9000000000000001,1.278232685e-05
2.0,1.336211105e-05
2.1,1.40124594e-05
2.2,1.4661351099999999e-05
2.3000000000000003,1.52916928e-05
2.4000000000000004,1.59202154e-05
2.5,1.65611073e-05
2.6,1.71190677e-05
2.7,1.77417714e-05
2.8000000000000003,1.83764787e-05
2.9000000000000004,1.90028195e-05
3.0,1.963243445e-05
3.1,2.02464089e-05
3.2,2.08745687e-05
3.3000000000000003,2.1500182799999998e-05
3.4000000000000004,2.21261598e-05
3.5,2.2726313550000002e-05
3.6,2.33486526e-05
3.7,2.3925526900000002e-05
3.8000000000000003,2.454641435e-05
3.9000000000000004,2.51494748e-05
4.0,2.57539941e-05
4.1000000000000005,2.63730581e-05
4.2,2.699285505e-05
4.3,2.754208345e-05
4.4,2.81549665e-05
4.5,2.87623943e-05
4.6000000000000005,2.9343632400000002e-05
4.7,2.99488775e-05
4.800000000000001,3.0551575e-05
4.9,3.1061159450000003e-05
5.0,3.1661315e-05
