#Procedure: <laser_setup.procedures.IV.IV>
#Parameters:
#	Irange: 1e-06 A
#	NPLC: 1
#	Burn-in time: 600 s
#	Chip group name: other
#	Chip number: 1
#	Information: Scratch - Source
#	Laser voltage: 0 V
#	Laser wavelength: 0
#	Procedure version: 2.0.1
#	Sample: other
#	Step time: 0 s
#	VG: 0 V
#	VSD end: 2 V
#	VSD start: -2 V
#	VSD step: 0.05 V
#Metadata:
#	Start time: 1757446110.4034371
#Data:
Vsd (V),I (A),Plate T (degC),Ambient T (degC),Clock (ms)
0.0,7.920417e-10,nan,nan,nan
-0.0005,2.687015e-10,nan,nan,nan
-0.0505,1.440092e-10,nan,nan,nan
-0.1005,-2.95807e-10,nan,nan,nan
-0.15050000000000002,-1.132952e-09,nan,nan,nan
-0.2005,-9.574678e-10,nan,nan,nan
-0.2505,1.256931e-09,nan,nan,nan
-0.30050000000000004,5.147932e-10,nan,nan,nan
-0.35050000000000003,5.795776e-10,nan,nan,nan
-0.4005,-2.505267e-10,nan,nan,nan
-0.4505,-3.036599e-10,nan,nan,nan
-0.5005,-1.299951e-09,nan,nan,nan
-0.5505,-5.529223e-10,nan,nan,nan
-0.6005,5.224753e-11,nan,nan,nan
-0.6505,2.201294e-10,nan,nan,nan
-0.7005,1.661109e-10,nan,nan,nan
-0.7505,1.31076e-09,nan,nan,nan
-0.8005,8.565103e-10,nan,nan,nan
-0.8505,3.793354e-10,nan,nan,nan
-0.9005,-4.686115e-11,nan,nan,nan
-0.9505,-2.171529e-10,nan,nan,nan
-1.0005,-3.147431e-10,nan,nan,nan
-1.0505,-1.160564e-09,nan,nan,nan
-1.1005,-8.745707e-10,nan,nan,nan
-1.1505,-3.123997e-10,nan,nan,nan
-1.2005000000000001,2.435609e-10,nan,nan,nan
-1.2505,3.123349e-10,nan,nan,nan
-1.3005,1.033068e-09,nan,nan,nan
-1.3505,9.115428e-10,nan,nan,nan
-1.4005,7.080076e-10,nan,nan,nan
-1.4505000000000001,-9.587787e-11,nan,nan,nan
-1.5005,-6.662194e-10,nan,nan,nan
-1.5505,-1.052083e-09,nan,nan,nan
-1.6005,-9.428409e-10,nan,nan,nan
-1.6505,-4.150565e-10,nan,nan,nan
-1.7005000000000001,1.406534e-10,nan,nan,nan
-1.7505,2.188001e-10,nan,nan,nan
