#Procedure: <laser_setup.procedures.IV.IV>
#Parameters:
#	Irange: 0.01 A
#	NPLC: 1
#	Burn-in time: 600 s
#	Chip group name: other
#	Chip number: 2
#	Information: Servian Graphene
#	Laser voltage: 0 V
#	Laser wavelength: 0
#	Procedure version: 2.0.1
#	Sample: other
#	Step time: 0 s
#	VG: 0 V
#	VSD end: 1 V
#	VSD start: -1 V
#	VSD step: 0.05 V
#Metadata:
#	Start time: 1757443376.8070998
#Data:
Vsd (V),I (A),Plate T (degC),Ambient T (degC),Clock (ms)
0.0,1.039438e-07,nan,nan,nan
-0.0005,-1.499388e-06,nan,nan,nan
-0.0505,-0.0001621351,nan,nan,nan
-0.1005,-0.0003228606,nan,nan,nan
-0.15050000000000002,-0.0004836285,nan,nan,nan
-0.2005,-0.0006444902,nan,nan,nan
-0.2505,-0.0008054227,nan,nan,nan
-0.30050000000000004,-0.0009665032,nan,nan,nan
-0.35050000000000003,-0.001127551,nan,nan,nan
-0.4005,-0.001288871,nan,nan,nan
-0.4505,-0.001450069,nan,nan,nan
-0.5005,-0.001611886,nan,nan,nan
-0.5505,-0.001773654,nan,nan,nan
-0.6005,-0.001935609,nan,nan,nan
-0.6505,-0.002097665,nan,nan,nan
-0.7005,-0.00226022,nan,nan,nan
-0.7505,-0.002422748,nan,nan,nan
-0.8005,-0.002585631,nan,nan,nan
-0.8505,-0.002748897,nan,nan,nan
-0.9005,-0.002912261,nan,nan,nan
-0.9505,-0.003075865,nan,nan,nan
-1.0,-0.003238133,nan,nan,nan
-0.95,-0.003074165,nan,nan,nan
-0.8999999999999999,-0.002910483,nan,nan,nan
-0.8499999999999999,-0.002747207,nan,nan,nan
-0.7999999999999998,-0.002584236,nan,nan,nan
-0.7499999999999998,-0.002421723,nan,nan,nan
-0.6999999999999997,-0.002258561,nan,nan,nan
-0.6499999999999997,-0.002096343,nan,nan,nan
-0.5999999999999996,-0.001934244,nan,nan,nan
-0.5499999999999996,-0.001772149,nan,nan,nan
-0.49999999999999956,-0.001610365,nan,nan,nan
-0.4499999999999995,-0.001448831,nan,nan,nan
-0.39999999999999947,-0.001287372,nan,nan,nan
-0.3499999999999994,-0.001126165,nan,nan,nan
-0.2999999999999994,-0.0009649437,nan,nan,nan
-0.24999999999999933,-0.0008039048,nan,nan,nan
-0.1999999999999993,-0.0006430195,nan,nan,nan
-0.14999999999999925,-0.0004821182,nan,nan,nan
-0.0999999999999992,-0.0003213258,nan,nan,nan
-0.049999999999999156,-0.0001605512,nan,nan,nan
-0.0005,-1.501115e-06,nan,nan,nan
0.0005,1.706111e-06,nan,nan,nan
0.0505,0.0001624686,nan,nan,nan
0.1005,0.0003232268,nan,nan,nan
0.15050000000000002,0.0004840454,nan,nan,nan
0.2005,0.0006449395,nan,nan,nan
0.2505,0.0008058773,nan,nan,nan
0.30050000000000004,0.0009668152,nan,nan,nan
0.35050000000000003,0.001128074,nan,nan,nan
0.4005,0.001289336,nan,nan,nan
0.4505,0.001450662,nan,nan,nan
0.5005,0.001612431,nan,nan,nan
0.5505,0.001774103,nan,nan,nan
0.6005,0.001936111,nan,nan,nan
0.6505,0.002098287,nan,nan,nan
0.7005,0.002260532,nan,nan,nan
0.7505,0.002423245,nan,nan,nan
0.8005,0.002586071,nan,nan,nan
0.8505,0.002749206,nan,nan,nan
0.9005,0.002912208,nan,nan,nan
0.9505,0.003076304,nan,nan,nan
1.0,0.003238245,nan,nan,nan
0.95,0.003074679,nan,nan,nan
0.8999999999999999,0.002910975,nan,nan,nan
0.8499999999999999,0.00274757,nan,nan,nan
0.7999999999999998,0.002584684,nan,nan,nan
0.7499999999999998,0.002421747,nan,nan,nan
0.6999999999999997,0.002259062,nan,nan,nan
0.6499999999999997,0.002096904,nan,nan,nan
0.5999999999999996,0.0019346,nan,nan,nan
0.5499999999999996,0.001772482,nan,nan,nan
0.49999999999999956,0.001610824,nan,nan,nan
0.4499999999999995,0.001449303,nan,nan,nan
0.39999999999999947,0.001287738,nan,nan,nan
0.3499999999999994,0.001126375,nan,nan,nan
0.2999999999999994,0.0009653696,nan,nan,nan
0.24999999999999933,0.0008042927,nan,nan,nan
0.1999999999999993,0.0006432737,nan,nan,nan
0.14999999999999925,0.0004824259,nan,nan,nan
0.0999999999999992,0.000321637,nan,nan,nan
0.049999999999999156,0.0001608607,nan,nan,nan
0.0005,1.707262e-06,nan,nan,nan
-0.0495,-0.0001589513,nan,nan,nan
