#Procedure: <laser_setup.procedures.IV.IV>
#Parameters:
#	Irange: 0.0001 A
#	NPLC: 1
#	Burn-in time: 600 s
#	Chip group name: other
#	Chip number: 1
#	Information: Scratch - Source
#	Laser voltage: 0 V
#	Laser wavelength: 0
#	Procedure version: 2.0.1
#	Sample: other
#	Step time: 0 s
#	VG: 0 V
#	VSD end: 1 V
#	VSD start: -1 V
#	VSD step: 0.05 V
#Metadata:
#	Start time: 1757446027.3556013
#Data:
Vsd (V),I (A),Plate T (degC),Ambient T (degC),Clock (ms)
0.0,5.963303e-10,nan,nan,nan
-0.0005,1.852415e-09,nan,nan,nan
-0.0505,1.469044e-10,nan,nan,nan
-0.1005,-8.038021e-10,nan,nan,nan
-0.15050000000000002,7.691849e-10,nan,nan,nan
-0.2005,1.374181e-09,nan,nan,nan
-0.2505,5.214259e-10,nan,nan,nan
-0.30050000000000004,-2.333779e-10,nan,nan,nan
-0.35050000000000003,4.407602e-10,nan,nan,nan
-0.4005,8.671374e-10,nan,nan,nan
-0.4505,-6.052236e-11,nan,nan,nan
-0.5005,-2.103299e-10,nan,nan,nan
-0.5505,4.004281e-10,nan,nan,nan
-0.6005,7.000458e-10,nan,nan,nan
-0.6505,-8.356882e-11,nan,nan,nan
-0.7005,-1.35426e-10,nan,nan,nan
-0.7505,3.716185e-10,nan,nan,nan
-0.8005,5.444755e-10,nan,nan,nan
-0.8505,2.014555e-11,nan,nan,nan
-0.9005,-1.469487e-10,nan,nan,nan
-0.9505,3.543337e-10,nan,nan,nan
-1.0,6.481894e-10,nan,nan,nan
-0.95,1.224377e-09,nan,nan,nan
-0.8999999999999999,1.17252e-09,nan,nan,nan
-0.8499999999999999,1.518231e-09,nan,nan,nan
-0.7999999999999998,1.754467e-09,nan,nan,nan
-0.7499999999999998,9.189965e-10,nan,nan,nan
-0.6999999999999997,1.17828e-09,nan,nan,nan
-0.6499999999999997,1.644991e-09,nan,nan,nan
-0.5999999999999996,1.593135e-09,nan,nan,nan
-0.5499999999999996,1.30504e-09,nan,nan,nan
-0.49999999999999956,1.258946e-09,nan,nan,nan
-0.4499999999999995,1.570086e-09,nan,nan,nan
-0.39999999999999947,8.210436e-10,nan,nan,nan
-0.3499999999999994,8.556146e-10,nan,nan,nan
-0.2999999999999994,1.65075e-09,nan,nan,nan
-0.24999999999999933,1.956129e-09,nan,nan,nan
-0.1999999999999993,1.172516e-09,nan,nan,nan
-0.14999999999999925,1.258944e-09,nan,nan,nan
-0.0999999999999992,1.777513e-09,nan,nan,nan
-0.049999999999999156,1.696846e-09,nan,nan,nan
-0.0005,1.123333e-10,nan,nan,nan
0.0005,1.057278e-09,nan,nan,nan
0.0505,1.604656e-09,nan,nan,nan
0.1005,1.696841e-09,nan,nan,nan
0.15050000000000002,1.1898e-09,nan,nan,nan
0.2005,1.656511e-09,nan,nan,nan
0.2505,1.063039e-09,nan,nan,nan
0.30050000000000004,1.454844e-09,nan,nan,nan
0.35050000000000003,1.310799e-09,nan,nan,nan
0.4005,1.621938e-09,nan,nan,nan
0.4505,1.374178e-09,nan,nan,nan
0.5005,1.402989e-09,nan,nan,nan
0.5505,1.420274e-09,nan,nan,nan
0.6005,2.232694e-09,nan,nan,nan
0.6505,7.691835e-10,nan,nan,nan
0.7005,6.712315e-10,nan,nan,nan
0.7505,1.564317e-09,nan,nan,nan
0.8005,2.480452e-09,nan,nan,nan
0.8505,1.126416e-09,nan,nan,nan
0.9005,8.210387e-10,nan,nan,nan
0.9505,1.483652e-09,nan,nan,nan
1.0,2.549592e-09,nan,nan,nan
0.95,6.020898e-10,nan,nan,nan
0.8999999999999999,-4.235201e-10,nan,nan,nan
0.8499999999999999,5.387092e-10,nan,nan,nan
0.7999999999999998,1.258941e-09,nan,nan,nan
0.7499999999999998,-1.411893e-10,nan,nan,nan
0.6999999999999997,-6.943272e-10,nan,nan,nan
0.6499999999999997,5.963282e-10,nan,nan,nan
0.5999999999999996,1.258941e-09,nan,nan,nan
0.5499999999999996,-1.872839e-10,nan,nan,nan
0.49999999999999956,-5.618042e-10,nan,nan,nan
0.4499999999999995,4.695674e-10,nan,nan,nan
0.39999999999999947,1.132182e-09,nan,nan,nan
0.3499999999999994,-2.909968e-10,nan,nan,nan
0.2999999999999994,-3.947103e-10,nan,nan,nan
0.24999999999999933,4.522832e-10,nan,nan,nan
0.1999999999999993,1.224372e-09,nan,nan,nan
0.14999999999999925,2.90951e-10,nan,nan,nan
0.0999999999999992,2.014378e-11,nan,nan,nan
0.049999999999999156,4.580452e-10,nan,nan,nan
0.0005,3.139979e-10,nan,nan,nan
-0.0495,1.526665e-10,nan,nan,nan
