Irange,NPLC,Burn-in time,Chip group name,Chip number,Information,Laser voltage,Laser wavelength,Procedure version,Sample,Step time,VDS,VG end,VG start,VG step,Laser toggle,source_file,VG,VSD end,VSD start,VSD step
0.0001,1.0,60.0,other,2.0,Servian Graphene,0.0,0.0,2.1.0,other,0.0,0.075,1.0,-1.0,0.2,false,Serbian_Graphene/IVg2025-09-09_12.csv,,,,
0.0001,1.0,60.0,other,2.0,Servian Graphene,0.0,0.0,2.1.0,other,0.0,0.075,1.0,-1.0,0.2,false,Serbian_Graphene/IVg2025-09-09_13.csv,,,,
0.0001,1.0,60.0,other,2.0,Servian Graphene,0.0,0.0,2.1.0,other,0.0,0.075,5.0,-5.0,0.2,false,Serbian_Graphene/IVg2025-09-09_11.csv,,,,
0.0001,1.0,60.0,other,2.0,Servian Graphene,0.0,0.0,2.1.0,other,0.0,0.075,5.0,-5.0,0.2,false,Serbian_Graphene/IVg2025-09-09_10.csv,,,,
0.0001,1.0,60.0,other,2.0,Servian Graphene,0.0,0.0,2.1.0,other,0.0,0.075,1.0,-1.0,0.2,false,Serbian_Graphene/IVg2025-09-09_14.csv,,,,
0.0001,1.0,600.0,other,1.0,Scratch - Source,0.0,0.0,2.0.1,other,0.0,,,,,false,Serbian_Graphene/IV2025-09-09_9.csv,0.0,1.0,-1.0,0.05
0.001,1.0,600.0,other,1.0,Scratch - Source,0.0,0.0,2.0.1,other,0.0,,,,,false,Serbian_Graphene/IV2025-09-09_8.csv,0.0,1.0,-1.0,0.05
0.0001,1.0,60.0,other,2.0,Servian Graphene - Top Gate ?,0.0,0.0,2.1.0,other,0.0,0.075,5.0,-5.0,0.2,false,Serbian_Graphene/IVg2025-09-09_1.csv,,,,
0.0001,1.0,60.0,other,2.0,Servian Graphene,0.0,0.0,2.1.0,other,0.0,0.075,5.0,-5.0,0.2,false,Serbian_Graphene/IVg2025-09-09_3.csv,,,,
0.0001,1.0,60.0,other,1.0,Servian Graphene,0.0,0.0,2.1.0,other,0.0,0.075,5.0,-5.0,0.2,false,Serbian_Graphene/IVg2025-09-09_2.csv,,,,
0.00001,1.0,600.0,other,1.0,Scratch - Source,0.0,0.0,2.0.1,other,0.0,,,,,false,Serbian_Graphene/IV2025-09-09_10.csv,0.0,1.0,-1.0,0.05
0.0001,1.0,60.0,other,2.0,Servian Graphene,0.0,0.0,2.1.0,other,0.0,0.075,5.0,-5.0,0.2,false,Serbian_Graphene/IVg2025-09-09_6.csv,,,,
0.0001,1.0,60.0,other,2.0,Servian Graphene,0.0,0.0,2.1.0,other,0.0,0.075,5.0,-5.0,0.2,false,Serbian_Graphene/IVg2025-09-09_7.csv,,,,
0.00001,1.0,600.0,other,1.0,Scratch - Source,0.0,0.0,2.0.1,other,0.0,,,,,false,Serbian_Graphene/IV2025-09-09_11.csv,0.0,2.0,-2.0,0.05
1e-8,1.0,600.0,other,1.0,Scratch - Source,0.0,0.0,2.0.1,other,0.0,,,,,false,Serbian_Graphene/IV2025-09-09_13.csv,0.0,2.0,-2.0,0.05
0.0001,1.0,60.0,other,2.0,Servian Graphene,0.0,0.0,2.1.0,other,0.0,0.075,5.0,-5.0,0.2,false,Serbian_Graphene/IVg2025-09-09_5.csv,,,,
0.0001,1.0,60.0,other,2.0,Servian Graphene,0.0,0.0,2.1.0,other,0.0,0.075,5.0,-5.0,0.2,false,Serbian_Graphene/IVg2025-09-09_4.csv,,,,
1e-6,1.0,600.0,other,1.0,Scratch - Source,0.0,0.0,2.0.1,other,0.0,,,,,false,Serbian_Graphene/IV2025-09-09_12.csv,0.0,2.0,-2.0,0.05
0.0001,1.0,60.0,other,2.0,Servian Graphene,0.0,0.0,2.1.0,other,0.0,0.075,10.0,-10.0,0.2,false,Serbian_Graphene/IVg2025-09-09_9.csv,,,,
0.0001,1.0,60.0,other,2.0,Servian Graphene,0.0,0.0,2.1.0,other,0.0,0.075,5.0,-5.0,0.2,false,Serbian_Graphene/IVg2025-09-09_8.csv,,,,
0.01,1.0,600.0,other,1.0,Servian top,0.0,0.0,2.0.1,other,0.0,,,,,false,Serbian_Graphene/IV2025-09-09_5.csv,0.0,1.0,-1.0,0.05
0.01,1.0,600.0,other,1.0,Servian Graphene,0.0,0.0,2.0.1,other,0.0,,,,,false,Serbian_Graphene/IV2025-09-09_4.csv,0.0,1.0,-1.0,0.05
0.01,1.0,600.0,other,1.0,Scratch - Source,0.0,0.0,2.0.1,other,0.0,,,,,false,Serbian_Graphene/IV2025-09-09_6.csv,0.0,1.0,-1.0,0.05
0.01,1.0,600.0,other,1.0,Scratch - Source,0.0,0.0,2.0.1,other,0.0,,,,,false,Serbian_Graphene/IV2025-09-09_7.csv,0.0,1.0,-1.0,0.05
0.01,1.0,600.0,other,2.0,Servian Graphene,0.0,0.0,2.0.1,other,0.0,,,,,false,Serbian_Graphene/IV2025-09-09_3.csv,0.0,1.0,-1.0,0.05
0.001,1.0,600.0,other,2.0,Servian Graphene,0.0,0.0,2.0.1,other,0.0,,,,,false,Serbian_Graphene/IV2025-09-09_2.csv,0.0,1.0,-1.0,0.05
0.0001,1.0,600.0,other,2.0,Servian Graphene,0.0,0.0,2.0.1,other,0.0,,,,,false,Serbian_Graphene/IV2025-09-09_1.csv,0.0,1.0,-1.0,0.05
