Irange,NPLC,Burn-in time,Chip group name,Chip number,Information,Laser voltage,Laser wavelength,Procedure version,Sample,Step time,VDS,VG end,VG start,VG step,Laser toggle,source_file,start_time,time_hms,T step start time,Initial (current) T,Laser ON+OFF period,Sampling time (excluding Keithley),Target T,VG,N_avg,Optical fiber,Laser voltage end,Laser voltage start,Laser voltage step
0.001,1.0,60.0,Alisson,80.0,monitoring,0.0,455.0,2.1.0,other,0.0,0.1,5.0,-5.0,0.05,false,raw_data/2025-10-14/IVg2025-10-14_1.csv,1760460048.9661174,13:40:48,,,,,,,,,,,
0.001,1.0,60.0,Alisson,67.0,monitoring,0.0,455.0,2.1.0,other,0.0,0.1,5.0,-5.0,0.05,false,raw_data/2025-10-14/IVg2025-10-14_10.csv,1760470621.7171454,16:37:01,,,,,,,,,,,
0.001,1.0,60.0,Alisson,67.0,monitoring,0.0,455.0,2.1.0,other,0.0,0.1,5.0,-5.0,0.05,false,raw_data/2025-10-14/IVg2025-10-14_11.csv,1760471531.4433002,16:52:11,,,,,,,,,,,
0.001,1.0,60.0,Alisson,67.0,monitoring,0.0,455.0,2.1.0,other,0.0,0.1,5.0,-5.0,0.05,false,raw_data/2025-10-14/IVg2025-10-14_12.csv,1760472331.621601,17:05:31,,,,,,,,,,,
0.001,1.0,60.0,Alisson,67.0,monitoring,0.0,455.0,2.1.0,other,0.0,0.1,5.0,-5.0,0.05,false,raw_data/2025-10-14/IVg2025-10-14_13.csv,1760473277.9397986,17:21:17,,,,,,,,,,,
0.001,1.0,60.0,Alisson,67.0,monitoring,0.0,455.0,2.1.0,other,0.0,0.1,5.0,-5.0,0.05,false,raw_data/2025-10-14/IVg2025-10-14_14.csv,1760476352.435796,18:12:32,,,,,,,,,,,
0.001,1.0,60.0,Alisson,67.0,monitoring,0.0,455.0,2.1.0,other,0.0,0.1,5.0,-5.0,0.05,false,raw_data/2025-10-14/IVg2025-10-14_15.csv,1760477471.832455,18:31:11,,,,,,,,,,,
0.001,1.0,60.0,Alisson,67.0,monitoring,0.0,455.0,2.1.0,other,0.0,0.1,5.0,-5.0,0.05,false,raw_data/2025-10-14/IVg2025-10-14_16.csv,1760478357.9931083,18:45:57,,,,,,,,,,,
0.001,1.0,60.0,Alisson,67.0,monitoring,0.0,455.0,2.1.0,other,0.0,0.1,5.0,-5.0,0.05,false,raw_data/2025-10-14/IVg2025-10-14_17.csv,1760479085.9022033,18:58:05,,,,,,,,,,,
0.001,1.0,60.0,Alisson,67.0,monitoring,0.0,455.0,2.1.0,other,0.0,0.1,5.0,-5.0,0.05,false,raw_data/2025-10-14/IVg2025-10-14_18.csv,1760479473.412487,19:04:33,,,,,,,,,,,
0.001,1.0,60.0,Alisson,67.0,monitoring,0.0,455.0,2.1.0,other,0.0,0.1,5.0,-5.0,0.05,false,raw_data/2025-10-14/IVg2025-10-14_19.csv,1760480985.0418115,19:29:45,,,,,,,,,,,
0.001,1.0,60.0,Alisson,80.0,monitoring,0.0,455.0,2.1.0,other,0.0,0.1,5.0,-5.0,0.05,false,raw_data/2025-10-14/IVg2025-10-14_2.csv,1760460369.248984,13:46:09,,,,,,,,,,,
0.001,1.0,60.0,Alisson,67.0,monitoring,0.0,455.0,2.1.0,other,0.0,0.1,5.0,-5.0,0.05,false,raw_data/2025-10-14/IVg2025-10-14_20.csv,1760482228.907924,19:50:28,,,,,,,,,,,
0.001,1.0,60.0,Alisson,80.0,monitoring,0.0,455.0,2.1.0,other,0.0,0.1,5.0,-5.0,0.05,false,raw_data/2025-10-14/IVg2025-10-14_3.csv,1760461333.8512337,14:02:13,,,,,,,,,,,
0.001,1.0,60.0,Alisson,80.0,monitoring,0.0,455.0,2.1.0,other,0.0,0.1,5.0,-5.0,0.05,false,raw_data/2025-10-14/IVg2025-10-14_4.csv,1760462834.4794722,14:27:14,,,,,,,,,,,
0.001,1.0,60.0,Alisson,80.0,monitoring,0.0,455.0,2.1.0,other,0.0,0.1,5.0,-5.0,0.05,false,raw_data/2025-10-14/IVg2025-10-14_5.csv,1760463560.8467472,14:39:20,,,,,,,,,,,
0.001,1.0,60.0,Alisson,67.0,monitoring,0.0,455.0,2.1.0,other,0.0,0.1,5.0,-5.0,0.05,false,raw_data/2025-10-14/IVg2025-10-14_6.csv,1760465033.4427469,15:03:53,,,,,,,,,,,
0.001,1.0,60.0,Alisson,67.0,monitoring,0.0,455.0,2.1.0,other,0.0,0.1,5.0,-5.0,0.05,false,raw_data/2025-10-14/IVg2025-10-14_7.csv,1760465525.702543,15:12:05,,,,,,,,,,,
0.001,1.0,60.0,Alisson,67.0,monitoring,0.0,455.0,2.1.0,other,0.0,0.1,5.0,-5.0,0.05,false,raw_data/2025-10-14/IVg2025-10-14_8.csv,1760468915.3262055,16:08:35,,,,,,,,,,,
