Irange,NPLC,Burn-in time,Chip group name,Chip number,Information,Laser voltage,Laser wavelength,Procedure version,Sample,Step time,VG,VSD end,VSD start,VSD step,Laser toggle,has_light,source_file,start_time,time_hms,VDS,VG end,VG start,VG step,T step start time,Initial (current) T,Laser ON+OFF period,Sampling time (excluding Keithley),Target T
0.0001,1.0,600.0,Alisson,79.0,iv test,0.0,0.0,2.0.1,D,0.0,0.0,0.1,-0.1,0.01,false,false,raw_data/Alisson_04_sept/IV2025-09-04_1.csv,1757018821.6358175,16:47:01,,,,,,,,,
0.0001,1.0,600.0,Alisson,71.0,test no light,0.0,0.0,2.0.1,other,0.0,0.0,0.1,-0.1,0.01,false,false,raw_data/Alisson_04_sept/IV2025-09-04_2.csv,1757022625.4999702,17:50:25,,,,,,,,,
0.0001,1.0,60.0,Alisson,79.0,first measurement,0.0,0.0,2.1.0,D,0.0,,,,,false,false,raw_data/Alisson_04_sept/IVg2025-09-04_1.csv,1757016983.8000882,16:16:23,0.1,5.0,-5.0,0.2,,,,,
0.001,1.0,0.0,Alisson,79.0,after light,0.0,455.0,2.1.0,D,0.0,,,,,false,false,raw_data/Alisson_04_sept/IVg2025-09-04_10.csv,1757018144.19423,16:35:44,0.1,20.0,-20.0,0.1,,,,,
0.001,1.0,0.0,Alisson,79.0,after light,0.0,455.0,2.1.0,D,0.0,,,,,false,false,raw_data/Alisson_04_sept/IVg2025-09-04_11.csv,1757018299.3391523,16:38:19,0.1,20.0,-20.0,0.1,,,,,
0.001,1.0,0.0,Alisson,79.0,after light,0.0,455.0,2.1.0,D,0.0,,,,,false,false,raw_data/Alisson_04_sept/IVg2025-09-04_12.csv,1757018386.4413772,16:39:46,0.1,5.0,-5.0,0.1,,,,,
0.001,1.0,60.0,Alisson,71.0,test biotite,0.0,0.0,2.1.0,other,0.0,,,,,false,false,raw_data/Alisson_04_sept/IVg2025-09-04_13.csv,1757022983.300868,17:56:23,0.1,5.0,-5.0,0.2,,,,,
0.001,1.0,60.0,Alisson,71.0,test biotite,0.0,0.0,2.1.0,other,0.0,,,,,false,false,raw_data/Alisson_04_sept/IVg2025-09-04_14.csv,1757023004.2214,17:56:44,0.1,5.0,-5.0,0.2,,,,,
0.0001,1.0,60.0,Alisson,79.0,after repositioning needles,0.0,0.0,2.1.0,D,0.0,,,,,false,false,raw_data/Alisson_04_sept/IVg2025-09-04_15.csv,1757018896.3540137,16:48:16,0.1,5.0,-5.0,0.1,,,,,
0.0001,1.0,60.0,Alisson,79.0,other gate pad,0.0,0.0,2.1.0,D,0.0,,,,,false,false,raw_data/Alisson_04_sept/IVg2025-09-04_16.csv,1757018981.811439,16:49:41,0.1,5.0,-5.0,0.1,,,,,
0.0001,1.0,60.0,Alisson,79.0,other gate pad,0.0,0.0,2.1.0,D,0.0,,,,,false,false,raw_data/Alisson_04_sept/IVg2025-09-04_17.csv,1757019150.0011165,16:52:30,0.1,5.0,-5.0,0.1,,,,,
0.001,1.0,60.0,Alisson,71.0,test biotite,0.0,0.0,2.1.0,other,0.0,,,,,false,false,raw_data/Alisson_04_sept/IVg2025-09-04_18.csv,1757023023.9342706,17:57:03,0.1,5.0,-5.0,0.05,,,,,
0.001,1.0,60.0,Alisson,71.0,test biotite,0.0,0.0,2.1.0,other,0.0,,,,,false,false,raw_data/Alisson_04_sept/IVg2025-09-04_19.csv,1757023120.3582766,17:58:40,0.1,5.0,-5.0,0.05,,,,,
0.001,1.0,60.0,Alisson,79.0,first measurement,0.0,0.0,2.1.0,D,0.0,,,,,false,false,raw_data/Alisson_04_sept/IVg2025-09-04_2.csv,1757017007.7187634,16:16:47,0.1,5.0,-5.0,0.2,,,,,
0.001,1.0,0.0,Alisson,71.0,test biotite,0.2,455.0,2.1.0,other,0.0,,,,,true,true,raw_data/Alisson_04_sept/IVg2025-09-04_20.csv,1757023445.1967309,18:04:05,0.1,5.0,-5.0,0.05,,,,,
0.001,1.0,0.0,Alisson,71.0,test biotite,0.0,455.0,2.1.0,other,0.0,,,,,false,false,raw_data/Alisson_04_sept/IVg2025-09-04_21.csv,1757023653.6029837,18:07:33,0.1,5.0,-5.0,0.05,,,,,
0.001,1.0,0.0,Alisson,71.0,test biotite,0.0,455.0,2.1.0,other,0.0,,,,,false,false,raw_data/Alisson_04_sept/IVg2025-09-04_22.csv,1757023757.505903,18:09:17,0.1,5.0,-5.0,0.05,,,,,
0.001,1.0,0.0,Alisson,71.0,test biotite,0.0,455.0,2.1.0,other,0.0,,,,,false,false,raw_data/Alisson_04_sept/IVg2025-09-04_23.csv,1757023867.71319,18:11:07,0.1,5.0,-5.0,0.05,,,,,
0.001,1.0,0.0,Alisson,71.0,test biotite,0.2,455.0,2.1.0,other,0.0,,,,,true,true,raw_data/Alisson_04_sept/IVg2025-09-04_24.csv,1757023931.882567,18:12:11,0.1,5.0,-5.0,0.05,,,,,
0.001,1.0,0.0,Alisson,71.0,test biotite,0.0,455.0,2.1.0,other,0.0,,,,,false,false,raw_data/Alisson_04_sept/IVg2025-09-04_25.csv,1757024429.6765618,18:20:29,0.1,5.0,-5.0,0.05,,,,,
0.001,1.0,0.0,Alisson,71.0,test biotite,0.0,455.0,2.1.0,other,0.0,,,,,false,false,raw_data/Alisson_04_sept/IVg2025-09-04_26.csv,1757025727.3337955,18:42:07,0.1,5.0,-5.0,0.05,,,,,
