Irange,NPLC,T step start time,Chip group name,Chip number,Information,Initial (current) T,Laser ON+OFF period,Laser voltage,Laser wavelength,Procedure version,Sample,Sampling time (excluding Keithley),Target T,VDS,VG,Laser toggle,source_file,start_time,time_hms,Burn-in time,Step time,VG end,VG start,VG step,N_avg,Optical fiber,Laser voltage end,Laser voltage start,Laser voltage step
0.001,1.0,120.0,Alisson,71.0,455 -  biotite,0.0,120.0,4.0,455.0,2.2.0,other,0.0,25.0,0.1,-3.0,true,raw_data/Alisson_05_sept/It2025-09-05_9.csv,1757093669.2249944,13:34:29,,,,,,,,,,
0.001,1.0,120.0,Alisson,71.0,365 -  biotite,0.0,120.0,1.0,365.0,2.2.0,other,0.0,25.0,0.1,-5.0,true,raw_data/Alisson_05_sept/It2025-09-05_21.csv,1757097102.3796213,14:31:42,,,,,,,,,,
0.001,1.0,120.0,Alisson,71.0,365 -  biotite,0.0,120.0,5.0,365.0,2.2.0,other,0.0,25.0,0.1,3.0,true,raw_data/Alisson_05_sept/It2025-09-05_35.csv,1757100204.609542,15:23:24,,,,,,,,,,
0.001,1.0,120.0,Alisson,71.0,365 -  biotite,0.0,120.0,4.0,365.0,2.2.0,other,0.0,25.0,0.1,3.0,true,raw_data/Alisson_05_sept/It2025-09-05_34.csv,1757100017.28169,15:20:17,,,,,,,,,,
0.001,1.0,120.0,Alisson,71.0,455 -  biotite,0.0,120.0,5.0,455.0,2.2.0,other,0.0,25.0,0.1,5.0,true,raw_data/Alisson_05_sept/It2025-09-05_20.csv,1757095732.2165942,14:08:52,,,,,,,,,,
0.001,1.0,120.0,Alisson,71.0,455 -  biotite,0.0,120.0,3.0,455.0,2.2.0,other,0.0,25.0,0.1,-3.0,true,raw_data/Alisson_05_sept/It2025-09-05_8.csv,1757093482.2192397,13:31:22,,,,,,,,,,
0.001,1.0,120.0,Alisson,71.0,365 -  biotite,0.0,120.0,1.0,365.0,2.2.0,other,0.0,25.0,0.1,5.0,true,raw_data/Alisson_05_sept/It2025-09-05_36.csv,1757100391.660886,15:26:31,,,,,,,,,,
0.001,1.0,120.0,Alisson,71.0,365 -  biotite,0.0,120.0,2.0,365.0,2.2.0,other,0.0,25.0,0.1,-5.0,true,raw_data/Alisson_05_sept/It2025-09-05_22.csv,1757097290.652577,14:34:50,,,,,,,,,,
0.001,1.0,,Alisson,71.0,after uv illumination - biotite,,,0.0,455.0,2.1.0,other,,,0.1,,false,raw_data/Alisson_05_sept/IVg2025-09-05_10.csv,1757103340.5451238,16:15:40,0.0,0.0,5.0,-5.0,0.05,,,,,
0.001,1.0,120.0,Alisson,71.0,365 -  biotite,0.0,120.0,3.0,365.0,2.2.0,other,0.0,25.0,0.1,-5.0,true,raw_data/Alisson_05_sept/It2025-09-05_23.csv,1757097479.0574262,14:37:59,,,,,,,,,,
