Irange,NPLC,Burn-in time,Chip group name,Chip number,Information,Laser voltage,Laser wavelength,Procedure version,Sample,Step time,VDS,VG end,VG start,VG step,Laser toggle,source_file,start_time,time_hms,VG,VSD end,VSD start,VSD step
0.001,1.0,0.0,Alisson,68.0,hbn - top - bio - bot,0.0,455.0,2.1.0,other,0.0,0.1,5.0,-5.0,0.05,false,raw_data/Alisson_08_sept/IVg2025-09-08_3.csv,1757345844.8101747,12:37:24,,,,
0.001,1.0,0.0,Alisson,72.0,hbn bit - top,0.0,455.0,2.1.0,other,0.0,0.1,5.0,-5.0,0.05,false,raw_data/Alisson_08_sept/IVg2025-09-08_2.csv,1757345415.6467748,12:30:15,,,,
0.001,1.0,0.0,Alisson,67.0,hbn bit - top,0.0,455.0,2.1.0,other,0.0,0.1,5.0,-5.0,0.05,false,raw_data/Alisson_08_sept/IVg2025-09-08_1.csv,1757345180.0971758,12:26:20,,,,
0.001,1.0,0.0,Alisson,69.0,hbn - top - bio - bot,0.0,455.0,2.1.0,other,0.0,0.1,5.0,-5.0,0.05,false,raw_data/Alisson_08_sept/IVg2025-09-08_5.csv,1757346186.191259,12:43:06,,,,
0.001,1.0,0.0,Alisson,68.0,hbn - top - bio - bot,0.0,455.0,2.1.0,other,0.0,0.1,5.0,-5.0,0.05,false,raw_data/Alisson_08_sept/IVg2025-09-08_4.csv,1757345903.1788788,12:38:23,,,,
0.001,1.0,0.0,Alisson,69.0,hbn - top - bio - bot,0.0,455.0,2.1.0,other,0.0,0.1,5.0,-5.0,0.05,false,raw_data/Alisson_08_sept/IVg2025-09-08_6.csv,1757346349.1239831,12:45:49,,,,
0.001,1.0,0.0,Alisson,73.0,hbn - top - bio - bot,0.0,455.0,2.1.0,other,0.0,0.1,5.0,-5.0,0.05,false,raw_data/Alisson_08_sept/IVg2025-09-08_7.csv,1757346633.400781,12:50:33,,,,
0.001,1.0,0.0,Alisson,101.0,hbn - top - bio - bot,0.0,455.0,2.1.0,other,0.0,0.1,5.0,-5.0,0.05,false,raw_data/Alisson_08_sept/IVg2025-09-08_18.csv,1757349031.5773084,13:30:31,,,,
0.001,1.0,0.0,Alisson,75.0,hbn - top - bio - bot,0.0,455.0,2.1.0,other,0.0,0.1,5.0,-5.0,0.05,false,raw_data/Alisson_08_sept/IVg2025-09-08_10.csv,1757347247.5148237,13:00:47,,,,
0.001,1.0,0.0,Alisson,76.0,hbn - top - bio - bot - DS2,0.0,455.0,2.1.0,other,0.0,0.1,5.0,-5.0,0.05,false,raw_data/Alisson_08_sept/IVg2025-09-08_11.csv,1757347507.4701648,13:05:07,,,,
0.001,1.0,0.0,Alisson,80.0,hbn - top - bio - bot,0.0,455.0,2.1.0,other,0.0,0.1,5.0,-5.0,0.05,false,raw_data/Alisson_08_sept/IVg2025-09-08_13.csv,1757348087.8589244,13:14:47,,,,
0.001,1.0,0.0,Alisson,76.0,hbn - top - bio - bot - S1D,0.0,455.0,2.1.0,other,0.0,0.1,5.0,-5.0,0.05,false,raw_data/Alisson_08_sept/IVg2025-09-08_12.csv,1757347697.092319,13:08:17,,,,
0.001,1.0,0.0,Alisson,100.0,hbn - top - bio - bot,0.0,455.0,2.1.0,other,0.0,0.1,5.0,-5.0,0.05,false,raw_data/Alisson_08_sept/IVg2025-09-08_16.csv,1757348742.2767072,13:25:42,,,,
0.0001,1.0,600.0,Alisson,69.0,test no light,0.0,0.0,2.0.1,other,0.0,,,,,false,raw_data/Alisson_08_sept/IV2025-09-08_1.csv,1757346267.8836877,12:44:27,0.0,0.1,-0.1,0.01
0.001,1.0,0.0,Alisson,101.0,hbn - top - bio - bot,0.0,455.0,2.1.0,other,0.0,0.1,5.0,-5.0,0.05,false,raw_data/Alisson_08_sept/IVg2025-09-08_17.csv,1757348971.9427412,13:29:31,,,,
0.001,1.0,0.0,Alisson,100.0,hbn - top - bio - bot,0.0,455.0,2.1.0,other,0.0,0.1,5.0,-5.0,0.05,false,raw_data/Alisson_08_sept/IVg2025-09-08_15.csv,1757348576.97046,13:22:56,,,,
0.001,1.0,0.0,Alisson,81.0,hbn - top - bio - bot,0.0,455.0,2.1.0,other,0.0,0.1,5.0,-5.0,0.05,false,raw_data/Alisson_08_sept/IVg2025-09-08_14.csv,1757348242.351445,13:17:22,,,,
0.001,1.0,0.0,Alisson,74.0,hbn - top - bio - bot,0.0,455.0,2.1.0,other,0.0,0.1,5.0,-5.0,0.05,false,raw_data/Alisson_08_sept/IVg2025-09-08_9.csv,1757346895.0247686,12:54:55,,,,
0.001,1.0,0.0,Alisson,74.0,hbn - top - bio - bot,0.0,455.0,2.1.0,other,0.0,0.1,5.0,-5.0,0.05,false,raw_data/Alisson_08_sept/IVg2025-09-08_8.csv,1757346834.7246556,12:53:54,,,,
