Irange,NPLC,Burn-in time,Chip group name,Chip number,Information,Laser voltage,Laser wavelength,Procedure version,Sample,Step time,VDS,VG end,VG start,VG step,Laser toggle,has_light,source_file,start_time,time_hms,T step start time,Initial (current) T,Laser ON+OFF period,Sampling time (excluding Keithley),Target T,VG,N_avg,Optical fiber,Laser voltage end,Laser voltage start,Laser voltage step
0.001,1.0,300.0,Alisson,80.0,monitoring,0.0,0.0,2.1.0,other,0.0,0.1,5.0,-5.0,0.05,false,false,raw_data/Alisson_09_oct/IVg2025-10-09_1.csv,1760016622.4350195,10:30:22,,,,,,,,,,,
0.001,1.0,300.0,Alisson,80.0,monitoring,0.0,0.0,2.1.0,other,0.0,0.1,5.0,-5.0,0.05,false,false,raw_data/Alisson_09_oct/IVg2025-10-09_10.csv,1760026349.3736584,13:12:29,,,,,,,,,,,
0.001,1.0,300.0,Alisson,80.0,monitoring,0.0,0.0,2.1.0,other,0.0,0.1,5.0,-5.0,0.05,false,false,raw_data/Alisson_09_oct/IVg2025-10-09_11.csv,1760027000.358152,13:23:20,,,,,,,,,,,
0.001,1.0,300.0,Alisson,80.0,monitoring,0.0,0.0,2.1.0,other,0.0,0.1,5.0,-5.0,0.05,false,false,raw_data/Alisson_09_oct/IVg2025-10-09_12.csv,1760027395.1328907,13:29:55,,,,,,,,,,,
0.001,1.0,300.0,Alisson,80.0,monitoring,0.0,0.0,2.1.0,other,0.0,0.1,5.0,-5.0,0.05,false,false,raw_data/Alisson_09_oct/IVg2025-10-09_13.csv,1760027711.1001246,13:35:11,,,,,,,,,,,
0.001,1.0,300.0,Alisson,80.0,monitoring,0.0,0.0,2.1.0,other,0.0,0.1,5.0,-5.0,0.05,false,false,raw_data/Alisson_09_oct/IVg2025-10-09_14.csv,1760028214.4374394,13:43:34,,,,,,,,,,,
0.001,1.0,300.0,Alisson,80.0,monitoring,0.0,0.0,2.1.0,other,0.0,0.1,5.0,-5.0,0.05,false,false,raw_data/Alisson_09_oct/IVg2025-10-09_15.csv,1760028906.9681118,13:55:06,,,,,,,,,,,
0.001,1.0,300.0,Alisson,80.0,monitoring,0.0,0.0,2.1.0,other,0.0,0.1,5.0,-5.0,0.05,false,false,raw_data/Alisson_09_oct/IVg2025-10-09_16.csv,1760040384.1900086,17:06:24,,,,,,,,,,,
0.001,1.0,300.0,Alisson,80.0,monitoring,0.0,0.0,2.1.0,other,0.0,0.1,5.0,-5.0,0.05,false,false,raw_data/Alisson_09_oct/IVg2025-10-09_2.csv,1760021987.310834,11:59:47,,,,,,,,,,,
0.001,1.0,300.0,Alisson,80.0,monitoring,0.0,0.0,2.1.0,other,0.0,0.1,5.0,-5.0,0.05,false,false,raw_data/Alisson_09_oct/IVg2025-10-09_3.csv,1760023026.8876002,12:17:06,,,,,,,,,,,
0.001,1.0,300.0,Alisson,80.0,monitoring,0.0,0.0,2.1.0,other,0.0,0.1,5.0,-5.0,0.05,false,false,raw_data/Alisson_09_oct/IVg2025-10-09_4.csv,1760023321.0601292,12:22:01,,,,,,,,,,,
