seq,time_hms,proc,chip,summary,source_file,file_idx,start_time,gap_s,elapsed_s
1,11:14:57,IVg,71.0,IVg chip 71  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #1,raw_data/Alisson_12_sept/IVg2025-09-12_1.csv,1,1757686497.4707847,,0.0
2,11:16:25,IVg,71.0,IVg chip 71  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #2,raw_data/Alisson_12_sept/IVg2025-09-12_2.csv,2,1757686585.381315,87.91053032875061,87.91053032875061
3,11:16:55,IVg,71.0,IVg chip 71  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #3,raw_data/Alisson_12_sept/IVg2025-09-12_3.csv,3,1757686615.0106933,29.62937831878662,117.53990864753723
4,11:19:58,IV,71.0,IV  chip 71  VG=0.0 V  VSD:-1.0→1.0 (step 0.01)  #1,raw_data/Alisson_12_sept/IV2025-09-12_1.csv,1,1757686798.9217222,183.9110288619995,301.45093750953674
5,11:20:34,IV,71.0,IV  chip 71  VG=0.0 V  VSD:-1.0→1.0 (step 0.01)  #2,raw_data/Alisson_12_sept/IV2025-09-12_2.csv,2,1757686834.374426,35.45270371437073,336.90364122390747
6,12:49:41,IVg,75.0,IVg chip 75  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #4,raw_data/Alisson_12_sept/IVg2025-09-12_4.csv,4,1757692181.6269028,5347.252476930618,5684.156118154526
7,13:30:29,LaserCalibration,,LaserCalibration λ=365.0 nm  #1,raw_data/Alisson_12_sept/LaserCalibration2025-09-12_1.csv,1,1757694629.4063692,2447.7794663906097,8131.9355845451355
8,13:39:08,LaserCalibration,,LaserCalibration λ=455.0 nm  #2,raw_data/Alisson_12_sept/LaserCalibration2025-09-12_2.csv,2,1757695148.3566844,518.9503152370453,8650.88589978218
9,13:45:34,LaserCalibration,,LaserCalibration λ=565.0 nm  #3,raw_data/Alisson_12_sept/LaserCalibration2025-09-12_3.csv,3,1757695534.5964704,386.2397859096527,9037.125685691833
10,13:50:26,LaserCalibration,,LaserCalibration λ=625.0 nm  #4,raw_data/Alisson_12_sept/LaserCalibration2025-09-12_4.csv,4,1757695826.8354511,292.2389807701111,9329.364666461945
11,14:30:40,LaserCalibration,,LaserCalibration λ=365.0 nm  #5,raw_data/Alisson_12_sept/LaserCalibration2025-09-12_5.csv,5,1757698240.6736202,2413.8381690979004,11743.202835559845
12,14:45:42,IVg,75.0,IVg chip 75  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #5,raw_data/Alisson_12_sept/IVg2025-09-12_5.csv,5,1757699142.1032941,901.429673910141,12644.632509469986
13,14:54:38,IVg,75.0,IVg chip 75  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #6,raw_data/Alisson_12_sept/IVg2025-09-12_6.csv,6,1757699678.8075054,536.7042112350464,13181.336720705032
14,14:56:03,It,75.0,It  chip 75  VG=-3.0 V  VDS=0.1 V  VL=0.88 V  λ=365.0 nm  period=120.0 s  #1,raw_data/Alisson_12_sept/It2025-09-12_1.csv,1,1757699763.1361477,84.32864236831665,13265.665363073349
15,14:59:10,It,75.0,It  chip 75  VG=-3.0 V  VDS=0.1 V  VL=1.78 V  λ=365.0 nm  period=120.0 s  #2,raw_data/Alisson_12_sept/It2025-09-12_2.csv,2,1757699950.694987,187.55883932113647,13453.224202394485
16,15:02:17,It,75.0,It  chip 75  VG=-3.0 V  VDS=0.1 V  VL=2.74 V  λ=365.0 nm  period=120.0 s  #3,raw_data/Alisson_12_sept/It2025-09-12_3.csv,3,1757700137.8766737,187.18168663978577,13640.405889034271
17,15:05:25,It,75.0,It  chip 75  VG=-3.0 V  VDS=0.1 V  VL=3.71 V  λ=365.0 nm  period=120.0 s  #4,raw_data/Alisson_12_sept/It2025-09-12_4.csv,4,1757700325.0110948,187.1344211101532,13827.540310144424
18,15:08:32,It,75.0,It  chip 75  VG=-3.0 V  VDS=0.1 V  VL=4.71 V  λ=365.0 nm  period=120.0 s  #5,raw_data/Alisson_12_sept/It2025-09-12_5.csv,5,1757700512.2396557,187.22856092453003,14014.768871068954
19,15:25:19,IVg,75.0,IVg chip 75  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #7,raw_data/Alisson_12_sept/IVg2025-09-12_7.csv,7,1757701519.3396559,1007.1000001430511,15021.868871212006
20,15:26:53,It,75.0,It  chip 75  VG=3.0 V  VDS=0.1 V  VL=0.88 V  λ=365.0 nm  period=120.0 s  #6,raw_data/Alisson_12_sept/It2025-09-12_6.csv,6,1757701613.701309,94.36165308952332,15116.230524301529
21,15:30:00,It,75.0,It  chip 75  VG=3.0 V  VDS=0.1 V  VL=1.78 V  λ=365.0 nm  period=120.0 s  #7,raw_data/Alisson_12_sept/It2025-09-12_7.csv,7,1757701800.696954,186.99564504623413,15303.226169347763
22,15:33:07,It,75.0,It  chip 75  VG=3.0 V  VDS=0.1 V  VL=2.74 V  λ=365.0 nm  period=120.0 s  #8,raw_data/Alisson_12_sept/It2025-09-12_8.csv,8,1757701987.8982081,187.2012541294098,15490.427423477173
23,15:36:14,It,75.0,It  chip 75  VG=3.0 V  VDS=0.1 V  VL=3.71 V  λ=365.0 nm  period=120.0 s  #9,raw_data/Alisson_12_sept/It2025-09-12_9.csv,9,1757702174.9235747,187.0253665447235,15677.452790021896
24,15:39:22,It,75.0,It  chip 75  VG=3.0 V  VDS=0.1 V  VL=4.71 V  λ=365.0 nm  period=120.0 s  #10,raw_data/Alisson_12_sept/It2025-09-12_10.csv,10,1757702362.0178366,187.09426188468933,15864.547051906586
25,16:18:01,IVg,75.0,IVg chip 75  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #8,raw_data/Alisson_12_sept/IVg2025-09-12_8.csv,8,1757704681.6921594,2319.6743228435516,18184.221374750137
26,16:25:30,LaserCalibration,,LaserCalibration λ=455.0 nm  #6,raw_data/Alisson_12_sept/LaserCalibration2025-09-12_6.csv,6,1757705130.7832413,449.0910818576813,18633.31245660782
27,16:31:24,IVg,75.0,IVg chip 75  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #9,raw_data/Alisson_12_sept/IVg2025-09-12_9.csv,9,1757705484.3053443,353.52210307121277,18986.83455967903
28,16:32:50,It,75.0,It  chip 75  VG=-3.0 V  VDS=0.1 V  VL=0.9 V  λ=455.0 nm  period=120.0 s  #11,raw_data/Alisson_12_sept/It2025-09-12_11.csv,11,1757705570.6602063,86.35486197471619,19073.189421653748
29,16:35:57,It,75.0,It  chip 75  VG=-3.0 V  VDS=0.1 V  VL=1.71 V  λ=455.0 nm  period=120.0 s  #12,raw_data/Alisson_12_sept/It2025-09-12_12.csv,12,1757705757.7563446,187.09613823890686,19260.285559892654
30,16:39:04,It,75.0,It  chip 75  VG=-3.0 V  VDS=0.1 V  VL=2.59 V  λ=455.0 nm  period=120.0 s  #13,raw_data/Alisson_12_sept/It2025-09-12_13.csv,13,1757705944.9500418,187.1936972141266,19447.47925710678
31,16:42:12,It,75.0,It  chip 75  VG=-3.0 V  VDS=0.1 V  VL=3.47 V  λ=455.0 nm  period=120.0 s  #14,raw_data/Alisson_12_sept/It2025-09-12_14.csv,14,1757706132.0334725,187.08343076705933,19634.56268787384
32,16:45:19,It,75.0,It  chip 75  VG=-3.0 V  VDS=0.1 V  VL=4.42 V  λ=455.0 nm  period=120.0 s  #15,raw_data/Alisson_12_sept/It2025-09-12_15.csv,15,1757706319.5429077,187.50943517684937,19822.07212305069
33,16:55:23,IVg,75.0,IVg chip 75  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #10,raw_data/Alisson_12_sept/IVg2025-09-12_10.csv,10,1757706923.9873612,604.4444534778595,20426.51657652855
34,16:56:31,It,75.0,It  chip 75  VG=3.0 V  VDS=0.1 V  VL=0.9 V  λ=455.0 nm  period=120.0 s  #16,raw_data/Alisson_12_sept/It2025-09-12_16.csv,16,1757706991.7643569,67.77699565887451,20494.293572187424
35,16:59:38,It,75.0,It  chip 75  VG=3.0 V  VDS=0.1 V  VL=1.71 V  λ=455.0 nm  period=120.0 s  #17,raw_data/Alisson_12_sept/It2025-09-12_17.csv,17,1757707178.8432488,187.07889199256897,20681.372464179993
36,17:02:46,It,75.0,It  chip 75  VG=3.0 V  VDS=0.1 V  VL=2.59 V  λ=455.0 nm  period=120.0 s  #18,raw_data/Alisson_12_sept/It2025-09-12_18.csv,18,1757707366.517926,187.67467713356018,20869.047141313553
37,17:05:53,It,75.0,It  chip 75  VG=3.0 V  VDS=0.1 V  VL=3.47 V  λ=455.0 nm  period=120.0 s  #19,raw_data/Alisson_12_sept/It2025-09-12_19.csv,19,1757707553.5115154,186.99358940124512,21056.040730714798
38,17:09:01,It,75.0,It  chip 75  VG=3.0 V  VDS=0.1 V  VL=4.42 V  λ=455.0 nm  period=120.0 s  #20,raw_data/Alisson_12_sept/It2025-09-12_20.csv,20,1757707741.0330703,187.5215549468994,21243.562285661697
39,17:15:58,IVg,75.0,IVg chip 75  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #11,raw_data/Alisson_12_sept/IVg2025-09-12_11.csv,11,1757708158.3225882,417.2895178794861,21660.851803541183
40,17:21:17,IVg,75.0,IVg chip 75  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #12,raw_data/Alisson_12_sept/IVg2025-09-12_12.csv,12,1757708477.9818351,319.6592469215393,21980.511050462723
41,17:22:14,IVg,75.0,IVg chip 75  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #13,raw_data/Alisson_12_sept/IVg2025-09-12_13.csv,13,1757708534.8767354,56.89490032196045,22037.405950784683
42,17:23:43,IVg,75.0,IVg chip 75  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #14,raw_data/Alisson_12_sept/IVg2025-09-12_14.csv,14,1757708623.9732382,89.0965027809143,22126.502453565598
43,17:45:19,IVg,75.0,IVg chip 75  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #15,raw_data/Alisson_12_sept/IVg2025-09-12_15.csv,15,1757709919.594004,1295.6207656860352,23422.123219251633
44,17:51:22,LaserCalibration,,LaserCalibration λ=565.0 nm  #7,raw_data/Alisson_12_sept/LaserCalibration2025-09-12_7.csv,7,1757710282.2410111,362.64700722694397,23784.770226478577
45,17:55:44,IVg,75.0,IVg chip 75  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #16,raw_data/Alisson_12_sept/IVg2025-09-12_16.csv,16,1757710544.3641043,262.12309312820435,24046.89331960678
46,17:57:02,It,75.0,It  chip 75  VG=-3.0 V  VDS=0.1 V  VL=0.78 V  λ=565.0 nm  period=120.0 s  #21,raw_data/Alisson_12_sept/It2025-09-12_21.csv,21,1757710622.8305151,78.46641087532043,24125.3597304821
47,18:00:10,It,75.0,It  chip 75  VG=-3.0 V  VDS=0.1 V  VL=1.57 V  λ=565.0 nm  period=120.0 s  #22,raw_data/Alisson_12_sept/It2025-09-12_22.csv,22,1757710810.3828828,187.55236768722534,24312.912098169327
48,18:03:17,It,75.0,It  chip 75  VG=-3.0 V  VDS=0.1 V  VL=2.44 V  λ=565.0 nm  period=120.0 s  #23,raw_data/Alisson_12_sept/It2025-09-12_23.csv,23,1757710997.6688619,187.28597903251648,24500.198077201843
49,18:06:24,It,75.0,It  chip 75  VG=-3.0 V  VDS=0.1 V  VL=3.38 V  λ=565.0 nm  period=120.0 s  #24,raw_data/Alisson_12_sept/It2025-09-12_24.csv,24,1757711184.7291589,187.0602970123291,24687.258374214172
50,18:09:31,It,75.0,It  chip 75  VG=-3.0 V  VDS=0.1 V  VL=4.37 V  λ=565.0 nm  period=120.0 s  #25,raw_data/Alisson_12_sept/It2025-09-12_25.csv,25,1757711371.8256207,187.0964617729187,24874.35483598709
51,18:19:17,IVg,75.0,IVg chip 75  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #17,raw_data/Alisson_12_sept/IVg2025-09-12_17.csv,17,1757711957.181738,585.3561172485352,25459.710953235626
52,18:20:18,It,75.0,It  chip 75  VG=3.0 V  VDS=0.1 V  VL=0.78 V  λ=565.0 nm  period=120.0 s  #26,raw_data/Alisson_12_sept/It2025-09-12_26.csv,26,1757712018.2059524,61.02421450614929,25520.735167741776
53,18:23:26,It,75.0,It  chip 75  VG=3.0 V  VDS=0.1 V  VL=1.57 V  λ=565.0 nm  period=120.0 s  #27,raw_data/Alisson_12_sept/It2025-09-12_27.csv,27,1757712206.3294213,188.123468875885,25708.85863661766
54,18:26:34,It,75.0,It  chip 75  VG=3.0 V  VDS=0.1 V  VL=2.44 V  λ=565.0 nm  period=120.0 s  #28,raw_data/Alisson_12_sept/It2025-09-12_28.csv,28,1757712394.090555,187.76113367080688,25896.619770288467
55,18:29:41,It,75.0,It  chip 75  VG=3.0 V  VDS=0.1 V  VL=3.38 V  λ=565.0 nm  period=120.0 s  #29,raw_data/Alisson_12_sept/It2025-09-12_29.csv,29,1757712581.1068664,187.01631140708923,26083.636081695557
56,18:32:48,It,75.0,It  chip 75  VG=3.0 V  VDS=0.1 V  VL=4.37 V  λ=565.0 nm  period=120.0 s  #30,raw_data/Alisson_12_sept/It2025-09-12_30.csv,30,1757712768.310629,187.20376253128052,26270.839844226837
57,18:36:18,IVg,75.0,IVg chip 75  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #18,raw_data/Alisson_12_sept/IVg2025-09-12_18.csv,18,1757712978.6201,210.3094711303711,26481.14931535721
58,18:37:51,IVg,75.0,IVg chip 75  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #19,raw_data/Alisson_12_sept/IVg2025-09-12_19.csv,19,1757713071.4163065,92.7962064743042,26573.945521831512
59,18:38:48,IVg,75.0,IVg chip 75  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #20,raw_data/Alisson_12_sept/IVg2025-09-12_20.csv,20,1757713128.468729,57.052422523498535,26630.99794435501
