Irange,NPLC,Burn-in time,Chip group name,Chip number,Information,Laser voltage,Laser wavelength,Procedure version,Sample,Step time,VDS,VG end,VG start,VG step,Laser toggle,has_light,source_file,start_time,time_hms,T step start time,Initial (current) T,Laser ON+OFF period,Sampling time (excluding Keithley),Target T,VG,N_avg,Optical fiber,Laser voltage end,Laser voltage start,Laser voltage step
0.001,1.0,0.0,Alisson,68.0,monitoring,0.0,455.0,2.1.0,other,0.0,0.1,5.0,-5.0,0.05,false,false,raw_data/Alisson_22_sept/IVg2025-09-22_1.csv,1758551338.2167318,11:28:58,,,,,,,,,,,
0.001,1.0,0.0,Alisson,68.0,monitoring,0.0,455.0,2.1.0,other,0.0,0.1,5.0,-5.0,0.05,false,false,raw_data/Alisson_22_sept/IVg2025-09-22_10.csv,1758560145.1281865,13:55:45,,,,,,,,,,,
0.001,1.0,0.0,Alisson,68.0,monitoring,0.0,455.0,2.1.0,other,0.0,0.1,5.0,-5.0,0.05,false,false,raw_data/Alisson_22_sept/IVg2025-09-22_11.csv,1758569097.4680393,16:24:57,,,,,,,,,,,
0.001,1.0,0.0,Alisson,72.0,monitoring,0.0,455.0,2.1.0,other,0.0,0.1,5.0,-5.0,0.05,false,false,raw_data/Alisson_22_sept/IVg2025-09-22_12.csv,1758570679.4699981,16:51:19,,,,,,,,,,,
0.001,1.0,0.0,Alisson,72.0,monitoring,0.0,455.0,2.1.0,other,0.0,0.1,5.0,-5.0,0.05,false,false,raw_data/Alisson_22_sept/IVg2025-09-22_13.csv,1758571976.7727933,17:12:56,,,,,,,,,,,
0.001,1.0,0.0,Alisson,72.0,monitoring,0.0,455.0,2.1.0,other,0.0,0.1,5.0,-5.0,0.05,false,false,raw_data/Alisson_22_sept/IVg2025-09-22_14.csv,1758581438.7875533,19:50:38,,,,,,,,,,,
0.001,1.0,0.0,Alisson,68.0,monitoring,0.0,455.0,2.1.0,other,0.0,0.1,5.0,-5.0,0.05,false,false,raw_data/Alisson_22_sept/IVg2025-09-22_2.csv,1758552565.5751812,11:49:25,,,,,,,,,,,
0.001,1.0,0.0,Alisson,68.0,monitoring,0.0,455.0,2.1.0,other,0.0,0.1,5.0,-5.0,0.05,false,false,raw_data/Alisson_22_sept/IVg2025-09-22_3.csv,1758556880.8840778,13:01:20,,,,,,,,,,,
0.001,1.0,0.0,Alisson,68.0,monitoring,0.0,455.0,2.1.0,other,0.0,0.1,5.0,-5.0,0.05,false,false,raw_data/Alisson_22_sept/IVg2025-09-22_4.csv,1758556941.3051689,13:02:21,,,,,,,,,,,
0.001,1.0,0.0,Alisson,68.0,monitoring,0.0,455.0,2.1.0,other,0.0,0.1,5.0,-5.0,0.05,false,false,raw_data/Alisson_22_sept/IVg2025-09-22_5.csv,1758557001.3293362,13:03:21,,,,,,,,,,,
